t,x,y,z,vx,vy,vz,ax,ay,az
0.010,-22.0380,-1.4902,0.5000,1.3908,0.0410,0.0000,-0.0422,0.0888,0.0000
0.020,-22.0241,-1.4897,0.5000,1.3903,0.0418,0.0000,-0.0494,0.0883,0.0000
0.030,-22.0102,-1.4893,0.5000,1.3898,0.0427,0.0000,-0.0564,0.0877,0.0000
0.040,-21.9963,-1.4889,0.5000,1.3892,0.0436,0.0000,-0.0632,0.0871,0.0000
0.050,-21.9825,-1.4885,0.5000,1.3885,0.0445,0.0000,-0.0697,0.0864,0.0000
0.060,-21.9686,-1.4880,0.5000,1.3878,0.0453,0.0000,-0.0759,0.0857,0.0000
0.070,-21.9547,-1.4875,0.5000,1.3870,0.0462,0.0000,-0.0819,0.0849,0.0000
0.080,-21.9408,-1.4871,0.5000,1.3861,0.0470,0.0000,-0.0876,0.0841,0.0000
0.090,-21.9270,-1.4866,0.5000,1.3852,0.0479,0.0000,-0.0931,0.0832,0.0000
0.100,-21.9131,-1.4861,0.5000,1.3843,0.0487,0.0000,-0.0984,0.0823,0.0000
0.110,-21.8993,-1.4856,0.5000,1.3833,0.0495,0.0000,-0.1034,0.0814,0.0000
0.120,-21.8854,-1.4851,0.5000,1.3822,0.0503,0.0000,-0.1082,0.0804,0.0000
0.130,-21.8717,-1.4846,0.5000,1.3811,0.0511,0.0000,-0.1128,0.0794,0.0000
0.140,-21.8578,-1.4841,0.5000,1.3800,0.0519,0.0000,-0.1172,0.0783,0.0000
0.150,-21.8441,-1.4836,0.5000,1.3788,0.0527,0.0000,-0.1213,0.0772,0.0000
0.160,-21.8303,-1.4831,0.5000,1.3775,0.0534,0.0000,-0.1252,0.0761,0.0000
0.170,-21.8165,-1.4825,0.5000,1.3763,0.0542,0.0000,-0.1289,0.0750,0.0000
0.180,-21.8027,-1.4820,0.5000,1.3750,0.0549,0.0000,-0.1324,0.0738,0.0000
0.190,-21.7890,-1.4814,0.5000,1.3736,0.0557,0.0000,-0.1356,0.0725,0.0000
0.200,-21.7753,-1.4809,0.5000,1.3722,0.0564,0.0000,-0.1387,0.0713,0.0000
0.210,-21.7616,-1.4803,0.5000,1.3708,0.0571,0.0000,-0.1416,0.0700,0.0000
0.220,-21.7479,-1.4797,0.5000,1.3694,0.0578,0.0000,-0.1443,0.0686,0.0000
0.230,-21.7342,-1.4791,0.5000,1.3680,0.0585,0.0000,-0.1467,0.0673,0.0000
0.240,-21.7205,-1.4786,0.5000,1.3665,0.0591,0.0000,-0.1490,0.0659,0.0000
0.250,-21.7069,-1.4780,0.5000,1.3650,0.0598,0.0000,-0.1511,0.0645,0.0000
0.260,-21.6932,-1.4774,0.5000,1.3635,0.0604,0.0000,-0.1531,0.0630,0.0000
0.270,-21.6796,-1.4767,0.5000,1.3619,0.0611,0.0000,-0.1548,0.0616,0.0000
0.280,-21.6660,-1.4761,0.5000,1.3604,0.0617,0.0000,-0.1564,0.0601,0.0000
0.290,-21.6524,-1.4755,0.5000,1.3588,0.0623,0.0000,-0.1578,0.0585,0.0000
0.300,-21.6388,-1.4749,0.5000,1.3572,0.0628,0.0000,-0.1590,0.0570,0.0000
0.310,-21.6252,-1.4743,0.5000,1.3556,0.0634,0.0000,-0.1601,0.0554,0.0000
0.320,-21.6117,-1.4736,0.5000,1.3540,0.0639,0.0000,-0.1610,0.0538,0.0000
0.330,-21.5981,-1.4730,0.5000,1.3524,0.0645,0.0000,-0.1617,0.0522,0.0000
0.340,-21.5846,-1.4723,0.5000,1.3508,0.0650,0.0000,-0.1623,0.0506,0.0000
0.350,-21.5711,-1.4717,0.5000,1.3491,0.0655,0.0000,-0.1627,0.0489,0.0000
0.360,-21.5576,-1.4710,0.5000,1.3475,0.0660,0.0000,-0.1630,0.0472,0.0000
