t,x,y,z
0.018,-24.7085,2.9969,0.5000
0.028,-24.6946,2.9967,0.5000
0.038,-24.6807,2.9966,0.5000
0.048,-24.6669,2.9964,0.5000
0.058,-24.6530,2.9963,0.5000
0.068,-24.6392,2.9961,0.5000
0.078,-24.6254,2.9960,0.5000
0.088,-24.6115,2.9958,0.5000
0.098,-24.5977,2.9956,0.5000
0.108,-24.5839,2.9954,0.5000
0.118,-24.5701,2.9953,0.5000
0.128,-24.5563,2.9951,0.5000
0.138,-24.5425,2.9949,0.5000
0.148,-24.5288,2.9947,0.5000
0.158,-24.5150,2.9945,0.5000
0.168,-24.5013,2.9943,0.5000
0.178,-24.4875,2.9941,0.5000
0.188,-24.4738,2.9939,0.5000
0.198,-24.4601,2.9937,0.5000
0.208,-24.4464,2.9935,0.5000
0.218,-24.4327,2.9933,0.5000
0.228,-24.4190,2.9931,0.5000
0.238,-24.4054,2.9928,0.5000
0.248,-24.3917,2.9926,0.5000
0.258,-24.3781,2.9924,0.5000
0.268,-24.3645,2.9922,0.5000
0.278,-24.3509,2.9919,0.5000
0.288,-24.3373,2.9917,0.5000
0.298,-24.3238,2.9914,0.5000
0.308,-24.3102,2.9912,0.5000
0.318,-24.2967,2.9910,0.5000
0.328,-24.2832,2.9907,0.5000
0.338,-24.2696,2.9905,0.5000
0.348,-24.2562,2.9902,0.5000
0.358,-24.2427,2.9900,0.5000
0.368,-24.2293,2.9897,0.5000
0.378,-24.2158,2.9894,0.5000
0.388,-24.2024,2.9892,0.5000
0.398,-24.1890,2.9889,0.5000
0.408,-24.1757,2.9886,0.5000
0.418,-24.1623,2.9884,0.5000
0.428,-24.1490,2.9881,0.5000
0.438,-24.1356,2.9878,0.5000
0.449,-24.1223,2.9875,0.5000
0.458,-24.1090,2.9873,0.5000
0.468,-24.0958,2.9870,0.5000
0.478,-24.0819,2.9867,0.5000
0.488,-24.0693,2.9864,0.5000
0.498,-24.0561,2.9861,0.5000
0.508,-24.0429,2.9858,0.5000
0.518,-24.0297,2.9855,0.5000
0.528,-24.0165,2.9853,0.5000
0.538,-24.0034,2.9850,0.5000
0.548,-23.9902,2.9847,0.5000
0.558,-23.9770,2.9844,0.5000
0.568,-23.9640,2.9841,0.5000
0.578,-23.9509,2.9838,0.5000
0.588,-23.9378,2.9835,0.5000
0.598,-23.9248,2.9832,0.5000
0.608,-23.9117,2.9829,0.5000
0.618,-23.8987,2.9826,0.5000
0.628,-23.8857,2.9823,0.5000
0.638,-23.8727,2.9820,0.5000
0.649,-23.8597,2.9817,0.5000
0.659,-23.8468,2.9813,0.5000
0.668,-23.8338,2.9810,0.5000
0.678,-23.8209,2.9807,0.5000
0.688,-23.8081,2.9804,0.5000
0.698,-23.7952,2.9801,0.5000
