t,x,y,z,vx,vy,vz,ax,ay,az
0.019,-27.2660,1.4905,0.5000,1.4037,-0.0409,0.0000,0.0249,-0.0924,0.0000
0.029,-27.2520,1.4901,0.5000,1.4039,-0.0418,0.0000,0.0182,-0.0918,0.0000
0.039,-27.2379,1.4897,0.5000,1.4041,-0.0427,0.0000,0.0117,-0.0912,0.0000
0.049,-27.2239,1.4893,0.5000,1.4041,-0.0437,0.0000,0.0055,-0.0906,0.0000
0.059,-27.2099,1.4888,0.5000,1.4042,-0.0446,0.0000,-0.0004,-0.0899,0.0000
0.069,-27.1958,1.4884,0.5000,1.4041,-0.0455,0.0000,-0.0061,-0.0891,0.0000
0.079,-27.1818,1.4879,0.5000,1.4040,-0.0463,0.0000,-0.0116,-0.0884,0.0000
0.089,-27.1677,1.4874,0.5000,1.4039,-0.0472,0.0000,-0.0168,-0.0875,0.0000
0.099,-27.1537,1.4870,0.5000,1.4037,-0.0481,0.0000,-0.0218,-0.0866,0.0000
0.109,-27.1396,1.4865,0.5000,1.4035,-0.0490,0.0000,-0.0265,-0.0857,0.0000
0.119,-27.1256,1.4860,0.5000,1.4032,-0.0498,0.0000,-0.0310,-0.0848,0.0000
0.129,-27.1116,1.4855,0.5000,1.4028,-0.0507,0.0000,-0.0353,-0.0837,0.0000
0.139,-27.0976,1.4850,0.5000,1.4025,-0.0515,0.0000,-0.0393,-0.0827,0.0000
0.149,-27.0836,1.4845,0.5000,1.4021,-0.0523,0.0000,-0.0431,-0.0816,0.0000
0.159,-27.0695,1.4839,0.5000,1.4016,-0.0531,0.0000,-0.0467,-0.0805,0.0000
0.169,-27.0555,1.4834,0.5000,1.4011,-0.0539,0.0000,-0.0502,-0.0793,0.0000
0.179,-27.0415,1.4829,0.5000,1.4006,-0.0547,0.0000,-0.0533,-0.0781,0.0000
0.189,-27.0275,1.4823,0.5000,1.4001,-0.0555,0.0000,-0.0564,-0.0769,0.0000
0.199,-27.0135,1.4817,0.5000,1.3995,-0.0562,0.0000,-0.0591,-0.0756,0.0000
0.209,-26.9995,1.4812,0.5000,1.3989,-0.0570,0.0000,-0.0618,-0.0743,0.0000
0.219,-26.9856,1.4806,0.5000,1.3982,-0.0577,0.0000,-0.0642,-0.0730,0.0000
0.229,-26.9716,1.4800,0.5000,1.3976,-0.0584,0.0000,-0.0664,-0.0716,0.0000
0.239,-26.9576,1.4794,0.5000,1.3969,-0.0592,0.0000,-0.0685,-0.0702,0.0000
0.249,-26.9436,1.4788,0.5000,1.3962,-0.0599,0.0000,-0.0703,-0.0688,0.0000
0.259,-26.9297,1.4782,0.5000,1.3955,-0.0605,0.0000,-0.0720,-0.0673,0.0000
0.269,-26.9157,1.4776,0.5000,1.3948,-0.0612,0.0000,-0.0736,-0.0658,0.0000
0.279,-26.9018,1.4770,0.5000,1.3940,-0.0618,0.0000,-0.0749,-0.0643,0.0000
0.289,-26.8878,1.4764,0.5000,1.3933,-0.0625,0.0000,-0.0761,-0.0628,0.0000
0.299,-26.8739,1.4758,0.5000,1.3925,-0.0631,0.0000,-0.0772,-0.0612,0.0000
0.309,-26.8600,1.4751,0.5000,1.3917,-0.0637,0.0000,-0.0781,-0.0596,0.0000
0.319,-26.8461,1.4745,0.5000,1.3910,-0.0643,0.0000,-0.0789,-0.0580,0.0000
0.329,-26.8322,1.4738,0.5000,1.3902,-0.0649,0.0000,-0.0795,-0.0564,0.0000
0.339,-26.8183,1.4732,0.5000,1.3894,-0.0654,0.0000,-0.0799,-0.0547,0.0000
0.349,-26.8044,1.4725,0.5000,1.3886,-0.0660,0.0000,-0.0803,-0.0530,0.0000
0.359,-26.7905,1.4719,0.5000,1.3878,-0.0665,0.0000,-0.0805,-0.0513,0.0000
0.369,-26.7766,1.4712,0.5000,1.3870,-0.0670,0.0000,-0.0806,-0.0496,0.0000
0.379,-26.7628,1.4705,0.5000,1.3862,-0.0675,0.0000,-0.0805,-0.0479,0.0000
0.389,-26.7489,1.4699,0.5000,1.3853,-0.0679,0.0000,-0.0803,-0.0462,0.0000
0.399,-26.7350,1.4692,0.5000,1.3845,-0.0684,0.0000,-0.0801,-0.0444,0.0000
0.409,-26.7212,1.4685,0.5000,1.3837,-0.0688,0.0000,-0.0797,-0.0426,0.0000
0.419,-26.7073,1.4678,0.5000,1.3830,-0.0693,0.0000,-0.0792,-0.0409,0.0000
0.429,-26.6935,1.4671,0.5000,1.3822,-0.0697,0.0000,-0.0786,-0.0391,0.0000
0.439,-26.6797,1.4664,0.5000,1.3814,-0.0700,0.0000,-0.0779,-0.0373,0.0000
0.449,-26.6659,1.4657,0.5000,1.3806,-0.0704,0.0000,-0.0771,-0.0355,0.0000
0.459,-26.6521,1.4650,0.5000,1.3798,-0.0707,0.0000,-0.0762,-0.0336,0.0000
0.469,-26.6383,1.4643,0.5000,1.3791,-0.0711,0.0000,-0.0753,-0.0318,0.0000
