t,x,y,z
0.024,-22.2266,1.5119,0.5000
0.034,-22.2116,1.5118,0.5000
0.044,-22.1966,1.5116,0.5000
0.054,-22.1815,1.5115,0.5000
0.064,-22.1665,1.5113,0.5000
0.074,-22.1513,1.5111,0.5000
0.084,-22.1362,1.5109,0.5000
0.094,-22.1210,1.5107,0.5000
0.104,-22.1059,1.5105,0.5000
0.114,-22.0907,1.5102,0.5000
0.124,-22.0755,1.5100,0.5000
0.134,-22.0603,1.5097,0.5000
0.144,-22.0450,1.5095,0.5000
0.154,-22.0298,1.5092,0.5000
0.164,-22.0145,1.5089,0.5000
0.174,-21.9992,1.5086,0.5000
0.184,-21.9839,1.5083,0.5000
0.194,-21.9686,1.5080,0.5000
0.204,-21.9533,1.5076,0.5000
0.214,-21.9380,1.5073,0.5000
0.224,-21.9226,1.5069,0.5000
0.234,-21.9073,1.5066,0.5000
0.244,-21.8920,1.5062,0.5000
0.254,-21.8766,1.5058,0.5000
0.264,-21.8613,1.5054,0.5000
0.274,-21.8459,1.5050,0.5000
0.284,-21.8306,1.5046,0.5000
0.294,-21.8152,1.5041,0.5000
0.304,-21.7999,1.5037,0.5000
0.314,-21.7845,1.5032,0.5000
0.324,-21.7692,1.5028,0.5000
0.334,-21.7539,1.5023,0.5000
0.344,-21.7385,1.5018,0.5000
0.354,-21.7232,1.5014,0.5000
0.364,-21.7079,1.5009,0.5000
0.374,-21.6926,1.5004,0.5000
0.384,-21.6773,1.4999,0.5000
0.394,-21.6620,1.4993,0.5000
0.404,-21.6468,1.4988,0.5000
0.414,-21.6315,1.4983,0.5000
0.424,-21.6162,1.4978,0.5000
0.434,-21.6010,1.4972,0.5000
0.444,-21.5857,1.4967,0.5000
0.454,-21.5705,1.4961,0.5000
0.464,-21.5553,1.4955,0.5000
0.474,-21.5401,1.4950,0.5000
0.484,-21.5249,1.4944,0.5000
0.494,-21.5098,1.4938,0.5000
0.504,-21.4947,1.4932,0.5000
0.514,-21.4796,1.4926,0.5000
0.524,-21.4645,1.4920,0.5000
0.534,-21.4495,1.4914,0.5000
0.544,-21.4344,1.4908,0.5000
0.554,-21.4194,1.4902,0.5000
0.564,-21.4044,1.4896,0.5000
0.574,-21.3894,1.4890,0.5000
0.584,-21.3745,1.4883,0.5000
0.594,-21.3595,1.4877,0.5000
0.604,-21.3447,1.4871,0.5000
0.614,-21.3298,1.4865,0.5000
0.624,-21.3149,1.4858,0.5000
0.634,-21.3001,1.4852,0.5000
0.644,-21.2853,1.4846,0.5000
0.654,-21.2706,1.4839,0.5000
0.664,-21.2558,1.4833,0.5000
0.674,-21.2411,1.4826,0.5000
0.684,-21.2264,1.4820,0.5000
0.694,-21.2118,1.4813,0.5000
0.704,-21.1972,1.4807,0.5000
0.714,-21.1825,1.4801,0.5000
0.724,-21.1680,1.4794,0.5000
0.734,-21.1534,1.4788,0.5000
0.744,-21.1390,1.4781,0.5000
0.754,-21.1245,1.4775,0.5000
0.764,-21.1101,1.4769,0.5000
0.774,-21.0957,1.4762,0.5000
0.784,-21.0813,1.4756,0.5000
0.794,-21.0671,1.4750,0.5000
0.804,-21.0528,1.4743,0.5000
0.814,-21.0386,1.4737,0.5000
0.824,-21.0244,1.4731,0.5000
0.834,-21.0103,1.4725,0.5000
0.844,-20.9962,1.4718,0.5000
0.854,-20.9822,1.4712,0.5000
0.864,-20.9682,1.4706,0.5000
0.874,-20.9542,1.4700,0.5000
0.884,-20.9404,1.4694,0.5000
0.894,-20.9265,1.4688,0.5000
0.904,-20.9128,1.4682,0.5000
0.914,-20.8990,1.4676,0.5000
0.924,-20.8854,1.4670,0.5000
0.934,-20.8717,1.4665,0.5000
0.944,-20.8581,1.4659,0.5000
0.954,-20.8446,1.4653,0.5000
0.964,-20.8312,1.4648,0.5000
0.974,-20.8177,1.4642,0.5000
0.984,-20.8044,1.4636,0.5000
0.994,-20.7910,1.4631,0.5000
1.004,-20.7778,1.4626,0.5000
1.014,-20.7646,1.4620,0.5000
1.024,-20.7515,1.4615,0.5000
1.034,-20.7384,1.4610,0.5000
1.044,-20.7254,1.4605,0.5000
1.054,-20.7124,1.4600,0.5000
1.064,-20.6995,1.4594,0.5000
1.074,-20.6867,1.4590,0.5000
1.084,-20.6738,1.4585,0.5000
1.094,-20.6612,1.4580,0.5000
1.104,-20.6485,1.4575,0.5000
1.114,-20.6359,1.4571,0.5000
1.124,-20.6233,1.4566,0.5000
1.134,-20.6108,1.4562,0.5000
1.144,-20.5983,1.4557,0.5000
1.154,-20.5860,1.4553,0.5000
1.164,-20.5737,1.4548,0.5000
1.174,-20.5614,1.4544,0.5000
1.184,-20.5492,1.4540,0.5000
1.194,-20.5370,1.4536,0.5000
1.204,-20.5249,1.4532,0.5000
1.214,-20.5128,1.4528,0.5000
1.224,-20.5008,1.4525,0.5000
1.234,-20.4889,1.4521,0.5000
1.244,-20.4770,1.4517,0.5000
1.254,-20.4652,1.4514,0.5000
1.264,-20.4534,1.4510,0.5000
1.274,-20.4417,1.4507,0.5000
1.284,-20.4300,1.4504,0.5000
1.294,-20.4184,1.4501,0.5000
1.304,-20.4068,1.4497,0.5000
1.314,-20.3953,1.4494,0.5000
1.324,-20.3838,1.4492,0.5000
1.334,-20.3724,1.4489,0.5000
1.344,-20.3611,1.4486,0.5000
1.354,-20.3498,1.4483,0.5000
1.364,-20.3385,1.4481,0.5000
1.374,-20.3273,1.4478,0.5000
1.384,-20.3161,1.4476,0.5000
1.394,-20.3050,1.4473,0.5000
1.404,-20.2939,1.4471,0.5000
1.414,-20.2829,1.4469,0.5000
1.424,-20.2719,1.4467,0.5000
1.434,-20.2610,1.4465,0.5000
1.444,-20.2501,1.4463,0.5000
1.454,-20.2392,1.4461,0.5000
1.464,-20.2284,1.4460,0.5000
1.474,-20.2176,1.4458,0.5000
1.484,-20.2069,1.4456,0.5000
1.494,-20.1962,1.4455,0.5000
1.504,-20.1855,1.4454,0.5000
1.514,-20.1749,1.4452,0.5000
1.524,-20.1643,1.4451,0.5000
1.534,-20.1538,1.4450,0.5000
1.544,-20.1432,1.4449,0.5000
1.554,-20.1327,1.4448,0.5000
1.567,-20.1212,1.4447,0.5000
1.574,-20.1119,1.4446,0.5000
1.584,-20.1013,1.4446,0.5000
1.595,-20.0902,1.4445,0.5000
1.604,-20.0808,1.4444,0.5000
1.614,-20.0699,1.4444,0.5000
1.624,-20.0593,1.4443,0.5000
1.634,-20.0499,1.4443,0.5000
1.644,-20.0397,1.4443,0.5000
1.654,-20.0295,1.4443,0.5000
1.664,-20.0193,1.4443,0.5000
1.674,-20.0092,1.4443,0.5000
1.684,-19.9991,1.4443,0.5000
1.694,-19.9889,1.4443,0.5000
1.704,-19.9788,1.4443,0.5000
1.714,-19.9687,1.4443,0.5000
1.724,-19.9587,1.4444,0.5000
1.734,-19.9486,1.4444,0.5000
1.744,-19.9386,1.4445,0.5000
1.754,-19.9285,1.4445,0.5000
1.764,-19.9185,1.4446,0.5000
1.774,-19.9085,1.4447,0.5000
1.784,-19.8985,1.4447,0.5000
1.794,-19.8885,1.4448,0.5000
1.804,-19.8786,1.4449,0.5000
1.814,-19.8686,1.4450,0.5000
1.824,-19.8586,1.4451,0.5000
1.834,-19.8486,1.4452,0.5000
1.844,-19.8387,1.4454,0.5000
1.854,-19.8288,1.4455,0.5000
1.864,-19.8188,1.4456,0.5000
1.874,-19.8089,1.4457,0.5000
1.884,-19.7989,1.4459,0.5000
1.894,-19.7889,1.4460,0.5000
1.904,-19.7790,1.4462,0.5000
1.914,-19.7690,1.4463,0.5000
1.924,-19.7591,1.4465,0.5000
1.934,-19.7491,1.4466,0.5000
1.944,-19.7392,1.4468,0.5000
1.954,-19.7292,1.4470,0.5000
1.964,-19.7193,1.4472,0.5000
1.974,-19.7093,1.4473,0.5000
1.984,-19.6993,1.4475,0.5000
1.994,-19.6893,1.4477,0.5000
2.004,-19.6793,1.4479,0.5000
2.014,-19.6694,1.4481,0.5000
2.024,-19.6594,1.4483,0.5000
2.034,-19.6493,1.4485,0.5000
2.044,-19.6393,1.4487,0.5000
2.054,-19.6292,1.4489,0.5000
2.064,-19.6193,1.4491,0.5000
2.074,-19.6092,1.4493,0.5000
2.084,-19.5992,1.4495,0.5000
2.094,-19.5891,1.4497,0.5000
2.104,-19.5790,1.4499,0.5000
2.114,-19.5689,1.4501,0.5000
2.124,-19.5588,1.4503,0.5000
2.134,-19.5488,1.4505,0.5000
2.144,-19.5386,1.4508,0.5000
2.154,-19.5285,1.4510,0.5000
2.164,-19.5183,1.4512,0.5000
2.174,-19.5082,1.4514,0.5000
2.184,-19.4980,1.4516,0.5000
2.194,-19.4878,1.4518,0.5000
2.204,-19.4776,1.4521,0.5000
2.214,-19.4674,1.4523,0.5000
2.224,-19.4571,1.4525,0.5000
2.234,-19.4468,1.4527,0.5000
2.244,-19.4366,1.4529,0.5000
2.254,-19.4263,1.4532,0.5000
2.264,-19.4160,1.4534,0.5000
2.274,-19.4056,1.4536,0.5000
2.284,-19.3953,1.4538,0.5000
2.294,-19.3850,1.4540,0.5000
2.304,-19.3746,1.4542,0.5000
2.314,-19.3642,1.4545,0.5000
2.324,-19.3538,1.4547,0.5000
2.334,-19.3433,1.4549,0.5000
2.344,-19.3329,1.4551,0.5000
2.354,-19.3224,1.4553,0.5000
2.364,-19.3120,1.4555,0.5000
2.374,-19.3014,1.4557,0.5000
2.384,-19.2909,1.4560,0.5000
2.394,-19.2804,1.4562,0.5000
2.404,-19.2698,1.4564,0.5000
2.414,-19.2592,1.4566,0.5000
2.424,-19.2486,1.4568,0.5000
2.434,-19.2380,1.4570,0.5000
2.444,-19.2274,1.4572,0.5000
2.454,-19.2167,1.4574,0.5000
2.464,-19.2060,1.4576,0.5000
2.474,-19.1953,1.4578,0.5000
2.484,-19.1846,1.4580,0.5000
2.494,-19.1738,1.4582,0.5000
2.504,-19.1631,1.4584,0.5000
2.514,-19.1523,1.4586,0.5000
2.524,-19.1415,1.4588,0.5000
2.534,-19.1307,1.4589,0.5000
2.544,-19.1198,1.4591,0.5000
2.554,-19.1090,1.4593,0.5000
2.564,-19.0981,1.4595,0.5000
2.574,-19.0872,1.4597,0.5000
2.584,-19.0762,1.4599,0.5000
2.594,-19.0653,1.4600,0.5000
2.604,-19.0543,1.4602,0.5000
2.614,-19.0433,1.4604,0.5000
2.624,-19.0323,1.4606,0.5000
2.634,-19.0213,1.4607,0.5000
2.644,-19.0102,1.4609,0.5000
2.654,-18.9991,1.4611,0.5000
2.664,-18.9880,1.4612,0.5000
2.674,-18.9769,1.4614,0.5000
2.684,-18.9658,1.4615,0.5000
2.694,-18.9546,1.4617,0.5000
2.704,-18.9435,1.4618,0.5000
2.714,-18.9322,1.4620,0.5000
2.724,-18.9211,1.4621,0.5000
2.734,-18.9098,1.4623,0.5000
2.745,-18.8985,1.4624,0.5000
2.754,-18.8868,1.4626,0.5000
2.764,-18.8868,1.4626,0.5000
2.774,-18.8644,1.4629,0.5000
2.784,-18.8524,1.4630,0.5000
2.794,-18.8419,1.4631,0.5000
2.804,-18.8305,1.4633,0.5000
2.814,-18.8192,1.4634,0.5000
2.824,-18.8077,1.4635,0.5000
2.834,-18.7963,1.4637,0.5000
2.844,-18.7849,1.4638,0.5000
2.854,-18.7734,1.4639,0.5000
2.864,-18.7619,1.4640,0.5000
2.874,-18.7504,1.4641,0.5000
2.884,-18.7388,1.4643,0.5000
2.894,-18.7273,1.4644,0.5000
2.904,-18.7157,1.4645,0.5000
2.914,-18.7042,1.4646,0.5000
2.924,-18.6926,1.4647,0.5000
2.934,-18.6809,1.4648,0.5000
2.944,-18.6693,1.4649,0.5000
2.954,-18.6577,1.4650,0.5000
2.964,-18.6460,1.4651,0.5000
2.974,-18.6343,1.4652,0.5000
2.984,-18.6226,1.4653,0.5000
2.994,-18.6109,1.4654,0.5000
3.004,-18.5992,1.4655,0.5000
3.014,-18.5872,1.4656,0.5000
3.024,-18.5757,1.4657,0.5000
3.034,-18.5639,1.4658,0.5000
3.044,-18.5521,1.4659,0.5000
3.054,-18.5404,1.4660,0.5000
3.064,-18.5286,1.4661,0.5000
3.074,-18.5168,1.4662,0.5000
3.084,-18.5049,1.4663,0.5000
3.094,-18.4931,1.4664,0.5000
3.104,-18.4813,1.4666,0.5000
3.114,-18.4695,1.4667,0.5000
3.124,-18.4576,1.4668,0.5000
3.134,-18.4458,1.4669,0.5000
3.144,-18.4339,1.4670,0.5000
3.154,-18.4220,1.4671,0.5000
3.164,-18.4102,1.4672,0.5000
3.174,-18.3983,1.4674,0.5000
3.184,-18.3864,1.4675,0.5000
3.194,-18.3745,1.4676,0.5000
3.204,-18.3626,1.4678,0.5000
3.214,-18.3507,1.4679,0.5000
3.224,-18.3388,1.4680,0.5000
3.234,-18.3269,1.4682,0.5000
3.244,-18.3150,1.4683,0.5000
3.254,-18.3031,1.4685,0.5000
3.264,-18.2912,1.4686,0.5000
3.274,-18.2793,1.4688,0.5000
3.284,-18.2673,1.4689,0.5000
3.294,-18.2555,1.4691,0.5000
3.304,-18.2435,1.4692,0.5000
3.314,-18.2316,1.4694,0.5000
3.324,-18.2197,1.4696,0.5000
3.334,-18.2078,1.4698,0.5000
3.344,-18.1959,1.4700,0.5000
3.354,-18.1840,1.4701,0.5000
3.364,-18.1721,1.4703,0.5000
3.374,-18.1602,1.4705,0.5000
3.384,-18.1483,1.4707,0.5000
3.394,-18.1364,1.4709,0.5000
3.404,-18.1245,1.4711,0.5000
3.414,-18.1126,1.4713,0.5000
3.424,-18.1007,1.4716,0.5000
3.434,-18.0888,1.4718,0.5000
3.444,-18.0769,1.4720,0.5000
3.454,-18.0651,1.4722,0.5000
3.464,-18.0532,1.4725,0.5000
3.474,-18.0413,1.4727,0.5000
3.484,-18.0294,1.4730,0.5000
3.494,-18.0176,1.4732,0.5000
3.504,-18.0057,1.4735,0.5000
3.514,-17.9938,1.4737,0.5000
3.524,-17.9820,1.4740,0.5000
3.534,-17.9702,1.4743,0.5000
3.544,-17.9584,1.4745,0.5000
3.554,-17.9465,1.4748,0.5000
3.564,-17.9347,1.4751,0.5000
3.574,-17.9229,1.4754,0.5000
3.584,-17.9111,1.4757,0.5000
3.594,-17.8993,1.4760,0.5000
3.604,-17.8875,1.4763,0.5000
3.614,-17.8758,1.4766,0.5000
3.624,-17.8640,1.4769,0.5000
3.634,-17.8522,1.4772,0.5000
3.644,-17.8405,1.4775,0.5000
3.654,-17.8288,1.4778,0.5000
3.664,-17.8170,1.4782,0.5000
3.674,-17.8053,1.4785,0.5000
3.684,-17.7936,1.4788,0.5000
3.694,-17.7819,1.4792,0.5000
3.704,-17.7702,1.4795,0.5000
3.714,-17.7585,1.4798,0.5000
3.724,-17.7467,1.4802,0.5000
3.734,-17.7351,1.4806,0.5000
3.744,-17.7234,1.4809,0.5000
3.754,-17.7118,1.4813,0.5000
3.764,-17.7001,1.4816,0.5000
3.774,-17.6885,1.4820,0.5000
3.784,-17.6769,1.4824,0.5000
3.794,-17.6653,1.4828,0.5000
3.804,-17.6536,1.4831,0.5000
3.814,-17.6421,1.4835,0.5000
3.824,-17.6305,1.4839,0.5000
3.834,-17.6189,1.4843,0.5000
3.844,-17.6074,1.4847,0.5000
3.854,-17.5958,1.4851,0.5000
3.864,-17.5843,1.4855,0.5000
3.874,-17.5728,1.4859,0.5000
3.884,-17.5612,1.4863,0.5000
3.894,-17.5497,1.4867,0.5000
3.904,-17.5382,1.4871,0.5000
3.914,-17.5268,1.4876,0.5000
3.924,-17.5153,1.4880,0.5000
3.934,-17.5039,1.4884,0.5000
3.944,-17.4924,1.4888,0.5000
3.954,-17.4810,1.4892,0.5000
3.964,-17.4695,1.4897,0.5000
3.974,-17.4582,1.4901,0.5000
3.984,-17.4468,1.4905,0.5000
3.994,-17.4354,1.4910,0.5000
4.004,-17.4240,1.4914,0.5000
4.014,-17.4126,1.4918,0.5000
4.024,-17.4013,1.4923,0.5000
4.034,-17.3899,1.4927,0.5000
4.044,-17.3786,1.4931,0.5000
4.054,-17.3672,1.4936,0.5000
4.064,-17.3560,1.4940,0.5000
4.074,-17.3447,1.4945,0.5000
4.084,-17.3334,1.4949,0.5000
4.094,-17.3222,1.4954,0.5000
4.104,-17.3109,1.4958,0.5000
4.114,-17.2997,1.4963,0.5000
4.124,-17.2885,1.4967,0.5000
4.134,-17.2773,1.4972,0.5000
4.144,-17.2661,1.4976,0.5000
4.154,-17.2549,1.4981,0.5000
4.164,-17.2438,1.4985,0.5000
4.174,-17.2326,1.4989,0.5000
4.184,-17.2215,1.4994,0.5000
4.194,-17.2103,1.4998,0.5000
4.204,-17.1993,1.5003,0.5000
4.214,-17.1882,1.5007,0.5000
4.224,-17.1771,1.5012,0.5000
4.234,-17.1661,1.5016,0.5000
4.244,-17.1551,1.5020,0.5000
4.254,-17.1441,1.5025,0.5000
4.264,-17.1331,1.5029,0.5000
4.274,-17.1221,1.5034,0.5000
4.284,-17.1112,1.5038,0.5000
4.294,-17.1003,1.5042,0.5000
4.304,-17.0893,1.5046,0.5000
4.314,-17.0784,1.5051,0.5000
4.324,-17.0676,1.5055,0.5000
4.334,-17.0567,1.5059,0.5000
4.344,-17.0459,1.5063,0.5000
4.354,-17.0351,1.5068,0.5000
4.364,-17.0243,1.5072,0.5000
4.374,-17.0135,1.5076,0.5000
4.384,-17.0028,1.5080,0.5000
4.394,-16.9920,1.5084,0.5000
4.404,-16.9813,1.5088,0.5000
4.414,-16.9707,1.5092,0.5000
4.424,-16.9600,1.5096,0.5000
