t,x,y,z,vx,vy,vz,ax,ay,az
0.020,-27.2305,-1.4992,0.5000,1.4899,0.0036,0.0000,0.1911,0.0106,0.0000
0.030,-27.2156,-1.4992,0.5000,1.4918,0.0038,0.0000,0.1826,0.0107,0.0000
0.040,-27.2007,-1.4992,0.5000,1.4935,0.0039,0.0000,0.1742,0.0107,0.0000
0.050,-27.1858,-1.4991,0.5000,1.4952,0.0040,0.0000,0.1660,0.0108,0.0000
0.060,-27.1708,-1.4991,0.5000,1.4969,0.0041,0.0000,0.1580,0.0109,0.0000
0.070,-27.1558,-1.4990,0.5000,1.4984,0.0042,0.0000,0.1501,0.0110,0.0000
0.080,-27.1408,-1.4990,0.5000,1.4999,0.0043,0.0000,0.1423,0.0110,0.0000
0.090,-27.1258,-1.4989,0.5000,1.5012,0.0044,0.0000,0.1347,0.0111,0.0000
0.100,-27.1108,-1.4989,0.5000,1.5026,0.0045,0.0000,0.1272,0.0112,0.0000
0.110,-27.0958,-1.4989,0.5000,1.5038,0.0046,0.0000,0.1198,0.0112,0.0000
0.120,-27.0807,-1.4988,0.5000,1.5050,0.0047,0.0000,0.1126,0.0113,0.0000
0.130,-27.0657,-1.4988,0.5000,1.5060,0.0049,0.0000,0.1056,0.0113,0.0000
0.140,-27.0506,-1.4987,0.5000,1.5071,0.0050,0.0000,0.0986,0.0114,0.0000
0.150,-27.0355,-1.4987,0.5000,1.5080,0.0051,0.0000,0.0919,0.0114,0.0000
0.160,-27.0204,-1.4986,0.5000,1.5089,0.0052,0.0000,0.0852,0.0115,0.0000
0.170,-27.0053,-1.4986,0.5000,1.5097,0.0053,0.0000,0.0787,0.0115,0.0000
0.180,-26.9903,-1.4985,0.5000,1.5105,0.0054,0.0000,0.0723,0.0116,0.0000
0.190,-26.9752,-1.4984,0.5000,1.5112,0.0055,0.0000,0.0660,0.0116,0.0000
0.200,-26.9601,-1.4984,0.5000,1.5118,0.0057,0.0000,0.0599,0.0116,0.0000
0.210,-26.9449,-1.4983,0.5000,1.5124,0.0058,0.0000,0.0539,0.0116,0.0000
0.220,-26.9298,-1.4983,0.5000,1.5129,0.0059,0.0000,0.0480,0.0117,0.0000
0.230,-26.9147,-1.4982,0.5000,1.5133,0.0060,0.0000,0.0423,0.0117,0.0000
0.240,-26.8995,-1.4982,0.5000,1.5137,0.0061,0.0000,0.0366,0.0117,0.0000
0.249,-26.8845,-1.4981,0.5000,1.5141,0.0062,0.0000,0.0311,0.0117,0.0000
0.260,-26.8692,-1.4980,0.5000,1.5143,0.0064,0.0000,0.0257,0.0117,0.0000
0.270,-26.8542,-1.4980,0.5000,1.5146,0.0065,0.0000,0.0205,0.0117,0.0000
0.279,-26.8390,-1.4979,0.5000,1.5147,0.0066,0.0000,0.0153,0.0117,0.0000
0.290,-26.8238,-1.4978,0.5000,1.5149,0.0067,0.0000,0.0102,0.0117,0.0000
0.300,-26.8087,-1.4978,0.5000,1.5150,0.0068,0.0000,0.0053,0.0117,0.0000
0.310,-26.7935,-1.4977,0.5000,1.5150,0.0069,0.0000,0.0005,0.0116,0.0000
0.320,-26.7784,-1.4976,0.5000,1.5150,0.0071,0.0000,-0.0042,0.0116,0.0000
0.330,-26.7632,-1.4976,0.5000,1.5149,0.0072,0.0000,-0.0088,0.0116,0.0000
0.340,-26.7480,-1.4975,0.5000,1.5148,0.0073,0.0000,-0.0133,0.0116,0.0000
0.350,-26.7329,-1.4974,0.5000,1.5146,0.0074,0.0000,-0.0177,0.0115,0.0000
0.360,-26.7178,-1.4973,0.5000,1.5144,0.0075,0.0000,-0.0220,0.0115,0.0000
0.370,-26.7026,-1.4973,0.5000,1.5142,0.0076,0.0000,-0.0261,0.0115,0.0000
0.380,-26.6875,-1.4972,0.5000,1.5139,0.0078,0.0000,-0.0302,0.0114,0.0000
0.390,-26.6723,-1.4971,0.5000,1.5136,0.0079,0.0000,-0.0342,0.0114,0.0000
