t,x,y,z
0.024,-22.9244,1.5008,0.5000
0.034,-22.9170,1.5008,0.5000
0.044,-22.9096,1.5007,0.5000
0.054,-22.9021,1.5007,0.5000
0.064,-22.8945,1.5007,0.5000
0.074,-22.8869,1.5007,0.5000
0.084,-22.8792,1.5006,0.5000
0.094,-22.8714,1.5006,0.5000
0.104,-22.8637,1.5006,0.5000
0.114,-22.8559,1.5005,0.5000
0.124,-22.8480,1.5005,0.5000
0.134,-22.8400,1.5005,0.5000
0.144,-22.8320,1.5004,0.5000
0.154,-22.8239,1.5004,0.5000
0.164,-22.8158,1.5004,0.5000
0.174,-22.8076,1.5003,0.5000
0.184,-22.7994,1.5003,0.5000
0.194,-22.7910,1.5002,0.5000
0.204,-22.7828,1.5002,0.5000
0.214,-22.7744,1.5001,0.5000
0.224,-22.7659,1.5001,0.5000
0.234,-22.7574,1.5000,0.5000
0.244,-22.7489,1.5000,0.5000
0.254,-22.7403,1.4999,0.5000
0.264,-22.7316,1.4999,0.5000
0.274,-22.7229,1.4998,0.5000
0.284,-22.7142,1.4998,0.5000
0.294,-22.7054,1.4997,0.5000
0.304,-22.6966,1.4996,0.5000
0.314,-22.6877,1.4996,0.5000
0.324,-22.6787,1.4995,0.5000
0.334,-22.6697,1.4994,0.5000
0.344,-22.6607,1.4994,0.5000
0.354,-22.6516,1.4993,0.5000
0.364,-22.6425,1.4992,0.5000
0.374,-22.6333,1.4992,0.5000
0.384,-22.6241,1.4991,0.5000
0.394,-22.6149,1.4990,0.5000
0.404,-22.6055,1.4990,0.5000
0.414,-22.5962,1.4989,0.5000
0.424,-22.5868,1.4988,0.5000
0.434,-22.5774,1.4987,0.5000
0.444,-22.5679,1.4986,0.5000
0.454,-22.5582,1.4986,0.5000
0.464,-22.5487,1.4985,0.5000
0.474,-22.5392,1.4984,0.5000
0.484,-22.5295,1.4983,0.5000
0.494,-22.5199,1.4982,0.5000
0.504,-22.5101,1.4981,0.5000
0.514,-22.5004,1.4980,0.5000
0.524,-22.4906,1.4979,0.5000
0.534,-22.4807,1.4978,0.5000
0.544,-22.4708,1.4978,0.5000
0.554,-22.4609,1.4977,0.5000
0.564,-22.4510,1.4976,0.5000
0.574,-22.4410,1.4975,0.5000
0.584,-22.4310,1.4974,0.5000
0.594,-22.4209,1.4973,0.5000
0.604,-22.4108,1.4972,0.5000
0.614,-22.4007,1.4971,0.5000
0.624,-22.3905,1.4970,0.5000
0.634,-22.3803,1.4969,0.5000
0.644,-22.3701,1.4967,0.5000
0.654,-22.3598,1.4966,0.5000
0.664,-22.3495,1.4965,0.5000
0.674,-22.3392,1.4964,0.5000
0.684,-22.3289,1.4963,0.5000
0.694,-22.3185,1.4962,0.5000
0.704,-22.3081,1.4961,0.5000
0.714,-22.2976,1.4960,0.5000
0.724,-22.2872,1.4959,0.5000
0.734,-22.2767,1.4957,0.5000
0.744,-22.2662,1.4956,0.5000
0.754,-22.2557,1.4955,0.5000
0.764,-22.2451,1.4954,0.5000
0.774,-22.2345,1.4953,0.5000
0.784,-22.2239,1.4951,0.5000
0.794,-22.2133,1.4950,0.5000
0.804,-22.2027,1.4949,0.5000
0.814,-22.1920,1.4948,0.5000
0.824,-22.1813,1.4946,0.5000
0.834,-22.1706,1.4945,0.5000
0.844,-22.1599,1.4944,0.5000
0.854,-22.1492,1.4943,0.5000
0.864,-22.1385,1.4941,0.5000
0.874,-22.1277,1.4940,0.5000
0.884,-22.1169,1.4939,0.5000
0.894,-22.1061,1.4937,0.5000
0.904,-22.0953,1.4936,0.5000
0.914,-22.0845,1.4935,0.5000
0.924,-22.0737,1.4933,0.5000
0.934,-22.0629,1.4932,0.5000
0.944,-22.0520,1.4931,0.5000
0.954,-22.0412,1.4929,0.5000
0.964,-22.0303,1.4928,0.5000
0.974,-22.0195,1.4927,0.5000
0.984,-22.0086,1.4925,0.5000
0.994,-21.9977,1.4924,0.5000
1.004,-21.9868,1.4922,0.5000
1.014,-21.9759,1.4921,0.5000
1.024,-21.9650,1.4919,0.5000
1.034,-21.9541,1.4918,0.5000
1.044,-21.9432,1.4917,0.5000
1.054,-21.9323,1.4915,0.5000
1.064,-21.9214,1.4914,0.5000
1.074,-21.9104,1.4912,0.5000
1.084,-21.8995,1.4911,0.5000
1.094,-21.8886,1.4909,0.5000
1.104,-21.8777,1.4908,0.5000
1.114,-21.8667,1.4906,0.5000
1.124,-21.8558,1.4905,0.5000
1.134,-21.8449,1.4903,0.5000
1.144,-21.8340,1.4902,0.5000
1.154,-21.8230,1.4900,0.5000
1.164,-21.8121,1.4899,0.5000
1.174,-21.8012,1.4897,0.5000
1.184,-21.7903,1.4896,0.5000
1.194,-21.7793,1.4894,0.5000
1.204,-21.7684,1.4893,0.5000
1.214,-21.7575,1.4891,0.5000
1.224,-21.7466,1.4889,0.5000
1.234,-21.7357,1.4888,0.5000
1.244,-21.7248,1.4886,0.5000
1.254,-21.7139,1.4885,0.5000
1.264,-21.7030,1.4883,0.5000
1.274,-21.6922,1.4882,0.5000
1.284,-21.6813,1.4880,0.5000
1.294,-21.6704,1.4878,0.5000
