t,x,y,z,vx,vy,vz,ax,ay,az
0.000,-25.2019,-0.0003,0.5000,0.8121,-0.0009,0.0000,0.1401,-0.0017,0.0000
0.010,-25.1938,-0.0003,0.5000,0.8135,-0.0009,0.0000,0.1368,-0.0017,0.0000
0.020,-25.1856,-0.0003,0.5000,0.8148,-0.0010,0.0000,0.1336,-0.0017,0.0000
0.030,-25.1775,-0.0003,0.5000,0.8161,-0.0010,0.0000,0.1304,-0.0017,0.0000
0.040,-25.1693,-0.0003,0.5000,0.8174,-0.0010,0.0000,0.1273,-0.0017,0.0000
0.050,-25.1611,-0.0003,0.5000,0.8187,-0.0010,0.0000,0.1243,-0.0017,0.0000
0.060,-25.1529,-0.0003,0.5000,0.8199,-0.0010,0.0000,0.1213,-0.0017,0.0000
0.070,-25.1447,-0.0003,0.5000,0.8211,-0.0010,0.0000,0.1183,-0.0017,0.0000
0.080,-25.1365,-0.0004,0.5000,0.8223,-0.0011,0.0000,0.1155,-0.0017,0.0000
0.090,-25.1283,-0.0004,0.5000,0.8234,-0.0011,0.0000,0.1127,-0.0017,0.0000
0.100,-25.1200,-0.0004,0.5000,0.8245,-0.0011,0.0000,0.1099,-0.0017,0.0000
0.110,-25.1118,-0.0004,0.5000,0.8256,-0.0011,0.0000,0.1072,-0.0017,0.0000
0.120,-25.1035,-0.0004,0.5000,0.8267,-0.0011,0.0000,0.1045,-0.0017,0.0000
0.130,-25.0953,-0.0004,0.5000,0.8277,-0.0011,0.0000,0.1020,-0.0017,0.0000
0.140,-25.0870,-0.0004,0.5000,0.8287,-0.0012,0.0000,0.0994,-0.0017,0.0000
0.150,-25.0787,-0.0004,0.5000,0.8297,-0.0012,0.0000,0.0969,-0.0017,0.0000
0.160,-25.0704,-0.0005,0.5000,0.8306,-0.0012,0.0000,0.0945,-0.0017,0.0000
0.170,-25.0620,-0.0005,0.5000,0.8316,-0.0012,0.0000,0.0921,-0.0017,0.0000
0.180,-25.0537,-0.0005,0.5000,0.8325,-0.0012,0.0000,0.0898,-0.0017,0.0000
0.190,-25.0454,-0.0005,0.5000,0.8334,-0.0012,0.0000,0.0875,-0.0017,0.0000
0.200,-25.0371,-0.0005,0.5000,0.8342,-0.0013,0.0000,0.0853,-0.0017,0.0000
0.210,-25.0287,-0.0005,0.5000,0.8351,-0.0013,0.0000,0.0832,-0.0017,0.0000
0.220,-25.0204,-0.0005,0.5000,0.8359,-0.0013,0.0000,0.0810,-0.0017,0.0000
0.230,-25.0120,-0.0005,0.5000,0.8367,-0.0013,0.0000,0.0790,-0.0016,0.0000
0.240,-25.0036,-0.0006,0.5000,0.8375,-0.0013,0.0000,0.0770,-0.0016,0.0000
0.250,-24.9953,-0.0006,0.5000,0.8382,-0.0013,0.0000,0.0750,-0.0016,0.0000
0.260,-24.9869,-0.0006,0.5000,0.8390,-0.0014,0.0000,0.0731,-0.0016,0.0000
0.270,-24.9785,-0.0006,0.5000,0.8397,-0.0014,0.0000,0.0712,-0.0016,0.0000
0.280,-24.9701,-0.0006,0.5000,0.8404,-0.0014,0.0000,0.0694,-0.0016,0.0000
0.290,-24.9617,-0.0006,0.5000,0.8411,-0.0014,0.0000,0.0676,-0.0016,0.0000
0.300,-24.9533,-0.0006,0.5000,0.8418,-0.0014,0.0000,0.0659,-0.0016,0.0000
0.310,-24.9448,-0.0006,0.5000,0.8424,-0.0014,0.0000,0.0642,-0.0016,0.0000
0.320,-24.9364,-0.0007,0.5000,0.8430,-0.0015,0.0000,0.0626,-0.0016,0.0000
0.330,-24.9280,-0.0007,0.5000,0.8437,-0.0015,0.0000,0.0608,-0.0019,0.0000
0.340,-24.9195,-0.0007,0.5000,0.8443,-0.0015,0.0000,0.0591,-0.0022,0.0000
0.350,-24.9111,-0.0007,0.5000,0.8448,-0.0015,0.0000,0.0574,-0.0024,0.0000
