t,x,y,z,vx,vy,vz,ax,ay,az
0.024,-27.9424,1.5000,0.5000,0.8204,-0.0000,0.0000,0.3172,-0.0000,0.0000
0.034,-27.9341,1.5000,0.5000,0.8235,-0.0000,0.0000,0.3130,-0.0000,0.0000
0.044,-27.9259,1.5000,0.5000,0.8266,-0.0000,0.0000,0.3088,-0.0000,0.0000
0.054,-27.9176,1.5000,0.5000,0.8297,-0.0000,0.0000,0.3046,-0.0000,0.0000
0.064,-27.9093,1.5000,0.5000,0.8327,-0.0000,0.0000,0.3005,-0.0000,0.0000
0.074,-27.9010,1.5000,0.5000,0.8357,-0.0000,0.0000,0.2964,-0.0000,0.0000
0.084,-27.8926,1.5000,0.5000,0.8386,-0.0000,0.0000,0.2923,-0.0000,0.0000
0.094,-27.8842,1.5000,0.5000,0.8415,-0.0000,0.0000,0.2882,-0.0000,0.0000
0.104,-27.8758,1.5000,0.5000,0.8444,-0.0000,0.0000,0.2842,-0.0000,0.0000
0.114,-27.8673,1.5000,0.5000,0.8472,-0.0000,0.0000,0.2802,-0.0000,0.0000
0.124,-27.8588,1.5000,0.5000,0.8500,-0.0000,0.0000,0.2763,-0.0000,0.0000
0.134,-27.8503,1.5000,0.5000,0.8528,-0.0000,0.0000,0.2723,-0.0000,0.0000
0.144,-27.8417,1.5000,0.5000,0.8554,-0.0000,0.0000,0.2685,-0.0000,0.0000
0.154,-27.8332,1.5000,0.5000,0.8581,-0.0000,0.0000,0.2646,-0.0000,0.0000
0.164,-27.8246,1.5000,0.5000,0.8607,-0.0000,0.0000,0.2608,-0.0000,0.0000
0.174,-27.8160,1.5000,0.5000,0.8633,-0.0000,0.0000,0.2570,-0.0000,0.0000
0.184,-27.8073,1.5000,0.5000,0.8659,-0.0000,0.0000,0.2532,-0.0000,0.0000
0.194,-27.7987,1.5000,0.5000,0.8684,-0.0000,0.0000,0.2495,-0.0000,0.0000
0.204,-27.7899,1.5000,0.5000,0.8709,-0.0000,0.0000,0.2458,-0.0000,0.0000
0.214,-27.7812,1.5000,0.5000,0.8733,-0.0000,0.0000,0.2421,-0.0000,0.0000
0.224,-27.7725,1.5000,0.5000,0.8757,-0.0000,0.0000,0.2385,-0.0000,0.0000
0.234,-27.7637,1.5000,0.5000,0.8781,-0.0000,0.0000,0.2349,-0.0000,0.0000
0.244,-27.7549,1.5000,0.5000,0.8804,-0.0000,0.0000,0.2313,-0.0000,0.0000
0.254,-27.7461,1.5000,0.5000,0.8827,-0.0000,0.0000,0.2277,-0.0000,0.0000
0.264,-27.7373,1.5000,0.5000,0.8850,-0.0000,0.0000,0.2242,-0.0000,0.0000
0.274,-27.7284,1.5000,0.5000,0.8872,-0.0000,0.0000,0.2207,-0.0000,0.0000
0.284,-27.7195,1.5000,0.5000,0.8894,-0.0000,0.0000,0.2173,-0.0000,0.0000
0.294,-27.7106,1.5000,0.5000,0.8915,-0.0000,0.0000,0.2138,-0.0000,0.0000
0.304,-27.7017,1.5000,0.5000,0.8937,-0.0000,0.0000,0.2104,-0.0000,0.0000
0.314,-27.6928,1.5000,0.5000,0.8957,-0.0000,0.0000,0.2071,-0.0000,0.0000
0.324,-27.6838,1.5000,0.5000,0.8978,-0.0000,0.0000,0.2037,-0.0000,0.0000
0.334,-27.6748,1.5000,0.5000,0.8998,-0.0000,0.0000,0.2004,-0.0000,0.0000
0.344,-27.6658,1.5000,0.5000,0.9018,-0.0000,0.0000,0.1971,-0.0000,0.0000
0.354,-27.6568,1.5000,0.5000,0.9038,-0.0000,0.0000,0.1939,-0.0000,0.0000
0.364,-27.6477,1.5000,0.5000,0.9057,-0.0000,0.0000,0.1907,-0.0000,0.0000
0.374,-27.6387,1.5000,0.5000,0.9076,-0.0000,0.0000,0.1875,-0.0000,0.0000
0.384,-27.6296,1.5000,0.5000,0.9094,-0.0000,0.0000,0.1843,-0.0000,0.0000
0.394,-27.6205,1.5000,0.5000,0.9113,-0.0000,0.0000,0.1812,-0.0000,0.0000
0.404,-27.6108,1.5000,0.5000,0.9132,-0.0000,0.0000,0.1779,-0.0000,0.0000
0.414,-27.6022,1.5000,0.5000,0.9148,-0.0000,0.0000,0.1750,-0.0000,0.0000
0.424,-27.5930,1.5000,0.5000,0.9166,-0.0000,0.0000,0.1719,-0.0000,0.0000
0.434,-27.5838,1.5000,0.5000,0.9183,-0.0000,0.0000,0.1689,-0.0000,0.0000
0.444,-27.5747,1.5000,0.5000,0.9199,-0.0000,0.0000,0.1659,-0.0000,0.0000
0.454,-27.5655,1.5000,0.5000,0.9216,-0.0000,0.0000,0.1630,-0.0000,0.0000
0.464,-27.5562,1.5000,0.5000,0.9232,-0.0000,0.0000,0.1600,-0.0000,0.0000
