t,x,y,z,vx,vy,vz,ax,ay,az
0.028,-24.5532,3.0000,0.5000,1.4118,-0.0000,0.0000,-0.0330,-0.0000,0.0000
0.038,-24.5391,3.0000,0.5000,1.4114,-0.0000,0.0000,-0.0391,-0.0000,0.0000
0.048,-24.5250,3.0000,0.5000,1.4110,-0.0000,0.0000,-0.0450,-0.0000,0.0000
0.058,-24.5109,3.0000,0.5000,1.4105,-0.0000,0.0000,-0.0508,-0.0000,0.0000
0.068,-24.4968,3.0000,0.5000,1.4100,-0.0000,0.0000,-0.0563,-0.0000,0.0000
0.078,-24.4827,3.0000,0.5000,1.4094,-0.0000,0.0000,-0.0616,-0.0000,0.0000
0.088,-24.4686,3.0000,0.5000,1.4088,-0.0000,0.0000,-0.0667,-0.0000,0.0000
0.098,-24.4544,3.0000,0.5000,1.4081,-0.0000,0.0000,-0.0716,-0.0000,0.0000
0.108,-24.4404,3.0000,0.5000,1.4073,-0.0000,0.0000,-0.0763,-0.0000,0.0000
0.118,-24.4262,3.0000,0.5000,1.4066,-0.0000,0.0000,-0.0808,-0.0000,0.0000
0.128,-24.4123,3.0000,0.5000,1.4057,-0.0000,0.0000,-0.0850,-0.0000,0.0000
0.138,-24.3982,3.0000,0.5000,1.4049,-0.0000,0.0000,-0.0891,-0.0000,0.0000
0.148,-24.3842,3.0000,0.5000,1.4039,-0.0000,0.0000,-0.0930,-0.0000,0.0000
0.158,-24.3701,3.0000,0.5000,1.4030,-0.0000,0.0000,-0.0967,-0.0000,0.0000
0.168,-24.3561,3.0000,0.5000,1.4020,-0.0000,0.0000,-0.1002,-0.0000,0.0000
0.178,-24.3421,3.0000,0.5000,1.4010,-0.0000,0.0000,-0.1036,-0.0000,0.0000
0.188,-24.3281,3.0000,0.5000,1.3999,-0.0000,0.0000,-0.1067,-0.0000,0.0000
0.198,-24.3141,3.0000,0.5000,1.3989,-0.0000,0.0000,-0.1097,-0.0000,0.0000
0.208,-24.3001,3.0000,0.5000,1.3977,-0.0000,0.0000,-0.1125,-0.0000,0.0000
0.218,-24.2862,3.0000,0.5000,1.3966,-0.0000,0.0000,-0.1152,-0.0000,0.0000
0.228,-24.2722,3.0000,0.5000,1.3954,-0.0000,0.0000,-0.1176,-0.0000,0.0000
0.238,-24.2583,3.0000,0.5000,1.3943,-0.0000,0.0000,-0.1199,-0.0000,0.0000
0.248,-24.2443,3.0000,0.5000,1.3930,-0.0000,0.0000,-0.1221,-0.0000,0.0000
0.258,-24.2302,3.0000,0.5000,1.3918,-0.0000,0.0000,-0.1241,-0.0000,0.0000
0.268,-24.2165,3.0000,0.5000,1.3906,-0.0000,0.0000,-0.1259,-0.0000,0.0000
0.278,-24.2025,3.0000,0.5000,1.3893,-0.0000,0.0000,-0.1276,-0.0000,0.0000
0.288,-24.1887,3.0000,0.5000,1.3880,-0.0000,0.0000,-0.1291,-0.0000,0.0000
0.298,-24.1748,3.0000,0.5000,1.3867,-0.0000,0.0000,-0.1305,-0.0000,0.0000
0.308,-24.1610,3.0000,0.5000,1.3854,-0.0000,0.0000,-0.1317,-0.0000,0.0000
0.318,-24.1471,3.0000,0.5000,1.3841,-0.0000,0.0000,-0.1328,-0.0000,0.0000
0.328,-24.1333,3.0000,0.5000,1.3827,-0.0000,0.0000,-0.1338,-0.0000,0.0000
0.338,-24.1195,3.0000,0.5000,1.3814,-0.0000,0.0000,-0.1346,-0.0000,0.0000
0.348,-24.1056,3.0000,0.5000,1.3801,-0.0000,0.0000,-0.1353,-0.0000,0.0000
0.358,-24.0919,3.0000,0.5000,1.3787,-0.0000,0.0000,-0.1359,-0.0000,0.0000
0.368,-24.0774,3.0000,0.5000,1.3773,-0.0000,0.0000,-0.1363,-0.0000,0.0000
0.378,-24.0643,3.0000,0.5000,1.3760,-0.0000,0.0000,-0.1366,-0.0000,0.0000
0.388,-24.0506,3.0000,0.5000,1.3746,-0.0000,0.0000,-0.1368,-0.0000,0.0000
0.398,-24.0363,3.0000,0.5000,1.3732,-0.0000,0.0000,-0.1369,-0.0000,0.0000
0.408,-24.0224,3.0000,0.5000,1.3718,-0.0000,0.0000,-0.1369,-0.0000,0.0000
0.418,-24.0094,3.0000,0.5000,1.3705,-0.0000,0.0000,-0.1367,-0.0000,0.0000
0.428,-23.9957,3.0000,0.5000,1.3691,-0.0000,0.0000,-0.1365,-0.0000,0.0000
0.438,-23.9820,3.0000,0.5000,1.3678,-0.0000,0.0000,-0.1361,-0.0000,0.0000
0.448,-23.9683,3.0000,0.5000,1.3664,-0.0000,0.0000,-0.1357,-0.0000,0.0000
0.458,-23.9547,3.0000,0.5000,1.3651,-0.0000,0.0000,-0.1351,-0.0000,0.0000
0.468,-23.9411,3.0000,0.5000,1.3637,-0.0000,0.0000,-0.1345,-0.0000,0.0000
0.478,-23.9274,3.0000,0.5000,1.3624,-0.0000,0.0000,-0.1338,-0.0000,0.0000
0.488,-23.9138,3.0000,0.5000,1.3610,-0.0000,0.0000,-0.1329,-0.0000,0.0000
0.498,-23.9002,3.0000,0.5000,1.3597,-0.0000,0.0000,-0.1320,-0.0000,0.0000
0.508,-23.8866,3.0000,0.5000,1.3584,-0.0000,0.0000,-0.1310,-0.0000,0.0000
0.518,-23.8730,3.0000,0.5000,1.3574,-0.0004,0.0000,-0.1150,-0.0165,0.0000
0.528,-23.8594,3.0000,0.5000,1.3563,-0.0006,0.0000,-0.1109,-0.0198,0.0000
0.538,-23.8459,3.0000,0.5000,1.3552,-0.0008,0.0000,-0.1068,-0.0230,0.0000
0.548,-23.8323,3.0000,0.5000,1.3542,-0.0010,0.0000,-0.1027,-0.0261,0.0000
0.558,-23.8188,3.0000,0.5000,1.3532,-0.0013,0.0000,-0.0988,-0.0291,0.0000
0.568,-23.8053,2.9999,0.5000,1.3522,-0.0016,0.0000,-0.0948,-0.0319,0.0000
0.578,-23.7917,2.9999,0.5000,1.3513,-0.0019,0.0000,-0.0909,-0.0346,0.0000
0.588,-23.7783,2.9999,0.5000,1.3504,-0.0023,0.0000,-0.0872,-0.0372,0.0000
0.598,-23.7647,2.9999,0.5000,1.3495,-0.0027,0.0000,-0.0834,-0.0397,0.0000
0.608,-23.7512,2.9999,0.5000,1.3487,-0.0031,0.0000,-0.0797,-0.0420,0.0000
0.618,-23.7378,2.9998,0.5000,1.3479,-0.0035,0.0000,-0.0760,-0.0443,0.0000
0.628,-23.7243,2.9998,0.5000,1.3472,-0.0040,0.0000,-0.0724,-0.0464,0.0000
0.638,-23.7108,2.9997,0.5000,1.3465,-0.0044,0.0000,-0.0689,-0.0484,0.0000
0.648,-23.6974,2.9997,0.5000,1.3458,-0.0049,0.0000,-0.0654,-0.0502,0.0000
0.658,-23.6839,2.9996,0.5000,1.3452,-0.0054,0.0000,-0.0620,-0.0520,0.0000
0.668,-23.6705,2.9996,0.5000,1.3446,-0.0060,0.0000,-0.0586,-0.0537,0.0000
0.678,-23.6570,2.9995,0.5000,1.3440,-0.0065,0.0000,-0.0552,-0.0552,0.0000
0.688,-23.6436,2.9995,0.5000,1.3435,-0.0071,0.0000,-0.0520,-0.0566,0.0000
0.698,-23.6301,2.9994,0.5000,1.3430,-0.0077,0.0000,-0.0487,-0.0580,0.0000
0.708,-23.6167,2.9993,0.5000,1.3425,-0.0082,0.0000,-0.0456,-0.0592,0.0000
0.718,-23.6033,2.9992,0.5000,1.3420,-0.0088,0.0000,-0.0424,-0.0603,0.0000
