t,x,y,z,vx,vy,vz,ax,ay,az
0.011,-27.1214,-1.5001,0.5000,1.4192,-0.0004,0.0000,-0.0306,-0.0007,0.0000
0.021,-27.1073,-1.5001,0.5000,1.4188,-0.0004,0.0000,-0.0365,-0.0007,0.0000
0.031,-27.0931,-1.5001,0.5000,1.4184,-0.0004,0.0000,-0.0421,-0.0007,0.0000
0.041,-27.0789,-1.5001,0.5000,1.4180,-0.0004,0.0000,-0.0475,-0.0007,0.0000
0.051,-27.0647,-1.5001,0.5000,1.4175,-0.0004,0.0000,-0.0527,-0.0007,0.0000
0.061,-27.0506,-1.5001,0.5000,1.4169,-0.0004,0.0000,-0.0577,-0.0007,0.0000
0.071,-27.0364,-1.5001,0.5000,1.4163,-0.0004,0.0000,-0.0625,-0.0007,0.0000
0.081,-27.0222,-1.5001,0.5000,1.4157,-0.0004,0.0000,-0.0671,-0.0007,0.0000
0.091,-27.0080,-1.5001,0.5000,1.4150,-0.0004,0.0000,-0.0715,-0.0007,0.0000
0.101,-26.9939,-1.5001,0.5000,1.4142,-0.0004,0.0000,-0.0757,-0.0007,0.0000
0.111,-26.9797,-1.5001,0.5000,1.4135,-0.0004,0.0000,-0.0798,-0.0007,0.0000
0.121,-26.9656,-1.5001,0.5000,1.4126,-0.0005,0.0000,-0.0836,-0.0006,0.0000
0.131,-26.9515,-1.5002,0.5000,1.4118,-0.0005,0.0000,-0.0873,-0.0006,0.0000
0.141,-26.9374,-1.5002,0.5000,1.4109,-0.0005,0.0000,-0.0908,-0.0006,0.0000
0.151,-26.9233,-1.5002,0.5000,1.4100,-0.0005,0.0000,-0.0942,-0.0006,0.0000
0.161,-26.9092,-1.5002,0.5000,1.4090,-0.0005,0.0000,-0.0973,-0.0006,0.0000
0.171,-26.8951,-1.5002,0.5000,1.4080,-0.0005,0.0000,-0.1003,-0.0006,0.0000
0.181,-26.8811,-1.5002,0.5000,1.4070,-0.0005,0.0000,-0.1031,-0.0006,0.0000
0.191,-26.8670,-1.5002,0.5000,1.4060,-0.0005,0.0000,-0.1058,-0.0006,0.0000
0.201,-26.8529,-1.5002,0.5000,1.4049,-0.0005,0.0000,-0.1083,-0.0006,0.0000
0.211,-26.8389,-1.5002,0.5000,1.4038,-0.0005,0.0000,-0.1106,-0.0006,0.0000
0.221,-26.8249,-1.5002,0.5000,1.4027,-0.0005,0.0000,-0.1128,-0.0006,0.0000
0.231,-26.8108,-1.5002,0.5000,1.4015,-0.0005,0.0000,-0.1149,-0.0005,0.0000
0.241,-26.7968,-1.5002,0.5000,1.4004,-0.0005,0.0000,-0.1168,-0.0005,0.0000
0.251,-26.7828,-1.5002,0.5000,1.3992,-0.0005,0.0000,-0.1185,-0.0005,0.0000
0.261,-26.7688,-1.5002,0.5000,1.3980,-0.0005,0.0000,-0.1201,-0.0005,0.0000
0.271,-26.7548,-1.5002,0.5000,1.3968,-0.0005,0.0000,-0.1216,-0.0005,0.0000
0.281,-26.7409,-1.5002,0.5000,1.3956,-0.0005,0.0000,-0.1229,-0.0005,0.0000
0.291,-26.7269,-1.5002,0.5000,1.3944,-0.0006,0.0000,-0.1241,-0.0005,0.0000
0.301,-26.7130,-1.5002,0.5000,1.3931,-0.0006,0.0000,-0.1252,-0.0005,0.0000
0.311,-26.6990,-1.5002,0.5000,1.3918,-0.0006,0.0000,-0.1261,-0.0005,0.0000
0.321,-26.6852,-1.5003,0.5000,1.3906,-0.0006,0.0000,-0.1269,-0.0004,0.0000
0.331,-26.6713,-1.5003,0.5000,1.3893,-0.0006,0.0000,-0.1276,-0.0004,0.0000
0.341,-26.6574,-1.5003,0.5000,1.3880,-0.0006,0.0000,-0.1282,-0.0004,0.0000
0.351,-26.6435,-1.5003,0.5000,1.3868,-0.0006,0.0000,-0.1286,-0.0004,0.0000
0.361,-26.6296,-1.5003,0.5000,1.3855,-0.0006,0.0000,-0.1290,-0.0004,0.0000
0.371,-26.6158,-1.5003,0.5000,1.3842,-0.0006,0.0000,-0.1292,-0.0004,0.0000
0.381,-26.6020,-1.5003,0.5000,1.3829,-0.0006,0.0000,-0.1293,-0.0004,0.0000
0.391,-26.5881,-1.5003,0.5000,1.3816,-0.0006,0.0000,-0.1293,-0.0004,0.0000
0.401,-26.5743,-1.5003,0.5000,1.3803,-0.0006,0.0000,-0.1293,-0.0003,0.0000
0.411,-26.5605,-1.5003,0.5000,1.3790,-0.0006,0.0000,-0.1291,-0.0003,0.0000
0.421,-26.5468,-1.5003,0.5000,1.3777,-0.0006,0.0000,-0.1288,-0.0003,0.0000
0.431,-26.5330,-1.5003,0.5000,1.3764,-0.0006,0.0000,-0.1284,-0.0003,0.0000
0.441,-26.5193,-1.5003,0.5000,1.3751,-0.0006,0.0000,-0.1280,-0.0003,0.0000
0.451,-26.5055,-1.5003,0.5000,1.3739,-0.0006,0.0000,-0.1274,-0.0003,0.0000
0.461,-26.4918,-1.5003,0.5000,1.3726,-0.0006,0.0000,-0.1268,-0.0003,0.0000
0.471,-26.4780,-1.5003,0.5000,1.3713,-0.0006,0.0000,-0.1261,-0.0003,0.0000
0.481,-26.4643,-1.5003,0.5000,1.3701,-0.0006,0.0000,-0.1253,-0.0002,0.0000
0.491,-26.4506,-1.5004,0.5000,1.3684,-0.0012,0.0000,-0.1402,-0.0204,0.0000
0.501,-26.4370,-1.5004,0.5000,1.3670,-0.0014,0.0000,-0.1423,-0.0237,0.0000
0.511,-26.4233,-1.5004,0.5000,1.3656,-0.0017,0.0000,-0.1442,-0.0269,0.0000
0.521,-26.4097,-1.5004,0.5000,1.3641,-0.0019,0.0000,-0.1461,-0.0301,0.0000
0.531,-26.3960,-1.5004,0.5000,1.3626,-0.0023,0.0000,-0.1480,-0.0332,0.0000
0.541,-26.3824,-1.5005,0.5000,1.3611,-0.0026,0.0000,-0.1498,-0.0362,0.0000
0.551,-26.3688,-1.5005,0.5000,1.3596,-0.0030,0.0000,-0.1516,-0.0391,0.0000
0.561,-26.3552,-1.5005,0.5000,1.3581,-0.0034,0.0000,-0.1533,-0.0419,0.0000
0.571,-26.3416,-1.5006,0.5000,1.3566,-0.0038,0.0000,-0.1550,-0.0447,0.0000
0.581,-26.3281,-1.5006,0.5000,1.3550,-0.0043,0.0000,-0.1566,-0.0473,0.0000
0.591,-26.3145,-1.5006,0.5000,1.3534,-0.0048,0.0000,-0.1582,-0.0499,0.0000
0.601,-26.3010,-1.5007,0.5000,1.3518,-0.0053,0.0000,-0.1597,-0.0524,0.0000
0.611,-26.2875,-1.5007,0.5000,1.3502,-0.0058,0.0000,-0.1612,-0.0549,0.0000
0.621,-26.2740,-1.5008,0.5000,1.3486,-0.0064,0.0000,-0.1626,-0.0572,0.0000
0.631,-26.2605,-1.5009,0.5000,1.3470,-0.0070,0.0000,-0.1640,-0.0595,0.0000
0.641,-26.2471,-1.5009,0.5000,1.3453,-0.0076,0.0000,-0.1654,-0.0616,0.0000
0.651,-26.2336,-1.5010,0.5000,1.3437,-0.0082,0.0000,-0.1667,-0.0638,0.0000
0.661,-26.2202,-1.5011,0.5000,1.3420,-0.0088,0.0000,-0.1679,-0.0658,0.0000
0.671,-26.2068,-1.5012,0.5000,1.3403,-0.0095,0.0000,-0.1691,-0.0678,0.0000
0.681,-26.1934,-1.5013,0.5000,1.3386,-0.0102,0.0000,-0.1703,-0.0696,0.0000
0.691,-26.1800,-1.5014,0.5000,1.3369,-0.0109,0.0000,-0.1714,-0.0714,0.0000
0.701,-26.1666,-1.5015,0.5000,1.3352,-0.0116,0.0000,-0.1725,-0.0732,0.0000
0.711,-26.1533,-1.5016,0.5000,1.3335,-0.0124,0.0000,-0.1736,-0.0748,0.0000
0.721,-26.1400,-1.5018,0.5000,1.3317,-0.0131,0.0000,-0.1746,-0.0764,0.0000
0.731,-26.1267,-1.5019,0.5000,1.3300,-0.0139,0.0000,-0.1755,-0.0780,0.0000
0.741,-26.1134,-1.5020,0.5000,1.3282,-0.0147,0.0000,-0.1765,-0.0794,0.0000
0.751,-26.1001,-1.5022,0.5000,1.3264,-0.0155,0.0000,-0.1773,-0.0808,0.0000
0.761,-26.0868,-1.5024,0.5000,1.3247,-0.0163,0.0000,-0.1782,-0.0821,0.0000
0.771,-26.0736,-1.5025,0.5000,1.3229,-0.0171,0.0000,-0.1790,-0.0834,0.0000
0.781,-26.0604,-1.5027,0.5000,1.3211,-0.0180,0.0000,-0.1797,-0.0845,0.0000
0.791,-26.0472,-1.5029,0.5000,1.3193,-0.0188,0.0000,-0.1804,-0.0857,0.0000
