t,x,y,z,vx,vy,vz,ax,ay,az
0.025,-22.3136,1.5121,0.5000,1.4080,0.0128,0.0000,0.5945,-0.0017,0.0000
0.035,-22.2995,1.5122,0.5000,1.4139,0.0128,0.0000,0.5824,-0.0019,0.0000
0.045,-22.2853,1.5124,0.5000,1.4196,0.0128,0.0000,0.5703,-0.0021,0.0000
0.055,-22.2711,1.5125,0.5000,1.4253,0.0127,0.0000,0.5580,-0.0023,0.0000
0.065,-22.2568,1.5126,0.5000,1.4308,0.0127,0.0000,0.5457,-0.0025,0.0000
0.075,-22.2425,1.5128,0.5000,1.4362,0.0127,0.0000,0.5334,-0.0027,0.0000
0.085,-22.2281,1.5129,0.5000,1.4415,0.0127,0.0000,0.5209,-0.0029,0.0000
0.095,-22.2136,1.5130,0.5000,1.4466,0.0126,0.0000,0.5084,-0.0031,0.0000
0.105,-22.1992,1.5131,0.5000,1.4516,0.0126,0.0000,0.4958,-0.0033,0.0000
0.115,-22.1846,1.5133,0.5000,1.4565,0.0126,0.0000,0.4832,-0.0035,0.0000
0.125,-22.1700,1.5134,0.5000,1.4613,0.0125,0.0000,0.4706,-0.0037,0.0000
0.135,-22.1554,1.5135,0.5000,1.4659,0.0125,0.0000,0.4579,-0.0038,0.0000
0.145,-22.1407,1.5136,0.5000,1.4704,0.0125,0.0000,0.4451,-0.0040,0.0000
0.155,-22.1260,1.5138,0.5000,1.4748,0.0124,0.0000,0.4324,-0.0042,0.0000
0.165,-22.1112,1.5139,0.5000,1.4791,0.0124,0.0000,0.4196,-0.0044,0.0000
0.175,-22.0964,1.5140,0.5000,1.4832,0.0123,0.0000,0.4067,-0.0046,0.0000
0.185,-22.0816,1.5141,0.5000,1.4872,0.0123,0.0000,0.3939,-0.0048,0.0000
0.195,-22.0667,1.5143,0.5000,1.4911,0.0122,0.0000,0.3811,-0.0050,0.0000
0.205,-22.0517,1.5144,0.5000,1.4948,0.0122,0.0000,0.3682,-0.0051,0.0000
0.215,-22.0368,1.5145,0.5000,1.4985,0.0121,0.0000,0.3553,-0.0053,0.0000
0.225,-22.0218,1.5146,0.5000,1.5019,0.0121,0.0000,0.3425,-0.0055,0.0000
