t,x,y,z
0.023,-22.9436,1.5110,0.5000
0.033,-22.9365,1.5111,0.5000
0.043,-22.9293,1.5113,0.5000
0.053,-22.9220,1.5114,0.5000
0.063,-22.9148,1.5115,0.5000
0.073,-22.9074,1.5117,0.5000
0.083,-22.9000,1.5118,0.5000
0.093,-22.8926,1.5120,0.5000
0.103,-22.8851,1.5121,0.5000
0.113,-22.8776,1.5122,0.5000
0.123,-22.8700,1.5124,0.5000
0.133,-22.8624,1.5125,0.5000
0.143,-22.8547,1.5126,0.5000
0.153,-22.8470,1.5128,0.5000
0.163,-22.8392,1.5129,0.5000
0.173,-22.8314,1.5130,0.5000
0.183,-22.8235,1.5132,0.5000
0.193,-22.8156,1.5133,0.5000
0.203,-22.8077,1.5134,0.5000
0.213,-22.7997,1.5135,0.5000
0.223,-22.7916,1.5137,0.5000
0.233,-22.7835,1.5138,0.5000
0.243,-22.7754,1.5139,0.5000
0.253,-22.7672,1.5141,0.5000
0.263,-22.7590,1.5142,0.5000
0.273,-22.7508,1.5143,0.5000
0.283,-22.7425,1.5144,0.5000
0.293,-22.7341,1.5146,0.5000
0.303,-22.7258,1.5147,0.5000
0.313,-22.7174,1.5148,0.5000
0.323,-22.7089,1.5149,0.5000
0.333,-22.7004,1.5150,0.5000
0.343,-22.6919,1.5152,0.5000
0.353,-22.6833,1.5153,0.5000
0.363,-22.6747,1.5154,0.5000
0.373,-22.6660,1.5155,0.5000
0.383,-22.6573,1.5156,0.5000
0.393,-22.6486,1.5158,0.5000
0.403,-22.6398,1.5159,0.5000
0.413,-22.6310,1.5160,0.5000
0.423,-22.6221,1.5161,0.5000
0.433,-22.6132,1.5162,0.5000
0.443,-22.6043,1.5163,0.5000
0.453,-22.5954,1.5164,0.5000
0.463,-22.5864,1.5165,0.5000
0.473,-22.5773,1.5166,0.5000
0.483,-22.5678,1.5168,0.5000
0.493,-22.5592,1.5169,0.5000
0.503,-22.5497,1.5170,0.5000
0.513,-22.5409,1.5171,0.5000
0.523,-22.5317,1.5172,0.5000
0.533,-22.5224,1.5173,0.5000
0.543,-22.5132,1.5174,0.5000
0.554,-22.5037,1.5175,0.5000
0.563,-22.4946,1.5176,0.5000
0.573,-22.4852,1.5177,0.5000
0.583,-22.4758,1.5178,0.5000
0.593,-22.4664,1.5178,0.5000
0.603,-22.4569,1.5179,0.5000
0.613,-22.4475,1.5180,0.5000
0.623,-22.4380,1.5181,0.5000
0.633,-22.4284,1.5182,0.5000
0.643,-22.4188,1.5183,0.5000
0.653,-22.4093,1.5184,0.5000
0.663,-22.3996,1.5185,0.5000
0.673,-22.3900,1.5186,0.5000
0.683,-22.3803,1.5186,0.5000
0.693,-22.3706,1.5187,0.5000
0.703,-22.3608,1.5188,0.5000
0.713,-22.3511,1.5189,0.5000
0.723,-22.3413,1.5190,0.5000
0.733,-22.3315,1.5190,0.5000
0.743,-22.3216,1.5191,0.5000
0.753,-22.3118,1.5192,0.5000
0.763,-22.3019,1.5193,0.5000
0.773,-22.2920,1.5193,0.5000
0.783,-22.2820,1.5194,0.5000
0.793,-22.2721,1.5194,0.5000
0.803,-22.2621,1.5195,0.5000
0.813,-22.2521,1.5195,0.5000
0.823,-22.2421,1.5196,0.5000
0.833,-22.2320,1.5196,0.5000
0.843,-22.2219,1.5197,0.5000
0.853,-22.2119,1.5197,0.5000
0.863,-22.2018,1.5197,0.5000
0.873,-22.1916,1.5197,0.5000
0.883,-22.1815,1.5197,0.5000
0.893,-22.1713,1.5197,0.5000
0.903,-22.1611,1.5197,0.5000
0.913,-22.1509,1.5197,0.5000
0.923,-22.1407,1.5197,0.5000
0.933,-22.1304,1.5197,0.5000
0.943,-22.1202,1.5197,0.5000
0.953,-22.1099,1.5196,0.5000
0.963,-22.0996,1.5196,0.5000
0.973,-22.0893,1.5195,0.5000
0.983,-22.0790,1.5195,0.5000
0.993,-22.0686,1.5194,0.5000
1.003,-22.0583,1.5193,0.5000
1.013,-22.0479,1.5193,0.5000
1.023,-22.0375,1.5192,0.5000
1.033,-22.0271,1.5191,0.5000
1.043,-22.0167,1.5190,0.5000
1.053,-22.0063,1.5188,0.5000
1.063,-21.9959,1.5187,0.5000
1.073,-21.9854,1.5186,0.5000
1.083,-21.9750,1.5184,0.5000
1.093,-21.9645,1.5183,0.5000
1.103,-21.9540,1.5181,0.5000
1.113,-21.9435,1.5179,0.5000
1.123,-21.9330,1.5178,0.5000
1.133,-21.9225,1.5176,0.5000
1.143,-21.9120,1.5174,0.5000
1.153,-21.9014,1.5172,0.5000
1.163,-21.8909,1.5169,0.5000
1.173,-21.8804,1.5167,0.5000
1.183,-21.8698,1.5165,0.5000
1.193,-21.8592,1.5162,0.5000
1.203,-21.8486,1.5159,0.5000
1.213,-21.8381,1.5157,0.5000
1.223,-21.8274,1.5154,0.5000
1.233,-21.8169,1.5151,0.5000
1.243,-21.8062,1.5148,0.5000
1.253,-21.7956,1.5145,0.5000
1.263,-21.7850,1.5142,0.5000
1.273,-21.7744,1.5138,0.5000
1.283,-21.7638,1.5135,0.5000
1.293,-21.7531,1.5131,0.5000
1.303,-21.7425,1.5128,0.5000
1.313,-21.7318,1.5124,0.5000
1.323,-21.7211,1.5120,0.5000
1.333,-21.7105,1.5116,0.5000
1.343,-21.6998,1.5112,0.5000
1.353,-21.6892,1.5108,0.5000
1.363,-21.6785,1.5104,0.5000
1.373,-21.6678,1.5099,0.5000
1.383,-21.6571,1.5095,0.5000
1.393,-21.6464,1.5090,0.5000
1.403,-21.6357,1.5085,0.5000
1.413,-21.6250,1.5081,0.5000
1.423,-21.6144,1.5076,0.5000
1.433,-21.6037,1.5071,0.5000
1.443,-21.5930,1.5066,0.5000
1.453,-21.5823,1.5060,0.5000
1.463,-21.5716,1.5055,0.5000
1.473,-21.5609,1.5050,0.5000
1.483,-21.5502,1.5044,0.5000
1.493,-21.5395,1.5039,0.5000
1.503,-21.5288,1.5033,0.5000
1.513,-21.5181,1.5027,0.5000
1.523,-21.5074,1.5021,0.5000
1.533,-21.4967,1.5015,0.5000
1.543,-21.4860,1.5009,0.5000
1.553,-21.4753,1.5003,0.5000
1.563,-21.4646,1.4997,0.5000
1.573,-21.4539,1.4991,0.5000
1.583,-21.4432,1.4984,0.5000
1.593,-21.4312,1.4977,0.5000
1.603,-21.4218,1.4971,0.5000
1.613,-21.4218,1.4971,0.5000
1.623,-21.4111,1.4964,0.5000
1.633,-21.3898,1.4951,0.5000
1.643,-21.3787,1.4943,0.5000
1.653,-21.3684,1.4937,0.5000
1.663,-21.3577,1.4930,0.5000
1.673,-21.3471,1.4922,0.5000
1.683,-21.3364,1.4915,0.5000
1.693,-21.3257,1.4908,0.5000
1.703,-21.3151,1.4900,0.5000
1.713,-21.3044,1.4893,0.5000
1.723,-21.2937,1.4885,0.5000
1.733,-21.2831,1.4877,0.5000
1.743,-21.2724,1.4870,0.5000
1.753,-21.2618,1.4862,0.5000
1.763,-21.2512,1.4854,0.5000
1.773,-21.2406,1.4846,0.5000
1.783,-21.2299,1.4838,0.5000
1.793,-21.2193,1.4830,0.5000
1.803,-21.2087,1.4822,0.5000
1.813,-21.1981,1.4814,0.5000
1.823,-21.1875,1.4805,0.5000
1.833,-21.1769,1.4797,0.5000
1.843,-21.1663,1.4788,0.5000
1.853,-21.1557,1.4780,0.5000
1.863,-21.1451,1.4772,0.5000
1.873,-21.1346,1.4763,0.5000
1.883,-21.1239,1.4754,0.5000
1.893,-21.1134,1.4746,0.5000
1.903,-21.1029,1.4737,0.5000
1.913,-21.0923,1.4729,0.5000
1.923,-21.0818,1.4720,0.5000
1.933,-21.0713,1.4711,0.5000
1.943,-21.0607,1.4703,0.5000
1.953,-21.0502,1.4694,0.5000
1.963,-21.0397,1.4686,0.5000
1.973,-21.0292,1.4677,0.5000
1.983,-21.0187,1.4668,0.5000
1.993,-21.0082,1.4660,0.5000
2.003,-20.9977,1.4651,0.5000
2.013,-20.9872,1.4643,0.5000
2.023,-20.9767,1.4634,0.5000
2.033,-20.9662,1.4626,0.5000
2.043,-20.9558,1.4617,0.5000
2.053,-20.9453,1.4609,0.5000
2.063,-20.9348,1.4601,0.5000
2.073,-20.9244,1.4592,0.5000
2.083,-20.9139,1.4584,0.5000
2.093,-20.9035,1.4576,0.5000
2.103,-20.8931,1.4568,0.5000
2.113,-20.8826,1.4560,0.5000
2.123,-20.8722,1.4552,0.5000
2.133,-20.8618,1.4544,0.5000
2.143,-20.8514,1.4536,0.5000
2.153,-20.8410,1.4528,0.5000
2.163,-20.8306,1.4521,0.5000
2.173,-20.8202,1.4513,0.5000
2.183,-20.8098,1.4506,0.5000
2.193,-20.7995,1.4498,0.5000
2.203,-20.7891,1.4491,0.5000
2.213,-20.7787,1.4483,0.5000
2.223,-20.7684,1.4476,0.5000
2.233,-20.7580,1.4469,0.5000
2.243,-20.7477,1.4462,0.5000
2.253,-20.7373,1.4455,0.5000
2.263,-20.7270,1.4448,0.5000
2.273,-20.7167,1.4442,0.5000
2.283,-20.7063,1.4435,0.5000
2.293,-20.6960,1.4429,0.5000
2.303,-20.6857,1.4422,0.5000
2.313,-20.6754,1.4416,0.5000
2.323,-20.6651,1.4410,0.5000
2.333,-20.6548,1.4404,0.5000
2.343,-20.6445,1.4398,0.5000
2.353,-20.6342,1.4392,0.5000
2.363,-20.6239,1.4386,0.5000
2.373,-20.6137,1.4380,0.5000
2.383,-20.6034,1.4375,0.5000
2.393,-20.5931,1.4369,0.5000
2.403,-20.5829,1.4364,0.5000
2.413,-20.5726,1.4359,0.5000
2.423,-20.5624,1.4354,0.5000
2.433,-20.5522,1.4349,0.5000
2.443,-20.5419,1.4344,0.5000
2.453,-20.5317,1.4339,0.5000
2.463,-20.5215,1.4335,0.5000
2.473,-20.5113,1.4330,0.5000
2.483,-20.5010,1.4326,0.5000
2.493,-20.4909,1.4321,0.5000
2.503,-20.4806,1.4317,0.5000
2.513,-20.4705,1.4313,0.5000
2.523,-20.4603,1.4309,0.5000
2.533,-20.4501,1.4306,0.5000
2.543,-20.4399,1.4302,0.5000
2.553,-20.4297,1.4298,0.5000
2.563,-20.4196,1.4295,0.5000
2.573,-20.4094,1.4292,0.5000
2.583,-20.3993,1.4288,0.5000
2.593,-20.3891,1.4285,0.5000
2.603,-20.3790,1.4282,0.5000
2.613,-20.3688,1.4280,0.5000
2.623,-20.3587,1.4277,0.5000
2.633,-20.3486,1.4274,0.5000
2.643,-20.3384,1.4272,0.5000
2.653,-20.3283,1.4269,0.5000
2.663,-20.3182,1.4267,0.5000
2.673,-20.3081,1.4265,0.5000
2.683,-20.2980,1.4263,0.5000
2.694,-20.2879,1.4261,0.5000
2.703,-20.2778,1.4259,0.5000
2.713,-20.2677,1.4257,0.5000
2.723,-20.2576,1.4256,0.5000
2.733,-20.2475,1.4254,0.5000
2.743,-20.2375,1.4253,0.5000
2.753,-20.2274,1.4252,0.5000
2.763,-20.2173,1.4250,0.5000
2.773,-20.2072,1.4249,0.5000
2.783,-20.1972,1.4248,0.5000
2.793,-20.1872,1.4248,0.5000
2.803,-20.1771,1.4247,0.5000
2.813,-20.1670,1.4246,0.5000
2.823,-20.1570,1.4245,0.5000
2.833,-20.1470,1.4245,0.5000
2.843,-20.1369,1.4245,0.5000
2.853,-20.1269,1.4244,0.5000
2.863,-20.1169,1.4244,0.5000
2.873,-20.1068,1.4244,0.5000
2.883,-20.0968,1.4244,0.5000
2.893,-20.0868,1.4244,0.5000
2.903,-20.0768,1.4244,0.5000
2.913,-20.0668,1.4244,0.5000
2.923,-20.0568,1.4245,0.5000
2.933,-20.0468,1.4245,0.5000
2.943,-20.0368,1.4246,0.5000
2.953,-20.0268,1.4246,0.5000
2.963,-20.0168,1.4247,0.5000
2.973,-20.0069,1.4247,0.5000
2.983,-19.9968,1.4248,0.5000
2.993,-19.9869,1.4249,0.5000
3.003,-19.9769,1.4250,0.5000
3.013,-19.9669,1.4251,0.5000
3.023,-19.9570,1.4252,0.5000
3.033,-19.9470,1.4253,0.5000
3.043,-19.9371,1.4254,0.5000
3.053,-19.9271,1.4255,0.5000
3.063,-19.9172,1.4256,0.5000
3.073,-19.9073,1.4257,0.5000
3.083,-19.8974,1.4259,0.5000
3.093,-19.8875,1.4260,0.5000
3.103,-19.8775,1.4261,0.5000
3.113,-19.8676,1.4263,0.5000
3.123,-19.8577,1.4264,0.5000
3.133,-19.8478,1.4265,0.5000
3.143,-19.8379,1.4267,0.5000
3.153,-19.8281,1.4268,0.5000
3.163,-19.8182,1.4270,0.5000
3.173,-19.8084,1.4271,0.5000
3.183,-19.7985,1.4273,0.5000
3.193,-19.7887,1.4274,0.5000
3.203,-19.7788,1.4276,0.5000
3.213,-19.7690,1.4277,0.5000
3.223,-19.7592,1.4279,0.5000
3.233,-19.7494,1.4280,0.5000
3.243,-19.7396,1.4282,0.5000
3.253,-19.7298,1.4284,0.5000
3.263,-19.7200,1.4285,0.5000
3.273,-19.7102,1.4287,0.5000
3.283,-19.7004,1.4288,0.5000
3.293,-19.6907,1.4290,0.5000
3.303,-19.6809,1.4291,0.5000
3.313,-19.6712,1.4293,0.5000
3.323,-19.6615,1.4294,0.5000
3.333,-19.6518,1.4296,0.5000
3.343,-19.6420,1.4297,0.5000
3.353,-19.6323,1.4298,0.5000
3.363,-19.6226,1.4300,0.5000
3.373,-19.6130,1.4301,0.5000
3.383,-19.6033,1.4303,0.5000
3.393,-19.5936,1.4304,0.5000
3.403,-19.5840,1.4305,0.5000
3.413,-19.5743,1.4306,0.5000
3.423,-19.5647,1.4308,0.5000
3.433,-19.5551,1.4309,0.5000
3.443,-19.5455,1.4310,0.5000
3.453,-19.5359,1.4311,0.5000
3.463,-19.5263,1.4312,0.5000
3.473,-19.5167,1.4313,0.5000
3.483,-19.5071,1.4315,0.5000
3.493,-19.4975,1.4316,0.5000
3.503,-19.4880,1.4317,0.5000
3.513,-19.4785,1.4317,0.5000
3.523,-19.4689,1.4318,0.5000
3.533,-19.4594,1.4319,0.5000
3.543,-19.4499,1.4320,0.5000
3.553,-19.4404,1.4321,0.5000
3.563,-19.4309,1.4322,0.5000
3.573,-19.4215,1.4322,0.5000
3.583,-19.4120,1.4323,0.5000
3.593,-19.4025,1.4323,0.5000
3.603,-19.3931,1.4324,0.5000
3.613,-19.3836,1.4324,0.5000
3.623,-19.3742,1.4325,0.5000
3.633,-19.3648,1.4325,0.5000
3.643,-19.3554,1.4326,0.5000
3.653,-19.3461,1.4326,0.5000
3.663,-19.3367,1.4326,0.5000
3.673,-19.3273,1.4326,0.5000
3.683,-19.3179,1.4326,0.5000
3.693,-19.3086,1.4327,0.5000
3.703,-19.2993,1.4327,0.5000
3.713,-19.2899,1.4327,0.5000
3.723,-19.2806,1.4326,0.5000
3.733,-19.2713,1.4326,0.5000
3.743,-19.2620,1.4326,0.5000
3.753,-19.2527,1.4326,0.5000
3.763,-19.2434,1.4326,0.5000
3.773,-19.2342,1.4325,0.5000
3.783,-19.2249,1.4325,0.5000
3.793,-19.2155,1.4324,0.5000
3.805,-19.2053,1.4324,0.5000
3.813,-19.1972,1.4323,0.5000
3.823,-19.1880,1.4323,0.5000
3.833,-19.1789,1.4322,0.5000
3.843,-19.1697,1.4321,0.5000
3.853,-19.1605,1.4320,0.5000
3.863,-19.1504,1.4319,0.5000
3.873,-19.1422,1.4319,0.5000
3.883,-19.1330,1.4318,0.5000
3.893,-19.1239,1.4317,0.5000
3.903,-19.1148,1.4315,0.5000
3.913,-19.1057,1.4314,0.5000
3.923,-19.0966,1.4313,0.5000
3.933,-19.0875,1.4312,0.5000
3.943,-19.0784,1.4310,0.5000
3.953,-19.0693,1.4309,0.5000
3.963,-19.0602,1.4308,0.5000
3.973,-19.0512,1.4306,0.5000
3.983,-19.0421,1.4305,0.5000
3.993,-19.0331,1.4303,0.5000
4.003,-19.0241,1.4301,0.5000
4.013,-19.0151,1.4300,0.5000
4.023,-19.0061,1.4298,0.5000
4.033,-18.9971,1.4296,0.5000
4.044,-18.9881,1.4294,0.5000
4.053,-18.9791,1.4292,0.5000
4.063,-18.9701,1.4290,0.5000
4.073,-18.9612,1.4288,0.5000
4.083,-18.9522,1.4286,0.5000
4.093,-18.9433,1.4284,0.5000
4.103,-18.9344,1.4282,0.5000
4.113,-18.9255,1.4279,0.5000
4.123,-18.9166,1.4277,0.5000
4.133,-18.9077,1.4275,0.5000
4.143,-18.8988,1.4272,0.5000
4.153,-18.8899,1.4270,0.5000
4.163,-18.8810,1.4267,0.5000
4.173,-18.8722,1.4265,0.5000
4.183,-18.8633,1.4262,0.5000
4.193,-18.8545,1.4260,0.5000
4.203,-18.8456,1.4257,0.5000
4.213,-18.8368,1.4254,0.5000
4.223,-18.8280,1.4252,0.5000
4.233,-18.8192,1.4249,0.5000
4.243,-18.8104,1.4246,0.5000
4.253,-18.8016,1.4244,0.5000
4.263,-18.7928,1.4241,0.5000
4.273,-18.7841,1.4238,0.5000
4.283,-18.7753,1.4235,0.5000
4.293,-18.7666,1.4232,0.5000
4.303,-18.7578,1.4229,0.5000
4.313,-18.7491,1.4226,0.5000
4.323,-18.7404,1.4223,0.5000
4.333,-18.7317,1.4220,0.5000
4.343,-18.7229,1.4217,0.5000
4.353,-18.7143,1.4214,0.5000
4.363,-18.7056,1.4211,0.5000
4.373,-18.6969,1.4208,0.5000
4.383,-18.6883,1.4205,0.5000
4.393,-18.6796,1.4202,0.5000
4.403,-18.6710,1.4199,0.5000
4.413,-18.6624,1.4196,0.5000
4.423,-18.6537,1.4193,0.5000
4.433,-18.6451,1.4189,0.5000
4.443,-18.6365,1.4186,0.5000
4.453,-18.6279,1.4183,0.5000
4.463,-18.6193,1.4180,0.5000
4.473,-18.6108,1.4177,0.5000
4.483,-18.6022,1.4174,0.5000
4.493,-18.5936,1.4170,0.5000
4.503,-18.5851,1.4167,0.5000
4.513,-18.5765,1.4164,0.5000
4.523,-18.5679,1.4161,0.5000
4.533,-18.5595,1.4158,0.5000
4.543,-18.5510,1.4154,0.5000
4.553,-18.5425,1.4151,0.5000
4.563,-18.5340,1.4148,0.5000
4.573,-18.5255,1.4145,0.5000
4.583,-18.5170,1.4141,0.5000
4.593,-18.5085,1.4138,0.5000
4.603,-18.5001,1.4135,0.5000
4.613,-18.4916,1.4132,0.5000
4.623,-18.4832,1.4129,0.5000
4.633,-18.4748,1.4125,0.5000
4.643,-18.4663,1.4122,0.5000
4.653,-18.4579,1.4119,0.5000
4.663,-18.4495,1.4116,0.5000
4.673,-18.4411,1.4113,0.5000
4.683,-18.4327,1.4109,0.5000
4.693,-18.4243,1.4106,0.5000
4.703,-18.4160,1.4103,0.5000
4.713,-18.4076,1.4100,0.5000
4.723,-18.3992,1.4097,0.5000
4.733,-18.3909,1.4094,0.5000
4.743,-18.3825,1.4091,0.5000
4.753,-18.3742,1.4088,0.5000
4.763,-18.3659,1.4085,0.5000
4.773,-18.3576,1.4082,0.5000
4.783,-18.3492,1.4078,0.5000
4.793,-18.3409,1.4075,0.5000
4.803,-18.3326,1.4072,0.5000
4.813,-18.3244,1.4069,0.5000
4.823,-18.3161,1.4067,0.5000
4.833,-18.3078,1.4064,0.5000
4.843,-18.2996,1.4061,0.5000
4.853,-18.2913,1.4058,0.5000
4.863,-18.2831,1.4055,0.5000
4.873,-18.2748,1.4052,0.5000
4.883,-18.2666,1.4049,0.5000
