t,x,y,z
0.001,-24.5681,-0.0115,0.5000
0.011,-24.5554,-0.0119,0.5000
0.021,-24.5418,-0.0123,0.5000
0.031,-24.5283,-0.0127,0.5000
0.041,-24.5147,-0.0132,0.5000
0.051,-24.5012,-0.0136,0.5000
0.061,-24.4876,-0.0141,0.5000
0.071,-24.4742,-0.0145,0.5000
0.081,-24.4607,-0.0150,0.5000
0.091,-24.4472,-0.0155,0.5000
0.101,-24.4337,-0.0159,0.5000
0.111,-24.4203,-0.0164,0.5000
0.121,-24.4068,-0.0169,0.5000
0.131,-24.3934,-0.0174,0.5000
0.141,-24.3800,-0.0179,0.5000
0.151,-24.3666,-0.0184,0.5000
0.161,-24.3532,-0.0189,0.5000
0.171,-24.3398,-0.0194,0.5000
0.181,-24.3265,-0.0199,0.5000
0.191,-24.3132,-0.0204,0.5000
0.201,-24.2998,-0.0210,0.5000
0.211,-24.2865,-0.0215,0.5000
0.221,-24.2732,-0.0220,0.5000
0.231,-24.2600,-0.0225,0.5000
0.241,-24.2467,-0.0231,0.5000
0.251,-24.2333,-0.0236,0.5000
0.261,-24.2202,-0.0242,0.5000
0.271,-24.2070,-0.0247,0.5000
0.281,-24.1937,-0.0252,0.5000
0.291,-24.1806,-0.0258,0.5000
0.301,-24.1674,-0.0264,0.5000
0.311,-24.1542,-0.0269,0.5000
0.321,-24.1410,-0.0275,0.5000
0.331,-24.1279,-0.0280,0.5000
0.341,-24.1148,-0.0286,0.5000
0.351,-24.1017,-0.0291,0.5000
0.361,-24.0886,-0.0297,0.5000
0.372,-24.0886,-0.0297,0.5000
0.381,-24.0624,-0.0308,0.5000
0.391,-24.0490,-0.0314,0.5000
0.401,-24.0352,-0.0320,0.5000
0.411,-24.0233,-0.0325,0.5000
0.421,-24.0103,-0.0331,0.5000
0.431,-23.9971,-0.0337,0.5000
0.441,-23.9843,-0.0342,0.5000
0.451,-23.9713,-0.0348,0.5000
0.461,-23.9583,-0.0353,0.5000
0.471,-23.9453,-0.0359,0.5000
0.481,-23.9323,-0.0365,0.5000
0.491,-23.9194,-0.0370,0.5000
0.501,-23.9064,-0.0376,0.5000
0.511,-23.8935,-0.0381,0.5000
0.521,-23.8935,-0.0381,0.5000
0.531,-23.8677,-0.0392,0.5000
0.541,-23.8677,-0.0392,0.5000
0.551,-23.8417,-0.0403,0.5000
0.561,-23.8417,-0.0403,0.5000
0.571,-23.8161,-0.0414,0.5000
0.581,-23.8032,-0.0420,0.5000
0.591,-23.7904,-0.0425,0.5000
0.601,-23.7775,-0.0430,0.5000
0.611,-23.7646,-0.0435,0.5000
0.621,-23.7515,-0.0441,0.5000
0.631,-23.7390,-0.0446,0.5000
0.641,-23.7262,-0.0451,0.5000
0.651,-23.7134,-0.0456,0.5000
0.661,-23.7006,-0.0461,0.5000
0.671,-23.6878,-0.0466,0.5000
0.681,-23.6750,-0.0471,0.5000
0.691,-23.6623,-0.0476,0.5000
0.701,-23.6495,-0.0481,0.5000
0.711,-23.6367,-0.0485,0.5000
0.721,-23.6240,-0.0490,0.5000
0.731,-23.6112,-0.0495,0.5000
0.741,-23.5985,-0.0499,0.5000
0.751,-23.5858,-0.0504,0.5000
0.761,-23.5731,-0.0508,0.5000
0.771,-23.5604,-0.0513,0.5000
0.781,-23.5477,-0.0517,0.5000
0.791,-23.5350,-0.0521,0.5000
0.801,-23.5223,-0.0525,0.5000
0.811,-23.5097,-0.0530,0.5000
0.821,-23.4970,-0.0534,0.5000
0.831,-23.4841,-0.0538,0.5000
0.841,-23.4717,-0.0542,0.5000
0.851,-23.4590,-0.0545,0.5000
0.861,-23.4464,-0.0549,0.5000
0.871,-23.4336,-0.0553,0.5000
0.881,-23.4211,-0.0556,0.5000
0.891,-23.4085,-0.0560,0.5000
0.901,-23.3959,-0.0563,0.5000
0.911,-23.3833,-0.0567,0.5000
0.921,-23.3707,-0.0570,0.5000
0.931,-23.3579,-0.0574,0.5000
0.941,-23.3454,-0.0577,0.5000
0.951,-23.3329,-0.0580,0.5000
0.961,-23.3203,-0.0583,0.5000
0.971,-23.3077,-0.0586,0.5000
0.981,-23.2951,-0.0589,0.5000
0.991,-23.2826,-0.0591,0.5000
1.001,-23.2700,-0.0594,0.5000
1.011,-23.2575,-0.0597,0.5000
1.021,-23.2449,-0.0599,0.5000
1.031,-23.2323,-0.0602,0.5000
1.041,-23.2198,-0.0604,0.5000
1.051,-23.2072,-0.0606,0.5000
1.061,-23.1947,-0.0608,0.5000
1.071,-23.1822,-0.0610,0.5000
1.081,-23.1696,-0.0613,0.5000
1.091,-23.1571,-0.0614,0.5000
1.101,-23.1446,-0.0616,0.5000
1.111,-23.1320,-0.0618,0.5000
1.121,-23.1195,-0.0620,0.5000
1.131,-23.1070,-0.0621,0.5000
1.141,-23.0945,-0.0623,0.5000
1.151,-23.0820,-0.0624,0.5000
1.161,-23.0695,-0.0626,0.5000
1.171,-23.0570,-0.0627,0.5000
1.181,-23.0444,-0.0628,0.5000
1.191,-23.0319,-0.0629,0.5000
1.201,-23.0194,-0.0630,0.5000
1.211,-23.0069,-0.0631,0.5000
1.221,-22.9944,-0.0632,0.5000
1.231,-22.9819,-0.0633,0.5000
1.241,-22.9694,-0.0634,0.5000
1.251,-22.9569,-0.0634,0.5000
1.261,-22.9444,-0.0635,0.5000
1.271,-22.9319,-0.0635,0.5000
1.281,-22.9193,-0.0636,0.5000
1.291,-22.9069,-0.0636,0.5000
1.301,-22.8944,-0.0636,0.5000
1.311,-22.8818,-0.0636,0.5000
1.321,-22.8693,-0.0636,0.5000
1.331,-22.8568,-0.0636,0.5000
1.341,-22.8443,-0.0636,0.5000
1.351,-22.8318,-0.0636,0.5000
1.361,-22.8193,-0.0636,0.5000
1.371,-22.8068,-0.0636,0.5000
1.381,-22.7943,-0.0635,0.5000
1.391,-22.7817,-0.0635,0.5000
1.401,-22.7692,-0.0634,0.5000
1.411,-22.7567,-0.0633,0.5000
1.421,-22.7442,-0.0633,0.5000
1.431,-22.7316,-0.0632,0.5000
1.441,-22.7191,-0.0631,0.5000
1.451,-22.7064,-0.0630,0.5000
1.461,-22.6940,-0.0629,0.5000
1.471,-22.6815,-0.0628,0.5000
1.481,-22.6687,-0.0627,0.5000
1.491,-22.6565,-0.0626,0.5000
1.501,-22.6438,-0.0624,0.5000
1.511,-22.6438,-0.0624,0.5000
1.521,-22.6188,-0.0622,0.5000
1.532,-22.6188,-0.0622,0.5000
1.542,-22.5937,-0.0619,0.5000
1.551,-22.5804,-0.0617,0.5000
1.561,-22.5804,-0.0617,0.5000
1.571,-22.5559,-0.0613,0.5000
1.581,-22.5433,-0.0612,0.5000
1.592,-22.5308,-0.0610,0.5000
1.601,-22.5181,-0.0608,0.5000
1.611,-22.5181,-0.0608,0.5000
1.621,-22.4928,-0.0604,0.5000
1.631,-22.4928,-0.0604,0.5000
1.641,-22.4677,-0.0599,0.5000
1.651,-22.4552,-0.0597,0.5000
