t,x,y,z
0.026,-22.0843,1.5370,0.5000
0.036,-22.0689,1.5372,0.5000
0.046,-22.0535,1.5375,0.5000
0.056,-22.0381,1.5377,0.5000
0.066,-22.0226,1.5380,0.5000
0.076,-22.0072,1.5382,0.5000
0.086,-21.9917,1.5384,0.5000
0.096,-21.9762,1.5386,0.5000
0.106,-21.9608,1.5389,0.5000
0.116,-21.9452,1.5391,0.5000
0.126,-21.9297,1.5393,0.5000
0.136,-21.9143,1.5395,0.5000
0.146,-21.8986,1.5397,0.5000
0.156,-21.8831,1.5399,0.5000
0.166,-21.8676,1.5401,0.5000
0.176,-21.8521,1.5403,0.5000
0.186,-21.8365,1.5404,0.5000
0.196,-21.8210,1.5406,0.5000
0.206,-21.8054,1.5408,0.5000
0.216,-21.7899,1.5409,0.5000
0.226,-21.7743,1.5411,0.5000
0.236,-21.7588,1.5413,0.5000
0.246,-21.7432,1.5414,0.5000
0.256,-21.7277,1.5416,0.5000
0.266,-21.7122,1.5417,0.5000
0.276,-21.6966,1.5418,0.5000
0.286,-21.6811,1.5420,0.5000
0.296,-21.6656,1.5421,0.5000
0.306,-21.6501,1.5422,0.5000
0.316,-21.6346,1.5423,0.5000
0.326,-21.6191,1.5424,0.5000
0.336,-21.6037,1.5426,0.5000
0.346,-21.5882,1.5427,0.5000
0.356,-21.5728,1.5428,0.5000
0.366,-21.5573,1.5428,0.5000
0.376,-21.5573,1.5428,0.5000
0.386,-21.5265,1.5430,0.5000
0.396,-21.5111,1.5431,0.5000
0.406,-21.4958,1.5432,0.5000
0.416,-21.4805,1.5432,0.5000
0.426,-21.4652,1.5433,0.5000
0.436,-21.4499,1.5434,0.5000
0.446,-21.4346,1.5434,0.5000
0.456,-21.4193,1.5435,0.5000
0.466,-21.4041,1.5435,0.5000
0.476,-21.3889,1.5435,0.5000
0.486,-21.3737,1.5436,0.5000
0.496,-21.3585,1.5436,0.5000
0.506,-21.3585,1.5436,0.5000
0.516,-21.3283,1.5437,0.5000
0.526,-21.3132,1.5437,0.5000
0.536,-21.2981,1.5437,0.5000
0.546,-21.2826,1.5437,0.5000
0.556,-21.2680,1.5437,0.5000
0.566,-21.2531,1.5437,0.5000
0.576,-21.2381,1.5437,0.5000
0.586,-21.2232,1.5437,0.5000
0.596,-21.2083,1.5437,0.5000
0.606,-21.1934,1.5436,0.5000
0.616,-21.1786,1.5436,0.5000
0.626,-21.1638,1.5436,0.5000
0.636,-21.1490,1.5436,0.5000
0.646,-21.1343,1.5435,0.5000
0.656,-21.1196,1.5435,0.5000
0.666,-21.1049,1.5434,0.5000
0.676,-21.0903,1.5434,0.5000
0.686,-21.0757,1.5433,0.5000
0.696,-21.0612,1.5432,0.5000
0.706,-21.0466,1.5432,0.5000
0.716,-21.0321,1.5431,0.5000
0.726,-21.0177,1.5430,0.5000
0.736,-21.0033,1.5429,0.5000
0.746,-20.9889,1.5427,0.5000
0.756,-20.9746,1.5426,0.5000
0.766,-20.9603,1.5425,0.5000
0.776,-20.9460,1.5423,0.5000
0.786,-20.9317,1.5422,0.5000
0.796,-20.9176,1.5420,0.5000
0.806,-20.9034,1.5418,0.5000
0.816,-20.8891,1.5416,0.5000
0.826,-20.8753,1.5414,0.5000
0.836,-20.8613,1.5412,0.5000
0.846,-20.8473,1.5410,0.5000
0.856,-20.8334,1.5407,0.5000
0.866,-20.8195,1.5405,0.5000
0.876,-20.8056,1.5402,0.5000
0.886,-20.7918,1.5399,0.5000
0.896,-20.7780,1.5396,0.5000
0.906,-20.7643,1.5393,0.5000
0.916,-20.7507,1.5390,0.5000
0.926,-20.7370,1.5387,0.5000
0.936,-20.7234,1.5383,0.5000
0.946,-20.7099,1.5380,0.5000
0.956,-20.6964,1.5376,0.5000
0.966,-20.6829,1.5372,0.5000
0.976,-20.6695,1.5368,0.5000
0.986,-20.6561,1.5364,0.5000
0.996,-20.6428,1.5360,0.5000
1.006,-20.6295,1.5355,0.5000
1.016,-20.6163,1.5351,0.5000
1.026,-20.6030,1.5346,0.5000
1.036,-20.5899,1.5341,0.5000
1.046,-20.5768,1.5337,0.5000
1.056,-20.5637,1.5331,0.5000
1.066,-20.5507,1.5326,0.5000
1.076,-20.5377,1.5321,0.5000
1.086,-20.5247,1.5316,0.5000
1.096,-20.5118,1.5310,0.5000
1.106,-20.4990,1.5304,0.5000
1.116,-20.4861,1.5299,0.5000
1.126,-20.4733,1.5293,0.5000
1.136,-20.4606,1.5287,0.5000
1.146,-20.4480,1.5281,0.5000
1.156,-20.4352,1.5274,0.5000
1.166,-20.4226,1.5268,0.5000
1.176,-20.4100,1.5261,0.5000
1.186,-20.3975,1.5255,0.5000
1.196,-20.3850,1.5248,0.5000
1.206,-20.3726,1.5241,0.5000
1.216,-20.3602,1.5235,0.5000
1.226,-20.3478,1.5228,0.5000
1.236,-20.3354,1.5220,0.5000
1.246,-20.3231,1.5213,0.5000
1.256,-20.3108,1.5206,0.5000
1.266,-20.2986,1.5199,0.5000
1.276,-20.2864,1.5191,0.5000
1.286,-20.2743,1.5184,0.5000
1.296,-20.2621,1.5176,0.5000
1.306,-20.2499,1.5169,0.5000
1.316,-20.2380,1.5161,0.5000
1.326,-20.2259,1.5153,0.5000
1.336,-20.2140,1.5145,0.5000
1.346,-20.2020,1.5138,0.5000
1.356,-20.1901,1.5130,0.5000
1.366,-20.1782,1.5122,0.5000
1.376,-20.1663,1.5114,0.5000
1.386,-20.1545,1.5105,0.5000
1.396,-20.1427,1.5097,0.5000
1.406,-20.1310,1.5089,0.5000
1.416,-20.1192,1.5081,0.5000
1.426,-20.1075,1.5073,0.5000
1.436,-20.0959,1.5065,0.5000
1.446,-20.0842,1.5056,0.5000
1.456,-20.0726,1.5048,0.5000
1.466,-20.0610,1.5040,0.5000
1.476,-20.0494,1.5031,0.5000
1.486,-20.0379,1.5023,0.5000
1.496,-20.0263,1.5015,0.5000
1.506,-20.0148,1.5007,0.5000
1.516,-20.0034,1.4998,0.5000
1.526,-20.0034,1.4998,0.5000
1.536,-19.9797,1.4981,0.5000
1.546,-19.9797,1.4981,0.5000
1.556,-19.9577,1.4965,0.5000
1.566,-19.9452,1.4956,0.5000
1.576,-19.9351,1.4949,0.5000
1.586,-19.9237,1.4941,0.5000
1.596,-19.9119,1.4933,0.5000
1.606,-19.9007,1.4925,0.5000
1.617,-19.8899,1.4917,0.5000
1.626,-19.8786,1.4909,0.5000
1.636,-19.8674,1.4901,0.5000
1.646,-19.8562,1.4893,0.5000
1.656,-19.8450,1.4886,0.5000
1.666,-19.8339,1.4878,0.5000
1.676,-19.8227,1.4870,0.5000
1.686,-19.8116,1.4863,0.5000
1.696,-19.8004,1.4856,0.5000
1.706,-19.7893,1.4848,0.5000
1.716,-19.7782,1.4841,0.5000
1.726,-19.7671,1.4834,0.5000
1.736,-19.7560,1.4827,0.5000
1.746,-19.7449,1.4820,0.5000
1.756,-19.7339,1.4813,0.5000
1.766,-19.7228,1.4807,0.5000
1.776,-19.7117,1.4800,0.5000
1.786,-19.7007,1.4794,0.5000
1.796,-19.6897,1.4787,0.5000
1.806,-19.6786,1.4781,0.5000
1.816,-19.6676,1.4775,0.5000
1.826,-19.6566,1.4769,0.5000
1.836,-19.6457,1.4764,0.5000
1.846,-19.6347,1.4758,0.5000
1.856,-19.6237,1.4753,0.5000
1.866,-19.6128,1.4747,0.5000
1.876,-19.6018,1.4742,0.5000
1.886,-19.5909,1.4737,0.5000
1.896,-19.5800,1.4733,0.5000
1.906,-19.5691,1.4728,0.5000
1.916,-19.5582,1.4724,0.5000
1.926,-19.5472,1.4719,0.5000
1.936,-19.5364,1.4715,0.5000
1.946,-19.5255,1.4712,0.5000
1.956,-19.5146,1.4708,0.5000
1.966,-19.5038,1.4704,0.5000
1.976,-19.4929,1.4701,0.5000
1.986,-19.4821,1.4698,0.5000
1.996,-19.4712,1.4695,0.5000
2.006,-19.4604,1.4692,0.5000
2.016,-19.4496,1.4690,0.5000
2.026,-19.4388,1.4687,0.5000
2.036,-19.4280,1.4685,0.5000
2.046,-19.4172,1.4683,0.5000
2.056,-19.4064,1.4682,0.5000
2.066,-19.3957,1.4680,0.5000
2.076,-19.3849,1.4679,0.5000
2.086,-19.3741,1.4677,0.5000
2.096,-19.3634,1.4677,0.5000
2.106,-19.3526,1.4676,0.5000
2.116,-19.3419,1.4675,0.5000
2.126,-19.3311,1.4675,0.5000
2.136,-19.3204,1.4675,0.5000
2.146,-19.3097,1.4675,0.5000
2.156,-19.2989,1.4675,0.5000
2.166,-19.2882,1.4676,0.5000
2.176,-19.2775,1.4676,0.5000
2.186,-19.2668,1.4677,0.5000
2.196,-19.2561,1.4678,0.5000
2.206,-19.2454,1.4679,0.5000
2.216,-19.2347,1.4681,0.5000
2.226,-19.2240,1.4683,0.5000
2.236,-19.2132,1.4684,0.5000
2.246,-19.2025,1.4686,0.5000
2.256,-19.1918,1.4689,0.5000
2.266,-19.1811,1.4691,0.5000
2.276,-19.1704,1.4694,0.5000
2.286,-19.1597,1.4697,0.5000
2.296,-19.1490,1.4700,0.5000
2.306,-19.1383,1.4703,0.5000
2.316,-19.1276,1.4706,0.5000
2.326,-19.1169,1.4710,0.5000
2.336,-19.1062,1.4713,0.5000
2.346,-19.0955,1.4717,0.5000
2.356,-19.0848,1.4722,0.5000
2.366,-19.0741,1.4726,0.5000
2.376,-19.0634,1.4730,0.5000
2.386,-19.0526,1.4735,0.5000
2.396,-19.0419,1.4740,0.5000
2.406,-19.0312,1.4745,0.5000
2.416,-19.0204,1.4750,0.5000
2.426,-19.0097,1.4755,0.5000
2.436,-18.9989,1.4760,0.5000
2.446,-18.9882,1.4766,0.5000
2.456,-18.9774,1.4772,0.5000
2.466,-18.9666,1.4778,0.5000
2.476,-18.9558,1.4784,0.5000
2.486,-18.9450,1.4790,0.5000
2.496,-18.9342,1.4796,0.5000
2.506,-18.9234,1.4803,0.5000
2.516,-18.9126,1.4809,0.5000
2.526,-18.9018,1.4816,0.5000
2.536,-18.8909,1.4823,0.5000
2.546,-18.8801,1.4830,0.5000
2.556,-18.8692,1.4837,0.5000
2.566,-18.8583,1.4844,0.5000
2.576,-18.8474,1.4852,0.5000
2.586,-18.8365,1.4859,0.5000
2.596,-18.8256,1.4867,0.5000
2.606,-18.8146,1.4875,0.5000
2.618,-18.8037,1.4882,0.5000
2.626,-18.7923,1.4891,0.5000
2.636,-18.7817,1.4898,0.5000
2.646,-18.7707,1.4906,0.5000
2.656,-18.7597,1.4915,0.5000
2.666,-18.7487,1.4923,0.5000
2.676,-18.7376,1.4931,0.5000
2.686,-18.7265,1.4940,0.5000
2.696,-18.7155,1.4948,0.5000
2.706,-18.7044,1.4957,0.5000
2.716,-18.6932,1.4965,0.5000
2.726,-18.6821,1.4974,0.5000
2.736,-18.6709,1.4983,0.5000
2.746,-18.6597,1.4992,0.5000
2.756,-18.6485,1.5001,0.5000
2.766,-18.6373,1.5010,0.5000
2.776,-18.6260,1.5018,0.5000
2.786,-18.6147,1.5028,0.5000
2.796,-18.6034,1.5037,0.5000
2.806,-18.5921,1.5046,0.5000
2.816,-18.5807,1.5055,0.5000
2.826,-18.5694,1.5064,0.5000
2.836,-18.5580,1.5073,0.5000
2.846,-18.5465,1.5082,0.5000
2.856,-18.5351,1.5091,0.5000
2.866,-18.5236,1.5101,0.5000
2.876,-18.5121,1.5110,0.5000
2.886,-18.5006,1.5119,0.5000
2.896,-18.4891,1.5128,0.5000
2.906,-18.4775,1.5138,0.5000
2.916,-18.4659,1.5147,0.5000
2.926,-18.4543,1.5156,0.5000
2.936,-18.4426,1.5165,0.5000
2.946,-18.4310,1.5174,0.5000
2.956,-18.4193,1.5183,0.5000
2.966,-18.4076,1.5192,0.5000
2.976,-18.3959,1.5201,0.5000
2.986,-18.3841,1.5210,0.5000
2.996,-18.3723,1.5219,0.5000
3.006,-18.3606,1.5228,0.5000
3.016,-18.3488,1.5237,0.5000
3.026,-18.3370,1.5246,0.5000
3.036,-18.3251,1.5255,0.5000
3.046,-18.3133,1.5263,0.5000
3.056,-18.3014,1.5272,0.5000
3.066,-18.2895,1.5280,0.5000
3.076,-18.2776,1.5289,0.5000
3.086,-18.2657,1.5297,0.5000
3.096,-18.2538,1.5305,0.5000
3.106,-18.2418,1.5314,0.5000
3.116,-18.2299,1.5322,0.5000
3.126,-18.2179,1.5330,0.5000
3.136,-18.2059,1.5338,0.5000
3.146,-18.1939,1.5345,0.5000
3.156,-18.1819,1.5353,0.5000
3.166,-18.1698,1.5361,0.5000
3.176,-18.1578,1.5368,0.5000
3.186,-18.1457,1.5376,0.5000
3.196,-18.1336,1.5383,0.5000
