t,x,y,z
0.028,-22.9549,1.5322,0.5000
0.038,-22.9477,1.5327,0.5000
0.048,-22.9404,1.5332,0.5000
0.058,-22.9331,1.5337,0.5000
0.068,-22.9258,1.5341,0.5000
0.078,-22.9184,1.5346,0.5000
0.088,-22.9109,1.5351,0.5000
0.098,-22.8958,1.5361,0.5000
0.108,-22.8882,1.5366,0.5000
0.118,-22.8882,1.5366,0.5000
0.128,-22.8729,1.5376,0.5000
0.138,-22.8651,1.5381,0.5000
0.148,-22.8651,1.5381,0.5000
0.158,-22.8573,1.5385,0.5000
0.168,-22.8415,1.5395,0.5000
0.178,-22.8415,1.5395,0.5000
0.188,-22.8336,1.5400,0.5000
0.198,-22.8256,1.5406,0.5000
0.208,-22.8176,1.5411,0.5000
0.218,-22.8095,1.5416,0.5000
0.228,-22.8013,1.5421,0.5000
0.238,-22.7932,1.5426,0.5000
0.248,-22.7849,1.5431,0.5000
0.258,-22.7767,1.5436,0.5000
0.268,-22.7683,1.5441,0.5000
0.278,-22.7516,1.5451,0.5000
0.288,-22.7516,1.5451,0.5000
0.298,-22.7432,1.5456,0.5000
0.308,-22.7347,1.5461,0.5000
0.318,-22.7262,1.5467,0.5000
0.328,-22.7090,1.5477,0.5000
0.338,-22.7004,1.5482,0.5000
0.348,-22.6917,1.5487,0.5000
0.358,-22.6917,1.5487,0.5000
0.368,-22.6830,1.5492,0.5000
0.378,-22.6742,1.5497,0.5000
0.388,-22.6654,1.5503,0.5000
0.398,-22.6566,1.5508,0.5000
0.408,-22.6477,1.5513,0.5000
0.418,-22.6388,1.5518,0.5000
0.428,-22.6298,1.5523,0.5000
0.438,-22.6208,1.5528,0.5000
0.448,-22.6118,1.5534,0.5000
0.458,-22.5936,1.5544,0.5000
0.468,-22.5936,1.5544,0.5000
0.478,-22.5845,1.5549,0.5000
0.488,-22.5753,1.5554,0.5000
0.498,-22.5661,1.5559,0.5000
0.508,-22.5558,1.5565,0.5000
0.518,-22.5476,1.5570,0.5000
0.528,-22.5383,1.5575,0.5000
0.538,-22.5280,1.5580,0.5000
0.548,-22.5196,1.5585,0.5000
0.558,-22.5008,1.5595,0.5000
0.568,-22.4914,1.5600,0.5000
0.578,-22.4819,1.5605,0.5000
0.588,-22.4819,1.5605,0.5000
0.598,-22.4628,1.5615,0.5000
0.608,-22.4628,1.5615,0.5000
0.618,-22.4532,1.5620,0.5000
0.628,-22.4436,1.5625,0.5000
0.638,-22.4243,1.5635,0.5000
0.648,-22.4146,1.5640,0.5000
0.658,-22.4049,1.5645,0.5000
0.668,-22.4049,1.5645,0.5000
0.678,-22.3855,1.5655,0.5000
0.688,-22.3855,1.5655,0.5000
0.698,-22.3756,1.5660,0.5000
0.708,-22.3658,1.5665,0.5000
0.718,-22.3559,1.5670,0.5000
0.728,-22.3461,1.5675,0.5000
0.738,-22.3263,1.5685,0.5000
0.748,-22.3263,1.5685,0.5000
0.758,-22.3163,1.5690,0.5000
0.768,-22.2964,1.5699,0.5000
0.778,-22.2964,1.5699,0.5000
0.788,-22.2864,1.5704,0.5000
0.798,-22.2764,1.5709,0.5000
0.808,-22.2663,1.5714,0.5000
0.818,-22.2462,1.5723,0.5000
0.828,-22.2462,1.5723,0.5000
0.838,-22.2361,1.5728,0.5000
0.848,-22.2260,1.5732,0.5000
0.858,-22.2057,1.5741,0.5000
0.868,-22.2057,1.5741,0.5000
0.878,-22.1955,1.5746,0.5000
0.888,-22.1752,1.5755,0.5000
0.898,-22.1752,1.5755,0.5000
0.908,-22.1649,1.5760,0.5000
0.918,-22.1547,1.5764,0.5000
0.928,-22.1445,1.5768,0.5000
0.938,-22.1343,1.5773,0.5000
0.948,-22.1240,1.5777,0.5000
0.959,-22.1138,1.5782,0.5000
0.968,-22.0932,1.5790,0.5000
0.978,-22.0932,1.5790,0.5000
0.988,-22.0830,1.5794,0.5000
0.998,-22.0727,1.5799,0.5000
1.008,-22.0624,1.5803,0.5000
1.018,-22.0521,1.5807,0.5000
1.028,-22.0418,1.5811,0.5000
1.038,-22.0315,1.5815,0.5000
1.048,-22.0211,1.5819,0.5000
1.058,-22.0005,1.5827,0.5000
1.068,-22.0005,1.5827,0.5000
1.078,-21.9799,1.5835,0.5000
1.088,-21.9799,1.5835,0.5000
1.098,-21.9695,1.5839,0.5000
1.108,-21.9592,1.5843,0.5000
1.118,-21.9386,1.5850,0.5000
1.128,-21.9282,1.5854,0.5000
1.138,-21.9282,1.5854,0.5000
1.148,-21.9179,1.5858,0.5000
1.158,-21.8972,1.5865,0.5000
1.168,-21.8869,1.5869,0.5000
1.178,-21.8766,1.5872,0.5000
1.188,-21.8766,1.5872,0.5000
1.198,-21.8662,1.5876,0.5000
1.208,-21.8559,1.5879,0.5000
1.218,-21.8456,1.5883,0.5000
1.228,-21.8353,1.5886,0.5000
1.238,-21.8250,1.5889,0.5000
1.248,-21.8147,1.5893,0.5000
1.258,-21.8044,1.5896,0.5000
1.268,-21.7941,1.5899,0.5000
1.278,-21.7838,1.5902,0.5000
1.288,-21.7632,1.5909,0.5000
1.298,-21.7632,1.5909,0.5000
1.308,-21.7427,1.5915,0.5000
1.318,-21.7324,1.5918,0.5000
1.328,-21.7324,1.5918,0.5000
1.338,-21.7119,1.5924,0.5000
1.348,-21.7017,1.5926,0.5000
1.358,-21.7017,1.5926,0.5000
1.368,-21.6812,1.5932,0.5000
1.378,-21.6812,1.5932,0.5000
1.388,-21.6710,1.5935,0.5000
1.398,-21.6608,1.5937,0.5000
1.408,-21.6506,1.5940,0.5000
1.418,-21.6404,1.5942,0.5000
1.428,-21.6302,1.5945,0.5000
1.438,-21.6200,1.5948,0.5000
1.448,-21.6099,1.5950,0.5000
1.458,-21.5997,1.5952,0.5000
1.468,-21.5896,1.5955,0.5000
1.478,-21.5795,1.5957,0.5000
1.488,-21.5693,1.5959,0.5000
1.498,-21.5491,1.5964,0.5000
1.508,-21.5491,1.5964,0.5000
1.518,-21.5390,1.5966,0.5000
1.528,-21.5289,1.5968,0.5000
1.538,-21.5189,1.5970,0.5000
1.548,-21.5088,1.5972,0.5000
1.558,-21.4988,1.5974,0.5000
1.568,-21.4888,1.5976,0.5000
1.578,-21.4688,1.5979,0.5000
1.588,-21.4587,1.5981,0.5000
1.598,-21.4587,1.5981,0.5000
1.608,-21.4488,1.5983,0.5000
1.619,-21.4388,1.5985,0.5000
