t,x,y,z,vx,vy,vz,ax,ay,az
0.029,-25.3935,3.0000,0.5000,0.7995,0.0000,0.0000,0.3447,0.0000,0.0000
0.039,-25.3855,3.0000,0.5000,0.8029,0.0000,0.0000,0.3403,0.0000,0.0000
0.049,-25.3775,3.0000,0.5000,0.8063,0.0000,0.0000,0.3359,0.0000,0.0000
0.059,-25.3694,3.0000,0.5000,0.8096,0.0000,0.0000,0.3315,0.0000,0.0000
0.069,-25.3613,3.0000,0.5000,0.8129,0.0000,0.0000,0.3271,0.0000,0.0000
0.079,-25.3531,3.0000,0.5000,0.8162,0.0000,0.0000,0.3228,0.0000,0.0000
0.089,-25.3449,3.0000,0.5000,0.8194,0.0000,0.0000,0.3185,0.0000,0.0000
0.099,-25.3367,3.0000,0.5000,0.8226,0.0000,0.0000,0.3143,0.0000,0.0000
0.109,-25.3285,3.0000,0.5000,0.8257,0.0000,0.0000,0.3101,0.0000,0.0000
0.119,-25.3202,3.0000,0.5000,0.8288,0.0000,0.0000,0.3059,0.0000,0.0000
0.129,-25.3119,3.0000,0.5000,0.8318,0.0000,0.0000,0.3017,0.0000,0.0000
0.139,-25.3036,3.0000,0.5000,0.8348,0.0000,0.0000,0.2976,0.0000,0.0000
0.149,-25.2952,3.0000,0.5000,0.8378,0.0000,0.0000,0.2935,0.0000,0.0000
0.159,-25.2868,3.0000,0.5000,0.8407,0.0000,0.0000,0.2895,0.0000,0.0000
0.169,-25.2784,3.0000,0.5000,0.8435,0.0000,0.0000,0.2854,0.0000,0.0000
0.179,-25.2699,3.0000,0.5000,0.8464,0.0000,0.0000,0.2814,0.0000,0.0000
0.189,-25.2615,3.0000,0.5000,0.8492,0.0000,0.0000,0.2775,0.0000,0.0000
0.199,-25.2524,3.0000,0.5000,0.8521,0.0000,0.0000,0.2733,0.0000,0.0000
0.209,-25.2444,3.0000,0.5000,0.8546,0.0000,0.0000,0.2696,0.0000,0.0000
0.219,-25.2359,3.0000,0.5000,0.8573,0.0000,0.0000,0.2658,0.0000,0.0000
0.229,-25.2273,3.0000,0.5000,0.8600,0.0000,0.0000,0.2619,0.0000,0.0000
0.239,-25.2187,3.0000,0.5000,0.8626,0.0000,0.0000,0.2581,0.0000,0.0000
0.249,-25.2100,3.0000,0.5000,0.8651,0.0000,0.0000,0.2543,0.0000,0.0000
0.259,-25.2014,3.0000,0.5000,0.8677,0.0000,0.0000,0.2506,0.0000,0.0000
0.269,-25.1926,3.0000,0.5000,0.8701,0.0000,0.0000,0.2469,0.0000,0.0000
0.279,-25.1839,3.0000,0.5000,0.8726,0.0000,0.0000,0.2432,0.0000,0.0000
0.289,-25.1752,3.0000,0.5000,0.8750,0.0000,0.0000,0.2395,0.0000,0.0000
0.299,-25.1665,3.0000,0.5000,0.8774,0.0000,0.0000,0.2359,0.0000,0.0000
0.309,-25.1577,3.0000,0.5000,0.8797,0.0000,0.0000,0.2323,0.0000,0.0000
0.319,-25.1488,3.0000,0.5000,0.8820,0.0000,0.0000,0.2287,0.0000,0.0000
0.329,-25.1400,3.0000,0.5000,0.8843,0.0000,0.0000,0.2252,0.0000,0.0000
0.339,-25.1312,3.0000,0.5000,0.8865,0.0000,0.0000,0.2217,0.0000,0.0000
0.349,-25.1223,3.0000,0.5000,0.8887,0.0000,0.0000,0.2183,0.0000,0.0000
