t,x,y,z,vx,vy,vz,ax,ay,az
0.028,-22.9404,1.5332,0.5000,0.7282,0.0478,0.0000,0.5174,0.0202,0.0000
0.038,-22.9331,1.5337,0.5000,0.7334,0.0480,0.0000,0.5139,0.0197,0.0000
0.048,-22.9258,1.5341,0.5000,0.7385,0.0482,0.0000,0.5103,0.0192,0.0000
0.058,-22.9184,1.5346,0.5000,0.7436,0.0484,0.0000,0.5067,0.0186,0.0000
0.068,-22.9109,1.5351,0.5000,0.7486,0.0486,0.0000,0.5031,0.0181,0.0000
0.078,-22.9034,1.5356,0.5000,0.7536,0.0488,0.0000,0.4994,0.0176,0.0000
0.088,-22.8958,1.5361,0.5000,0.7586,0.0489,0.0000,0.4958,0.0170,0.0000
0.098,-22.8882,1.5366,0.5000,0.7635,0.0491,0.0000,0.4921,0.0165,0.0000
0.108,-22.8806,1.5371,0.5000,0.7684,0.0493,0.0000,0.4883,0.0160,0.0000
0.118,-22.8729,1.5376,0.5000,0.7733,0.0494,0.0000,0.4846,0.0154,0.0000
0.128,-22.8651,1.5381,0.5000,0.7781,0.0496,0.0000,0.4808,0.0149,0.0000
0.138,-22.8573,1.5385,0.5000,0.7829,0.0497,0.0000,0.4770,0.0143,0.0000
0.148,-22.8494,1.5390,0.5000,0.7877,0.0499,0.0000,0.4732,0.0138,0.0000
0.158,-22.8415,1.5395,0.5000,0.7924,0.0500,0.0000,0.4693,0.0132,0.0000
0.168,-22.8336,1.5400,0.5000,0.7971,0.0501,0.0000,0.4655,0.0127,0.0000
0.178,-22.8256,1.5406,0.5000,0.8017,0.0503,0.0000,0.4616,0.0121,0.0000
0.188,-22.8176,1.5411,0.5000,0.8063,0.0504,0.0000,0.4577,0.0116,0.0000
0.198,-22.8095,1.5416,0.5000,0.8108,0.0505,0.0000,0.4537,0.0110,0.0000
0.208,-22.8013,1.5421,0.5000,0.8153,0.0506,0.0000,0.4498,0.0105,0.0000
0.218,-22.7932,1.5426,0.5000,0.8198,0.0507,0.0000,0.4458,0.0099,0.0000
0.228,-22.7849,1.5431,0.5000,0.8243,0.0508,0.0000,0.4418,0.0094,0.0000
0.238,-22.7767,1.5436,0.5000,0.8287,0.0509,0.0000,0.4378,0.0088,0.0000
0.248,-22.7683,1.5441,0.5000,0.8331,0.0510,0.0000,0.4338,0.0083,0.0000
0.258,-22.7600,1.5446,0.5000,0.8373,0.0511,0.0000,0.4297,0.0077,0.0000
0.268,-22.7516,1.5451,0.5000,0.8416,0.0511,0.0000,0.4257,0.0071,0.0000
0.278,-22.7432,1.5456,0.5000,0.8459,0.0512,0.0000,0.4216,0.0066,0.0000
0.288,-22.7347,1.5461,0.5000,0.8500,0.0513,0.0000,0.4175,0.0060,0.0000
0.298,-22.7262,1.5467,0.5000,0.8542,0.0513,0.0000,0.4134,0.0055,0.0000
0.308,-22.7176,1.5472,0.5000,0.8583,0.0514,0.0000,0.4093,0.0049,0.0000
0.318,-22.7090,1.5477,0.5000,0.8624,0.0514,0.0000,0.4051,0.0043,0.0000
0.328,-22.7004,1.5482,0.5000,0.8664,0.0515,0.0000,0.4010,0.0038,0.0000
0.338,-22.6917,1.5487,0.5000,0.8704,0.0515,0.0000,0.3968,0.0032,0.0000
0.348,-22.6830,1.5492,0.5000,0.8744,0.0515,0.0000,0.3926,0.0026,0.0000
0.358,-22.6742,1.5497,0.5000,0.8783,0.0515,0.0000,0.3884,0.0021,0.0000
0.368,-22.6654,1.5503,0.5000,0.8821,0.0516,0.0000,0.3842,0.0015,0.0000
0.378,-22.6566,1.5508,0.5000,0.8860,0.0516,0.0000,0.3800,0.0009,0.0000
0.388,-22.6477,1.5513,0.5000,0.8897,0.0516,0.0000,0.3758,0.0004,0.0000
0.398,-22.6388,1.5518,0.5000,0.8935,0.0516,0.0000,0.3716,-0.0002,0.0000
0.408,-22.6298,1.5523,0.5000,0.8972,0.0516,0.0000,0.3673,-0.0008,0.0000
0.418,-22.6208,1.5528,0.5000,0.9008,0.0516,0.0000,0.3631,-0.0013,0.0000
0.428,-22.6118,1.5534,0.5000,0.9044,0.0516,0.0000,0.3588,-0.0019,0.0000
0.438,-22.6027,1.5539,0.5000,0.9080,0.0515,0.0000,0.3545,-0.0025,0.0000
0.448,-22.5936,1.5544,0.5000,0.9115,0.0515,0.0000,0.3502,-0.0030,0.0000
0.458,-22.5845,1.5549,0.5000,0.9150,0.0515,0.0000,0.3459,-0.0036,0.0000
0.468,-22.5753,1.5554,0.5000,0.9184,0.0514,0.0000,0.3416,-0.0042,0.0000
0.478,-22.5661,1.5559,0.5000,0.9218,0.0514,0.0000,0.3373,-0.0047,0.0000
0.489,-22.5558,1.5565,0.5000,0.9256,0.0513,0.0000,0.3325,-0.0053,0.0000
0.498,-22.5476,1.5570,0.5000,0.9285,0.0513,0.0000,0.3287,-0.0058,0.0000
0.508,-22.5383,1.5575,0.5000,0.9317,0.0512,0.0000,0.3244,-0.0064,0.0000
0.519,-22.5280,1.5580,0.5000,0.9353,0.0511,0.0000,0.3196,-0.0070,0.0000
0.528,-22.5196,1.5585,0.5000,0.9382,0.0511,0.0000,0.3158,-0.0075,0.0000
0.538,-22.5103,1.5590,0.5000,0.9413,0.0510,0.0000,0.3114,-0.0081,0.0000
0.548,-22.5008,1.5595,0.5000,0.9444,0.0509,0.0000,0.3071,-0.0086,0.0000
0.558,-22.4914,1.5600,0.5000,0.9474,0.0508,0.0000,0.3028,-0.0092,0.0000
0.568,-22.4819,1.5605,0.5000,0.9504,0.0507,0.0000,0.2984,-0.0098,0.0000
0.578,-22.4723,1.5610,0.5000,0.9534,0.0506,0.0000,0.2941,-0.0103,0.0000
0.588,-22.4628,1.5615,0.5000,0.9563,0.0505,0.0000,0.2897,-0.0109,0.0000
0.598,-22.4532,1.5620,0.5000,0.9592,0.0504,0.0000,0.2854,-0.0114,0.0000
0.608,-22.4436,1.5625,0.5000,0.9620,0.0503,0.0000,0.2811,-0.0120,0.0000
0.618,-22.4340,1.5630,0.5000,0.9648,0.0502,0.0000,0.2767,-0.0125,0.0000
0.628,-22.4243,1.5635,0.5000,0.9676,0.0500,0.0000,0.2724,-0.0131,0.0000
0.638,-22.4146,1.5640,0.5000,0.9703,0.0499,0.0000,0.2680,-0.0136,0.0000
0.648,-22.4049,1.5645,0.5000,0.9729,0.0498,0.0000,0.2637,-0.0142,0.0000
0.658,-22.3952,1.5650,0.5000,0.9755,0.0496,0.0000,0.2594,-0.0147,0.0000
0.668,-22.3855,1.5655,0.5000,0.9781,0.0495,0.0000,0.2551,-0.0152,0.0000
0.678,-22.3756,1.5660,0.5000,0.9806,0.0493,0.0000,0.2507,-0.0158,0.0000
0.688,-22.3658,1.5665,0.5000,0.9831,0.0492,0.0000,0.2464,-0.0163,0.0000
0.698,-22.3559,1.5670,0.5000,0.9856,0.0490,0.0000,0.2421,-0.0169,0.0000
0.708,-22.3461,1.5675,0.5000,0.9880,0.0488,0.0000,0.2378,-0.0174,0.0000
0.718,-22.3362,1.5680,0.5000,0.9903,0.0487,0.0000,0.2334,-0.0179,0.0000
0.728,-22.3263,1.5685,0.5000,0.9926,0.0485,0.0000,0.2291,-0.0185,0.0000
0.738,-22.3163,1.5690,0.5000,0.9949,0.0483,0.0000,0.2248,-0.0190,0.0000
0.748,-22.3064,1.5694,0.5000,0.9971,0.0481,0.0000,0.2205,-0.0195,0.0000
0.758,-22.2964,1.5699,0.5000,0.9993,0.0479,0.0000,0.2126,-0.0202,0.0000
0.768,-22.2864,1.5704,0.5000,1.0014,0.0477,0.0000,0.2048,-0.0208,0.0000
0.778,-22.2764,1.5709,0.5000,1.0034,0.0475,0.0000,0.1972,-0.0214,0.0000
0.788,-22.2663,1.5714,0.5000,1.0053,0.0473,0.0000,0.1897,-0.0220,0.0000
0.798,-22.2562,1.5718,0.5000,1.0072,0.0470,0.0000,0.1823,-0.0227,0.0000
0.808,-22.2462,1.5723,0.5000,1.0090,0.0468,0.0000,0.1750,-0.0233,0.0000
0.818,-22.2361,1.5728,0.5000,1.0107,0.0466,0.0000,0.1677,-0.0238,0.0000
0.828,-22.2260,1.5732,0.5000,1.0123,0.0463,0.0000,0.1606,-0.0244,0.0000
0.838,-22.2158,1.5737,0.5000,1.0139,0.0461,0.0000,0.1536,-0.0250,0.0000
0.848,-22.2057,1.5741,0.5000,1.0154,0.0458,0.0000,0.1467,-0.0256,0.0000
0.858,-22.1955,1.5746,0.5000,1.0168,0.0456,0.0000,0.1399,-0.0261,0.0000
0.868,-22.1853,1.5751,0.5000,1.0182,0.0453,0.0000,0.1332,-0.0267,0.0000
0.878,-22.1752,1.5755,0.5000,1.0195,0.0450,0.0000,0.1266,-0.0272,0.0000
0.888,-22.1649,1.5760,0.5000,1.0207,0.0448,0.0000,0.1201,-0.0277,0.0000
0.898,-22.1547,1.5764,0.5000,1.0219,0.0445,0.0000,0.1137,-0.0282,0.0000
0.908,-22.1445,1.5768,0.5000,1.0230,0.0442,0.0000,0.1074,-0.0288,0.0000
0.918,-22.1343,1.5773,0.5000,1.0240,0.0439,0.0000,0.1012,-0.0293,0.0000
0.928,-22.1240,1.5777,0.5000,1.0250,0.0436,0.0000,0.0951,-0.0298,0.0000
0.938,-22.1138,1.5782,0.5000,1.0260,0.0433,0.0000,0.0891,-0.0302,0.0000
0.948,-22.1035,1.5786,0.5000,1.0268,0.0430,0.0000,0.0832,-0.0307,0.0000
0.958,-22.0932,1.5790,0.5000,1.0276,0.0427,0.0000,0.0774,-0.0312,0.0000
0.968,-22.0830,1.5794,0.5000,1.0284,0.0424,0.0000,0.0716,-0.0316,0.0000
0.978,-22.0727,1.5799,0.5000,1.0290,0.0421,0.0000,0.0660,-0.0321,0.0000
0.988,-22.0624,1.5803,0.5000,1.0297,0.0417,0.0000,0.0605,-0.0325,0.0000
0.998,-22.0521,1.5807,0.5000,1.0303,0.0414,0.0000,0.0551,-0.0330,0.0000
1.008,-22.0418,1.5811,0.5000,1.0308,0.0411,0.0000,0.0497,-0.0334,0.0000
