t,x,y,z
0.014,-28.0059,1.4997,0.5000
0.024,-27.9978,1.4997,0.5000
0.034,-27.9898,1.4996,0.5000
0.044,-27.9816,1.4996,0.5000
0.054,-27.9735,1.4996,0.5000
0.064,-27.9653,1.4996,0.5000
0.074,-27.9570,1.4996,0.5000
0.084,-27.9487,1.4995,0.5000
0.094,-27.9404,1.4995,0.5000
0.104,-27.9321,1.4995,0.5000
0.114,-27.9237,1.4995,0.5000
0.124,-27.9152,1.4995,0.5000
0.134,-27.9068,1.4994,0.5000
0.144,-27.8983,1.4994,0.5000
0.154,-27.8898,1.4994,0.5000
0.164,-27.8812,1.4994,0.5000
0.174,-27.8726,1.4993,0.5000
0.184,-27.8640,1.4993,0.5000
0.194,-27.8553,1.4993,0.5000
0.204,-27.8467,1.4993,0.5000
0.214,-27.8379,1.4992,0.5000
0.224,-27.8292,1.4992,0.5000
0.234,-27.8204,1.4992,0.5000
0.244,-27.8116,1.4992,0.5000
0.254,-27.8028,1.4991,0.5000
0.264,-27.7939,1.4991,0.5000
0.274,-27.7850,1.4991,0.5000
0.284,-27.7761,1.4990,0.5000
0.294,-27.7672,1.4990,0.5000
0.304,-27.7582,1.4990,0.5000
0.314,-27.7492,1.4990,0.5000
0.324,-27.7402,1.4989,0.5000
0.334,-27.7311,1.4989,0.5000
0.344,-27.7221,1.4989,0.5000
0.354,-27.7130,1.4988,0.5000
0.364,-27.7038,1.4988,0.5000
0.374,-27.6947,1.4988,0.5000
0.384,-27.6855,1.4987,0.5000
0.394,-27.6763,1.4987,0.5000
0.404,-27.6671,1.4986,0.5000
0.414,-27.6578,1.4986,0.5000
0.424,-27.6485,1.4986,0.5000
0.434,-27.6393,1.4985,0.5000
0.444,-27.6299,1.4985,0.5000
0.454,-27.6206,1.4985,0.5000
0.465,-27.6113,1.4984,0.5000
0.474,-27.6019,1.4984,0.5000
0.484,-27.5925,1.4983,0.5000
0.494,-27.5831,1.4983,0.5000
0.504,-27.5736,1.4983,0.5000
0.514,-27.5641,1.4982,0.5000
0.526,-27.5547,1.4982,0.5000
0.534,-27.5547,1.4982,0.5000
0.544,-27.5356,1.4981,0.5000
0.554,-27.5261,1.4981,0.5000
0.564,-27.5165,1.4980,0.5000
0.574,-27.5070,1.4980,0.5000
0.584,-27.4974,1.4979,0.5000
0.594,-27.4878,1.4979,0.5000
0.604,-27.4782,1.4978,0.5000
0.614,-27.4685,1.4978,0.5000
0.624,-27.4589,1.4978,0.5000
0.634,-27.4492,1.4977,0.5000
0.644,-27.4395,1.4977,0.5000
0.654,-27.4298,1.4976,0.5000
0.664,-27.4201,1.4976,0.5000
0.674,-27.4104,1.4975,0.5000
0.684,-27.4007,1.4974,0.5000
0.694,-27.3909,1.4974,0.5000
0.704,-27.3812,1.4973,0.5000
0.714,-27.3714,1.4973,0.5000
0.724,-27.3616,1.4972,0.5000
0.734,-27.3518,1.4971,0.5000
0.744,-27.3420,1.4971,0.5000
0.754,-27.3322,1.4970,0.5000
0.764,-27.3224,1.4969,0.5000
0.774,-27.3126,1.4968,0.5000
0.784,-27.3027,1.4967,0.5000
0.794,-27.2929,1.4966,0.5000
0.804,-27.2830,1.4965,0.5000
0.814,-27.2732,1.4964,0.5000
0.824,-27.2633,1.4963,0.5000
0.834,-27.2535,1.4962,0.5000
0.844,-27.2436,1.4961,0.5000
0.854,-27.2337,1.4960,0.5000
0.864,-27.2238,1.4958,0.5000
0.874,-27.2140,1.4957,0.5000
0.884,-27.2041,1.4955,0.5000
0.894,-27.1942,1.4954,0.5000
0.904,-27.1843,1.4952,0.5000
0.914,-27.1744,1.4951,0.5000
0.924,-27.1645,1.4949,0.5000
0.934,-27.1546,1.4947,0.5000
0.944,-27.1447,1.4946,0.5000
0.954,-27.1348,1.4944,0.5000
0.964,-27.1249,1.4942,0.5000
0.974,-27.1150,1.4940,0.5000
0.984,-27.1051,1.4938,0.5000
0.994,-27.0952,1.4935,0.5000
1.004,-27.0853,1.4933,0.5000
1.014,-27.0754,1.4931,0.5000
1.024,-27.0654,1.4928,0.5000
1.034,-27.0556,1.4926,0.5000
1.044,-27.0457,1.4923,0.5000
1.054,-27.0358,1.4921,0.5000
1.064,-27.0259,1.4918,0.5000
1.074,-27.0160,1.4915,0.5000
1.084,-27.0061,1.4913,0.5000
1.094,-26.9962,1.4910,0.5000
1.104,-26.9863,1.4907,0.5000
1.114,-26.9765,1.4904,0.5000
1.124,-26.9666,1.4900,0.5000
1.134,-26.9567,1.4897,0.5000
1.144,-26.9468,1.4894,0.5000
1.154,-26.9370,1.4890,0.5000
1.164,-26.9271,1.4887,0.5000
1.174,-26.9173,1.4883,0.5000
1.184,-26.9074,1.4880,0.5000
1.194,-26.8975,1.4876,0.5000
1.204,-26.8877,1.4872,0.5000
1.214,-26.8779,1.4868,0.5000
1.224,-26.8680,1.4864,0.5000
1.234,-26.8582,1.4860,0.5000
1.244,-26.8484,1.4856,0.5000
1.254,-26.8385,1.4852,0.5000
1.264,-26.8287,1.4847,0.5000
1.274,-26.8189,1.4843,0.5000
1.284,-26.8091,1.4838,0.5000
1.294,-26.7993,1.4834,0.5000
1.304,-26.7895,1.4829,0.5000
1.314,-26.7798,1.4824,0.5000
1.324,-26.7700,1.4820,0.5000
1.334,-26.7602,1.4815,0.5000
1.344,-26.7505,1.4810,0.5000
1.354,-26.7407,1.4804,0.5000
1.364,-26.7309,1.4799,0.5000
1.374,-26.7212,1.4794,0.5000
1.384,-26.7114,1.4789,0.5000
1.394,-26.7017,1.4783,0.5000
1.404,-26.6920,1.4778,0.5000
1.414,-26.6823,1.4772,0.5000
1.424,-26.6726,1.4767,0.5000
1.434,-26.6629,1.4761,0.5000
1.444,-26.6532,1.4755,0.5000
1.454,-26.6435,1.4749,0.5000
1.464,-26.6338,1.4743,0.5000
1.474,-26.6242,1.4737,0.5000
1.484,-26.6145,1.4731,0.5000
1.494,-26.6048,1.4725,0.5000
1.504,-26.5952,1.4719,0.5000
1.514,-26.5855,1.4712,0.5000
1.524,-26.5759,1.4706,0.5000
1.534,-26.5663,1.4699,0.5000
1.544,-26.5566,1.4693,0.5000
1.554,-26.5470,1.4686,0.5000
1.564,-26.5374,1.4679,0.5000
1.574,-26.5278,1.4672,0.5000
1.584,-26.5182,1.4666,0.5000
1.594,-26.5087,1.4659,0.5000
1.604,-26.4991,1.4652,0.5000
1.615,-26.4895,1.4645,0.5000
1.624,-26.4895,1.4645,0.5000
1.634,-26.4704,1.4630,0.5000
1.644,-26.4608,1.4623,0.5000
1.654,-26.4513,1.4616,0.5000
1.664,-26.4418,1.4608,0.5000
1.674,-26.4322,1.4601,0.5000
1.684,-26.4227,1.4593,0.5000
1.694,-26.4132,1.4586,0.5000
1.704,-26.4037,1.4578,0.5000
1.714,-26.3942,1.4570,0.5000
1.724,-26.3847,1.4563,0.5000
1.734,-26.3752,1.4555,0.5000
1.744,-26.3656,1.4547,0.5000
1.754,-26.3563,1.4539,0.5000
1.764,-26.3468,1.4531,0.5000
1.774,-26.3374,1.4523,0.5000
1.784,-26.3279,1.4515,0.5000
1.794,-26.3184,1.4507,0.5000
1.804,-26.3090,1.4499,0.5000
1.814,-26.2996,1.4491,0.5000
1.824,-26.2902,1.4483,0.5000
1.834,-26.2808,1.4475,0.5000
1.844,-26.2714,1.4467,0.5000
1.854,-26.2620,1.4459,0.5000
1.864,-26.2526,1.4451,0.5000
1.874,-26.2432,1.4443,0.5000
1.884,-26.2338,1.4435,0.5000
1.894,-26.2245,1.4427,0.5000
1.904,-26.2151,1.4420,0.5000
1.914,-26.2057,1.4412,0.5000
1.924,-26.1964,1.4404,0.5000
1.934,-26.1871,1.4396,0.5000
1.944,-26.1777,1.4388,0.5000
1.954,-26.1684,1.4381,0.5000
1.964,-26.1591,1.4373,0.5000
1.974,-26.1591,1.4373,0.5000
1.984,-26.1405,1.4358,0.5000
1.994,-26.1312,1.4351,0.5000
2.004,-26.1220,1.4343,0.5000
2.014,-26.1127,1.4336,0.5000
2.024,-26.1034,1.4329,0.5000
2.034,-26.0942,1.4322,0.5000
2.044,-26.0849,1.4315,0.5000
2.054,-26.0757,1.4308,0.5000
2.064,-26.0665,1.4301,0.5000
2.074,-26.0572,1.4295,0.5000
2.084,-26.0480,1.4288,0.5000
2.094,-26.0388,1.4281,0.5000
2.104,-26.0296,1.4275,0.5000
2.114,-26.0205,1.4269,0.5000
2.124,-26.0113,1.4262,0.5000
2.134,-26.0021,1.4256,0.5000
2.144,-25.9929,1.4250,0.5000
2.154,-25.9838,1.4244,0.5000
2.164,-25.9746,1.4239,0.5000
2.174,-25.9655,1.4233,0.5000
2.184,-25.9563,1.4228,0.5000
2.194,-25.9472,1.4222,0.5000
2.204,-25.9381,1.4217,0.5000
2.214,-25.9290,1.4212,0.5000
2.224,-25.9198,1.4207,0.5000
2.234,-25.9108,1.4202,0.5000
2.244,-25.9017,1.4197,0.5000
2.254,-25.8926,1.4192,0.5000
2.264,-25.8835,1.4188,0.5000
2.274,-25.8744,1.4184,0.5000
2.284,-25.8654,1.4179,0.5000
2.294,-25.8563,1.4175,0.5000
2.304,-25.8473,1.4171,0.5000
2.314,-25.8382,1.4168,0.5000
2.324,-25.8291,1.4164,0.5000
2.334,-25.8201,1.4160,0.5000
2.344,-25.8111,1.4157,0.5000
2.354,-25.8021,1.4154,0.5000
2.364,-25.7931,1.4151,0.5000
2.374,-25.7841,1.4148,0.5000
2.384,-25.7751,1.4145,0.5000
2.394,-25.7660,1.4142,0.5000
