x,y,z
-5.3900,3.6100,-0.9400
-5.3900,3.6100,-0.8400
-5.3900,3.6100,-0.7400
-5.3900,3.6100,-0.6400
-5.3900,3.6100,-0.5400
-5.3900,3.6100,-0.4400
-5.3900,3.6100,-0.3400
-5.3900,3.6100,-0.2400
-5.3900,3.6100,-0.1400
-5.3900,3.6100,-0.0400
-5.3900,3.6100,0.0600
-5.3900,3.6100,0.1600
-5.3900,3.6100,0.2600
-5.3900,3.6100,0.3600
-5.3900,3.6100,0.4600
-5.3900,3.6100,0.5600
-5.3900,3.6100,0.6600
-5.3900,3.6100,0.7600
-5.3900,3.6100,0.8600
-5.3900,3.6100,0.9600
-5.3900,3.6100,1.0600
-5.3900,3.6100,1.1600
-5.3900,3.6100,1.2600
-5.3900,3.6100,1.3600
-5.3900,3.6100,1.4600
-5.3900,3.6100,1.5600
-5.3900,3.6100,1.6600
-5.3900,3.6100,1.7600
-5.3900,3.6100,1.8600
-5.3900,3.6100,1.9600
-5.3900,3.6100,2.0600
-5.3900,3.7100,-0.9400
-5.3900,3.7100,-0.8400
-5.3900,3.7100,-0.7400
-5.3900,3.7100,-0.6400
-5.3900,3.7100,-0.5400
-5.3900,3.7100,-0.4400
-5.3900,3.7100,-0.3400
-5.3900,3.7100,-0.2400
-5.3900,3.7100,-0.1400
-5.3900,3.7100,-0.0400
-5.3900,3.7100,0.0600
-5.3900,3.7100,0.1600
-5.3900,3.7100,0.2600
-5.3900,3.7100,0.3600
-5.3900,3.7100,0.4600
-5.3900,3.7100,0.5600
-5.3900,3.7100,0.6600
-5.3900,3.7100,0.7600
-5.3900,3.7100,0.8600
-5.3900,3.7100,0.9600
-5.3900,3.7100,1.0600
-5.3900,3.7100,1.1600
-5.3900,3.7100,1.2600
-5.3900,3.7100,1.3600
-5.3900,3.7100,1.4600
-5.3900,3.7100,1.5600
-5.3900,3.7100,1.6600
-5.3900,3.7100,1.7600
-5.3900,3.7100,1.8600
-5.3900,3.7100,1.9600
-5.3900,3.7100,2.0600
-5.3900,3.7100,2.1600
-5.3900,3.7100,2.2600
-5.3900,3.7100,2.3600
-5.3900,3.7100,2.4600
-5.3900,3.7100,2.5600
-5.3900,3.7100,2.6600
-5.3900,3.7100,2.7600
-5.3900,3.7100,2.8600
-5.3900,3.7100,2.9600
-5.3900,3.8100,-0.9400
-5.3900,3.8100,-0.8400
-5.3900,3.8100,-0.7400
-5.3900,3.8100,-0.6400
-5.3900,3.8100,-0.5400
-5.3900,3.8100,-0.4400
-5.3900,3.8100,-0.3400
-5.3900,3.8100,-0.2400
-5.3900,3.8100,-0.1400
-5.3900,3.8100,-0.0400
-5.3900,3.8100,0.0600
-5.3900,3.8100,0.1600
-5.3900,3.8100,0.2600
-5.3900,3.8100,0.3600
-5.3900,3.8100,0.4600
-5.3900,3.8100,0.5600
-5.3900,3.8100,0.6600
-5.3900,3.8100,0.7600
-5.3900,3.8100,0.8600
-5.3900,3.8100,0.9600
-5.3900,3.8100,1.0600
-5.3900,3.8100,1.1600
-5.3900,3.8100,1.2600
-5.3900,3.8100,1.3600
-5.3900,3.8100,1.4600
-5.3900,3.8100,1.5600
-5.3900,3.8100,1.6600
-5.3900,3.8100,1.7600
-5.3900,3.8100,1.8600
-5.3900,3.8100,1.9600
-5.3900,3.8100,2.0600
