t,x,y,z,vx,vy,vz,ax,ay,az
0.022,-27.9225,1.4998,0.5000,0.8309,-0.0008,0.0000,0.3155,-0.0018,0.0000
0.032,-27.9143,1.4998,0.5000,0.8340,-0.0008,0.0000,0.3114,-0.0018,0.0000
0.042,-27.9059,1.4998,0.5000,0.8371,-0.0008,0.0000,0.3073,-0.0018,0.0000
0.052,-27.8976,1.4998,0.5000,0.8402,-0.0008,0.0000,0.3032,-0.0018,0.0000
0.062,-27.8891,1.4998,0.5000,0.8432,-0.0008,0.0000,0.2991,-0.0018,0.0000
0.072,-27.8807,1.4998,0.5000,0.8461,-0.0009,0.0000,0.2951,-0.0018,0.0000
0.082,-27.8722,1.4998,0.5000,0.8491,-0.0009,0.0000,0.2911,-0.0018,0.0000
0.092,-27.8637,1.4998,0.5000,0.8520,-0.0009,0.0000,0.2871,-0.0018,0.0000
0.102,-27.8552,1.4998,0.5000,0.8548,-0.0009,0.0000,0.2831,-0.0018,0.0000
0.112,-27.8466,1.4997,0.5000,0.8576,-0.0009,0.0000,0.2792,-0.0018,0.0000
0.122,-27.8380,1.4997,0.5000,0.8604,-0.0009,0.0000,0.2753,-0.0018,0.0000
0.132,-27.8294,1.4997,0.5000,0.8631,-0.0010,0.0000,0.2715,-0.0018,0.0000
0.142,-27.8208,1.4997,0.5000,0.8658,-0.0010,0.0000,0.2676,-0.0018,0.0000
0.152,-27.8121,1.4997,0.5000,0.8685,-0.0010,0.0000,0.2638,-0.0018,0.0000
0.162,-27.8034,1.4997,0.5000,0.8711,-0.0010,0.0000,0.2601,-0.0018,0.0000
0.172,-27.7947,1.4997,0.5000,0.8737,-0.0010,0.0000,0.2563,-0.0018,0.0000
0.182,-27.7859,1.4997,0.5000,0.8762,-0.0011,0.0000,0.2526,-0.0018,0.0000
0.192,-27.7772,1.4997,0.5000,0.8787,-0.0011,0.0000,0.2489,-0.0018,0.0000
0.202,-27.7683,1.4997,0.5000,0.8812,-0.0011,0.0000,0.2452,-0.0018,0.0000
0.212,-27.7595,1.4996,0.5000,0.8836,-0.0011,0.0000,0.2416,-0.0018,0.0000
0.222,-27.7507,1.4996,0.5000,0.8860,-0.0011,0.0000,0.2380,-0.0017,0.0000
0.232,-27.7418,1.4996,0.5000,0.8884,-0.0011,0.0000,0.2344,-0.0017,0.0000
0.242,-27.7329,1.4996,0.5000,0.8907,-0.0012,0.0000,0.2309,-0.0017,0.0000
0.252,-27.7240,1.4996,0.5000,0.8930,-0.0012,0.0000,0.2274,-0.0017,0.0000
0.262,-27.7150,1.4996,0.5000,0.8953,-0.0012,0.0000,0.2239,-0.0017,0.0000
0.272,-27.7061,1.4996,0.5000,0.8975,-0.0012,0.0000,0.2204,-0.0017,0.0000
0.282,-27.6971,1.4996,0.5000,0.8997,-0.0012,0.0000,0.2170,-0.0017,0.0000
0.292,-27.6881,1.4995,0.5000,0.9018,-0.0012,0.0000,0.2135,-0.0017,0.0000
0.302,-27.6791,1.4995,0.5000,0.9040,-0.0013,0.0000,0.2102,-0.0017,0.0000
0.312,-27.6700,1.4995,0.5000,0.9060,-0.0013,0.0000,0.2068,-0.0016,0.0000
0.322,-27.6609,1.4995,0.5000,0.9081,-0.0013,0.0000,0.2035,-0.0016,0.0000
0.332,-27.6518,1.4995,0.5000,0.9101,-0.0013,0.0000,0.2002,-0.0016,0.0000
0.342,-27.6427,1.4995,0.5000,0.9121,-0.0013,0.0000,0.1969,-0.0016,0.0000
0.352,-27.6336,1.4995,0.5000,0.9141,-0.0013,0.0000,0.1937,-0.0016,0.0000
0.362,-27.6244,1.4995,0.5000,0.9160,-0.0014,0.0000,0.1905,-0.0016,0.0000
0.372,-27.6153,1.4994,0.5000,0.9179,-0.0014,0.0000,0.1873,-0.0016,0.0000
0.382,-27.6061,1.4994,0.5000,0.9197,-0.0014,0.0000,0.1841,-0.0015,0.0000
0.392,-27.5969,1.4994,0.5000,0.9215,-0.0014,0.0000,0.1810,-0.0015,0.0000
0.402,-27.5877,1.4994,0.5000,0.9233,-0.0014,0.0000,0.1779,-0.0015,0.0000
0.412,-27.5783,1.4994,0.5000,0.9251,-0.0014,0.0000,0.1747,-0.0015,0.0000
0.423,-27.5684,1.4994,0.5000,0.9270,-0.0014,0.0000,0.1715,-0.0015,0.0000
0.432,-27.5598,1.4994,0.5000,0.9286,-0.0015,0.0000,0.1687,-0.0015,0.0000
0.442,-27.5506,1.4993,0.5000,0.9302,-0.0015,0.0000,0.1657,-0.0014,0.0000
0.452,-27.5413,1.4993,0.5000,0.9318,-0.0015,0.0000,0.1627,-0.0014,0.0000
0.462,-27.5320,1.4993,0.5000,0.9335,-0.0015,0.0000,0.1598,-0.0014,0.0000
0.472,-27.5226,1.4993,0.5000,0.9350,-0.0015,0.0000,0.1569,-0.0014,0.0000
0.482,-27.5133,1.4993,0.5000,0.9366,-0.0015,0.0000,0.1540,-0.0014,0.0000
0.492,-27.5039,1.4993,0.5000,0.9381,-0.0015,0.0000,0.1511,-0.0013,0.0000
0.502,-27.4945,1.4992,0.5000,0.9396,-0.0016,0.0000,0.1483,-0.0013,0.0000
0.513,-27.4838,1.4992,0.5000,0.9413,-0.0016,0.0000,0.1450,-0.0013,0.0000
