t,x,y,z,vx,vy,vz,ax,ay,az
0.027,-25.3242,3.0000,0.5000,0.8273,-0.0000,0.0000,0.3079,-0.0000,0.0000
0.037,-25.3159,3.0000,0.5000,0.8303,-0.0000,0.0000,0.3038,-0.0000,0.0000
0.047,-25.3076,3.0000,0.5000,0.8333,-0.0000,0.0000,0.2996,-0.0000,0.0000
0.057,-25.2993,3.0000,0.5000,0.8363,-0.0000,0.0000,0.2955,-0.0000,0.0000
0.067,-25.2909,3.0000,0.5000,0.8392,-0.0000,0.0000,0.2915,-0.0000,0.0000
0.077,-25.2825,3.0000,0.5000,0.8421,-0.0000,0.0000,0.2874,-0.0000,0.0000
0.087,-25.2741,3.0000,0.5000,0.8450,-0.0000,0.0000,0.2834,-0.0000,0.0000
0.097,-25.2656,3.0000,0.5000,0.8478,-0.0000,0.0000,0.2794,-0.0000,0.0000
0.107,-25.2571,3.0000,0.5000,0.8506,-0.0000,0.0000,0.2755,-0.0000,0.0000
0.117,-25.2486,3.0000,0.5000,0.8533,-0.0000,0.0000,0.2716,-0.0000,0.0000
0.127,-25.2400,3.0000,0.5000,0.8560,-0.0000,0.0000,0.2677,-0.0000,0.0000
0.137,-25.2315,3.0000,0.5000,0.8587,-0.0000,0.0000,0.2638,-0.0000,0.0000
0.147,-25.2229,3.0000,0.5000,0.8613,-0.0000,0.0000,0.2600,-0.0000,0.0000
0.157,-25.2142,3.0000,0.5000,0.8639,-0.0000,0.0000,0.2562,-0.0000,0.0000
0.167,-25.2056,3.0000,0.5000,0.8664,-0.0000,0.0000,0.2525,-0.0000,0.0000
0.177,-25.1969,3.0000,0.5000,0.8689,-0.0000,0.0000,0.2487,-0.0000,0.0000
0.187,-25.1882,3.0000,0.5000,0.8714,-0.0000,0.0000,0.2450,-0.0000,0.0000
0.197,-25.1795,3.0000,0.5000,0.8738,-0.0000,0.0000,0.2414,-0.0000,0.0000
0.207,-25.1707,3.0000,0.5000,0.8762,-0.0000,0.0000,0.2377,-0.0000,0.0000
0.217,-25.1620,3.0000,0.5000,0.8786,-0.0000,0.0000,0.2341,-0.0000,0.0000
0.227,-25.1532,3.0000,0.5000,0.8809,-0.0000,0.0000,0.2306,-0.0000,0.0000
0.237,-25.1444,3.0000,0.5000,0.8832,-0.0000,0.0000,0.2270,-0.0000,0.0000
0.247,-25.1355,3.0000,0.5000,0.8854,-0.0000,0.0000,0.2235,-0.0000,0.0000
0.257,-25.1266,3.0000,0.5000,0.8876,-0.0000,0.0000,0.2200,-0.0000,0.0000
0.267,-25.1177,3.0000,0.5000,0.8898,-0.0000,0.0000,0.2165,-0.0000,0.0000
0.277,-25.1088,3.0000,0.5000,0.8920,-0.0000,0.0000,0.2131,-0.0000,0.0000
0.287,-25.0999,3.0000,0.5000,0.8941,-0.0000,0.0000,0.2097,-0.0000,0.0000
0.297,-25.0909,3.0000,0.5000,0.8962,-0.0000,0.0000,0.2064,-0.0000,0.0000
0.307,-25.0820,3.0000,0.5000,0.8982,-0.0000,0.0000,0.2030,-0.0000,0.0000
