t,x,y,z,vx,vy,vz,ax,ay,az
0.000,-25.3058,-0.0001,0.5000,0.8285,-0.0003,0.0000,0.2847,-0.0008,0.0000
0.010,-25.2975,-0.0001,0.5000,0.8313,-0.0004,0.0000,0.2806,-0.0008,0.0000
0.020,-25.2892,-0.0001,0.5000,0.8341,-0.0004,0.0000,0.2765,-0.0008,0.0000
0.030,-25.2809,-0.0001,0.5000,0.8368,-0.0004,0.0000,0.2725,-0.0008,0.0000
0.040,-25.2725,-0.0001,0.5000,0.8395,-0.0004,0.0000,0.2685,-0.0008,0.0000
0.050,-25.2641,-0.0001,0.5000,0.8422,-0.0004,0.0000,0.2646,-0.0008,0.0000
0.060,-25.2556,-0.0001,0.5000,0.8448,-0.0004,0.0000,0.2607,-0.0008,0.0000
0.070,-25.2472,-0.0001,0.5000,0.8474,-0.0004,0.0000,0.2568,-0.0008,0.0000
0.080,-25.2387,-0.0001,0.5000,0.8499,-0.0004,0.0000,0.2530,-0.0008,0.0000
0.090,-25.2302,-0.0001,0.5000,0.8524,-0.0004,0.0000,0.2492,-0.0008,0.0000
0.100,-25.2216,-0.0001,0.5000,0.8549,-0.0004,0.0000,0.2454,-0.0008,0.0000
0.110,-25.2131,-0.0001,0.5000,0.8574,-0.0004,0.0000,0.2417,-0.0008,0.0000
0.120,-25.2045,-0.0001,0.5000,0.8598,-0.0004,0.0000,0.2380,-0.0008,0.0000
0.130,-25.1958,-0.0001,0.5000,0.8621,-0.0005,0.0000,0.2343,-0.0008,0.0000
0.140,-25.1873,-0.0001,0.5000,0.8644,-0.0005,0.0000,0.2307,-0.0008,0.0000
0.150,-25.1786,-0.0001,0.5000,0.8667,-0.0005,0.0000,0.2271,-0.0008,0.0000
0.160,-25.1699,-0.0002,0.5000,0.8690,-0.0005,0.0000,0.2235,-0.0008,0.0000
0.170,-25.1612,-0.0002,0.5000,0.8712,-0.0005,0.0000,0.2200,-0.0008,0.0000
0.180,-25.1524,-0.0002,0.5000,0.8734,-0.0005,0.0000,0.2165,-0.0008,0.0000
0.190,-25.1437,-0.0002,0.5000,0.8756,-0.0005,0.0000,0.2131,-0.0008,0.0000
0.200,-25.1350,-0.0002,0.5000,0.8777,-0.0005,0.0000,0.2097,-0.0008,0.0000
0.210,-25.1261,-0.0002,0.5000,0.8797,-0.0005,0.0000,0.2063,-0.0008,0.0000
0.220,-25.1174,-0.0002,0.5000,0.8818,-0.0005,0.0000,0.2029,-0.0008,0.0000
0.230,-25.1085,-0.0002,0.5000,0.8838,-0.0005,0.0000,0.1996,-0.0008,0.0000
0.240,-25.0997,-0.0002,0.5000,0.8858,-0.0005,0.0000,0.1963,-0.0008,0.0000
0.250,-25.0909,-0.0002,0.5000,0.8877,-0.0005,0.0000,0.1931,-0.0008,0.0000
0.260,-25.0820,-0.0002,0.5000,0.8896,-0.0006,0.0000,0.1899,-0.0008,0.0000
0.270,-25.0729,-0.0002,0.5000,0.8916,-0.0006,0.0000,0.1866,-0.0008,0.0000
0.280,-25.0641,-0.0002,0.5000,0.8934,-0.0006,0.0000,0.1835,-0.0008,0.0000
0.290,-25.0548,-0.0002,0.5000,0.8953,-0.0006,0.0000,0.1803,-0.0008,0.0000
0.300,-25.0462,-0.0002,0.5000,0.8970,-0.0006,0.0000,0.1773,-0.0008,0.0000
0.310,-25.0372,-0.0002,0.5000,0.8987,-0.0006,0.0000,0.1742,-0.0007,0.0000
0.320,-25.0281,-0.0002,0.5000,0.9005,-0.0006,0.0000,0.1712,-0.0007,0.0000
0.330,-25.0192,-0.0002,0.5000,0.9022,-0.0006,0.0000,0.1683,-0.0007,0.0000
0.340,-25.0102,-0.0003,0.5000,0.9038,-0.0006,0.0000,0.1653,-0.0007,0.0000
0.350,-25.0011,-0.0003,0.5000,0.9055,-0.0006,0.0000,0.1623,-0.0007,0.0000
0.360,-24.9920,-0.0003,0.5000,0.9071,-0.0006,0.0000,0.1595,-0.0007,0.0000
0.370,-24.9830,-0.0003,0.5000,0.9086,-0.0006,0.0000,0.1566,-0.0007,0.0000
