t,x,y,z,vx,vy,vz,ax,ay,az
0.008,-22.7036,-1.4998,0.5000,0.8373,0.0009,0.0000,0.3043,0.0020,0.0000
0.019,-22.6952,-1.4998,0.5000,0.8404,0.0009,0.0000,0.3002,0.0020,0.0000
0.029,-22.6867,-1.4998,0.5000,0.8433,0.0009,0.0000,0.2961,0.0020,0.0000
0.039,-22.6783,-1.4998,0.5000,0.8463,0.0009,0.0000,0.2921,0.0020,0.0000
0.049,-22.6698,-1.4997,0.5000,0.8492,0.0010,0.0000,0.2881,0.0020,0.0000
0.059,-22.6613,-1.4997,0.5000,0.8520,0.0010,0.0000,0.2841,0.0020,0.0000
0.069,-22.6528,-1.4997,0.5000,0.8549,0.0010,0.0000,0.2802,0.0020,0.0000
0.079,-22.6442,-1.4997,0.5000,0.8576,0.0010,0.0000,0.2763,0.0020,0.0000
0.089,-22.6357,-1.4997,0.5000,0.8604,0.0010,0.0000,0.2724,0.0020,0.0000
0.099,-22.6270,-1.4997,0.5000,0.8631,0.0011,0.0000,0.2686,0.0020,0.0000
0.109,-22.6184,-1.4997,0.5000,0.8658,0.0011,0.0000,0.2647,0.0020,0.0000
0.118,-22.6097,-1.4997,0.5000,0.8684,0.0011,0.0000,0.2609,0.0020,0.0000
0.128,-22.6010,-1.4997,0.5000,0.8710,0.0011,0.0000,0.2572,0.0020,0.0000
0.139,-22.5923,-1.4996,0.5000,0.8735,0.0011,0.0000,0.2534,0.0020,0.0000
0.149,-22.5836,-1.4996,0.5000,0.8760,0.0012,0.0000,0.2497,0.0019,0.0000
0.158,-22.5748,-1.4996,0.5000,0.8785,0.0012,0.0000,0.2460,0.0019,0.0000
0.169,-22.5660,-1.4996,0.5000,0.8810,0.0012,0.0000,0.2424,0.0019,0.0000
0.179,-22.5572,-1.4996,0.5000,0.8834,0.0012,0.0000,0.2388,0.0019,0.0000
0.189,-22.5483,-1.4996,0.5000,0.8857,0.0012,0.0000,0.2352,0.0019,0.0000
0.199,-22.5394,-1.4996,0.5000,0.8881,0.0013,0.0000,0.2316,0.0019,0.0000
0.209,-22.5305,-1.4996,0.5000,0.8904,0.0013,0.0000,0.2281,0.0019,0.0000
0.218,-22.5217,-1.4995,0.5000,0.8926,0.0013,0.0000,0.2246,0.0019,0.0000
0.229,-22.5127,-1.4995,0.5000,0.8949,0.0013,0.0000,0.2211,0.0019,0.0000
0.239,-22.5037,-1.4995,0.5000,0.8971,0.0013,0.0000,0.2176,0.0019,0.0000
0.249,-22.4948,-1.4995,0.5000,0.8992,0.0014,0.0000,0.2142,0.0018,0.0000
0.259,-22.4858,-1.4995,0.5000,0.9013,0.0014,0.0000,0.2108,0.0018,0.0000
0.269,-22.4767,-1.4995,0.5000,0.9034,0.0014,0.0000,0.2075,0.0018,0.0000
0.279,-22.4677,-1.4995,0.5000,0.9055,0.0014,0.0000,0.2041,0.0018,0.0000
0.289,-22.4586,-1.4995,0.5000,0.9075,0.0014,0.0000,0.2008,0.0018,0.0000
0.299,-22.4495,-1.4994,0.5000,0.9095,0.0014,0.0000,0.1975,0.0018,0.0000
0.309,-22.4404,-1.4994,0.5000,0.9115,0.0015,0.0000,0.1943,0.0018,0.0000
0.319,-22.4313,-1.4994,0.5000,0.9134,0.0015,0.0000,0.1910,0.0017,0.0000
0.329,-22.4222,-1.4994,0.5000,0.9153,0.0015,0.0000,0.1878,0.0017,0.0000
0.339,-22.4130,-1.4994,0.5000,0.9171,0.0015,0.0000,0.1847,0.0017,0.0000
0.349,-22.4038,-1.4994,0.5000,0.9190,0.0015,0.0000,0.1815,0.0017,0.0000
0.359,-22.3946,-1.4993,0.5000,0.9208,0.0015,0.0000,0.1784,0.0017,0.0000
0.369,-22.3854,-1.4993,0.5000,0.9225,0.0016,0.0000,0.1753,0.0016,0.0000
0.379,-22.3762,-1.4993,0.5000,0.9243,0.0016,0.0000,0.1723,0.0016,0.0000
0.389,-22.3669,-1.4993,0.5000,0.9260,0.0016,0.0000,0.1692,0.0016,0.0000
0.399,-22.3577,-1.4993,0.5000,0.9277,0.0016,0.0000,0.1662,0.0016,0.0000
0.408,-22.3484,-1.4993,0.5000,0.9293,0.0016,0.0000,0.1632,0.0016,0.0000
0.419,-22.3391,-1.4993,0.5000,0.9309,0.0016,0.0000,0.1603,0.0015,0.0000
0.429,-22.3291,-1.4992,0.5000,0.9326,0.0017,0.0000,0.1572,0.0015,0.0000
0.439,-22.3204,-1.4992,0.5000,0.9341,0.0017,0.0000,0.1545,0.0015,0.0000
0.448,-22.3111,-1.4992,0.5000,0.9356,0.0017,0.0000,0.1516,0.0015,0.0000
0.459,-22.3017,-1.4992,0.5000,0.9371,0.0017,0.0000,0.1488,0.0015,0.0000
0.469,-22.2923,-1.4992,0.5000,0.9386,0.0017,0.0000,0.1459,0.0014,0.0000
0.478,-22.2829,-1.4992,0.5000,0.9400,0.0017,0.0000,0.1431,0.0014,0.0000
0.489,-22.2735,-1.4991,0.5000,0.9414,0.0017,0.0000,0.1352,0.0014,0.0000
0.499,-22.2641,-1.4991,0.5000,0.9427,0.0018,0.0000,0.1302,0.0015,0.0000
0.509,-22.2546,-1.4991,0.5000,0.9440,0.0018,0.0000,0.1251,0.0015,0.0000
0.519,-22.2452,-1.4991,0.5000,0.9452,0.0018,0.0000,0.1202,0.0015,0.0000
0.529,-22.2357,-1.4991,0.5000,0.9464,0.0018,0.0000,0.1154,0.0015,0.0000
0.539,-22.2263,-1.4990,0.5000,0.9475,0.0018,0.0000,0.1106,0.0015,0.0000
0.549,-22.2168,-1.4990,0.5000,0.9486,0.0018,0.0000,0.1059,0.0015,0.0000
0.559,-22.2069,-1.4990,0.5000,0.9497,0.0018,0.0000,0.1011,0.0015,0.0000
0.569,-22.1978,-1.4990,0.5000,0.9506,0.0019,0.0000,0.0968,0.0015,0.0000
0.579,-22.1883,-1.4990,0.5000,0.9516,0.0019,0.0000,0.0923,0.0015,0.0000
0.589,-22.1788,-1.4990,0.5000,0.9525,0.0019,0.0000,0.0880,0.0015,0.0000
0.599,-22.1693,-1.4989,0.5000,0.9533,0.0019,0.0000,0.0837,0.0015,0.0000
0.609,-22.1597,-1.4989,0.5000,0.9542,0.0019,0.0000,0.0794,0.0015,0.0000
0.619,-22.1502,-1.4989,0.5000,0.9549,0.0019,0.0000,0.0753,0.0015,0.0000
0.629,-22.1406,-1.4989,0.5000,0.9557,0.0020,0.0000,0.0712,0.0015,0.0000
0.639,-22.1311,-1.4989,0.5000,0.9564,0.0020,0.0000,0.0672,0.0015,0.0000
0.649,-22.1215,-1.4988,0.5000,0.9570,0.0020,0.0000,0.0633,0.0015,0.0000
0.658,-22.1119,-1.4988,0.5000,0.9576,0.0020,0.0000,0.0594,0.0015,0.0000
0.669,-22.1024,-1.4988,0.5000,0.9582,0.0020,0.0000,0.0556,0.0015,0.0000
0.679,-22.0928,-1.4988,0.5000,0.9587,0.0020,0.0000,0.0519,0.0015,0.0000
0.689,-22.0832,-1.4988,0.5000,0.9592,0.0020,0.0000,0.0483,0.0015,0.0000
0.699,-22.0736,-1.4987,0.5000,0.9597,0.0021,0.0000,0.0447,0.0014,0.0000
0.709,-22.0640,-1.4987,0.5000,0.9601,0.0021,0.0000,0.0412,0.0014,0.0000
0.719,-22.0544,-1.4987,0.5000,0.9605,0.0021,0.0000,0.0377,0.0014,0.0000
0.729,-22.0448,-1.4987,0.5000,0.9609,0.0021,0.0000,0.0344,0.0014,0.0000
0.739,-22.0352,-1.4987,0.5000,0.9612,0.0021,0.0000,0.0311,0.0014,0.0000
0.749,-22.0255,-1.4986,0.5000,0.9615,0.0021,0.0000,0.0278,0.0014,0.0000
0.759,-22.0159,-1.4986,0.5000,0.9618,0.0021,0.0000,0.0247,0.0014,0.0000
0.769,-22.0063,-1.4986,0.5000,0.9620,0.0022,0.0000,0.0216,0.0014,0.0000
0.779,-21.9967,-1.4986,0.5000,0.9622,0.0022,0.0000,0.0186,0.0014,0.0000
0.789,-21.9871,-1.4985,0.5000,0.9624,0.0022,0.0000,0.0156,0.0014,0.0000
0.799,-21.9774,-1.4985,0.5000,0.9625,0.0022,0.0000,0.0127,0.0014,0.0000
0.809,-21.9678,-1.4985,0.5000,0.9626,0.0022,0.0000,0.0099,0.0014,0.0000
0.819,-21.9582,-1.4985,0.5000,0.9627,0.0022,0.0000,0.0071,0.0014,0.0000
0.829,-21.9486,-1.4985,0.5000,0.9628,0.0022,0.0000,0.0044,0.0013,0.0000
0.839,-21.9389,-1.4984,0.5000,0.9628,0.0023,0.0000,0.0018,0.0013,0.0000
0.849,-21.9293,-1.4984,0.5000,0.9628,0.0023,0.0000,-0.0008,0.0013,0.0000
0.859,-21.9197,-1.4984,0.5000,0.9628,0.0023,0.0000,-0.0033,0.0013,0.0000
0.868,-21.9101,-1.4984,0.5000,0.9627,0.0023,0.0000,-0.0058,0.0013,0.0000
0.878,-21.9004,-1.4983,0.5000,0.9627,0.0023,0.0000,-0.0082,0.0013,0.0000
0.889,-21.8908,-1.4983,0.5000,0.9626,0.0023,0.0000,-0.0105,0.0013,0.0000
0.898,-21.8812,-1.4983,0.5000,0.9625,0.0023,0.0000,-0.0128,0.0013,0.0000
0.908,-21.8716,-1.4983,0.5000,0.9623,0.0023,0.0000,-0.0150,0.0013,0.0000
0.919,-21.8619,-1.4983,0.5000,0.9622,0.0024,0.0000,-0.0171,0.0012,0.0000
0.928,-21.8523,-1.4982,0.5000,0.9620,0.0024,0.0000,-0.0192,0.0012,0.0000
0.938,-21.8427,-1.4982,0.5000,0.9618,0.0024,0.0000,-0.0212,0.0012,0.0000
0.949,-21.8331,-1.4982,0.5000,0.9616,0.0024,0.0000,-0.0232,0.0012,0.0000
0.959,-21.8235,-1.4982,0.5000,0.9613,0.0024,0.0000,-0.0251,0.0012,0.0000
0.969,-21.8138,-1.4981,0.5000,0.9611,0.0024,0.0000,-0.0270,0.0012,0.0000
0.978,-21.8043,-1.4981,0.5000,0.9608,0.0024,0.0000,-0.0287,0.0012,0.0000
0.989,-21.7946,-1.4981,0.5000,0.9605,0.0024,0.0000,-0.0305,0.0011,0.0000
0.999,-21.7850,-1.4981,0.5000,0.9602,0.0024,0.0000,-0.0322,0.0011,0.0000
1.009,-21.7754,-1.4980,0.5000,0.9598,0.0025,0.0000,-0.0338,0.0011,0.0000
1.019,-21.7658,-1.4980,0.5000,0.9595,0.0025,0.0000,-0.0354,0.0011,0.0000
1.029,-21.7562,-1.4980,0.5000,0.9591,0.0025,0.0000,-0.0369,0.0011,0.0000
1.039,-21.7466,-1.4980,0.5000,0.9588,0.0025,0.0000,-0.0384,0.0011,0.0000
1.049,-21.7371,-1.4979,0.5000,0.9584,0.0025,0.0000,-0.0398,0.0010,0.0000
1.059,-21.7275,-1.4979,0.5000,0.9580,0.0025,0.0000,-0.0411,0.0010,0.0000
1.069,-21.7179,-1.4979,0.5000,0.9575,0.0025,0.0000,-0.0424,0.0010,0.0000
1.079,-21.7083,-1.4979,0.5000,0.9571,0.0025,0.0000,-0.0437,0.0010,0.0000
1.089,-21.6987,-1.4978,0.5000,0.9567,0.0025,0.0000,-0.0449,0.0010,0.0000
1.099,-21.6892,-1.4978,0.5000,0.9562,0.0026,0.0000,-0.0461,0.0009,0.0000
1.109,-21.6796,-1.4978,0.5000,0.9557,0.0026,0.0000,-0.0472,0.0009,0.0000
1.119,-21.6701,-1.4978,0.5000,0.9553,0.0026,0.0000,-0.0482,0.0009,0.0000
1.128,-21.6605,-1.4977,0.5000,0.9548,0.0026,0.0000,-0.0492,0.0009,0.0000
1.139,-21.6510,-1.4977,0.5000,0.9543,0.0026,0.0000,-0.0502,0.0009,0.0000
1.148,-21.6415,-1.4977,0.5000,0.9538,0.0026,0.0000,-0.0511,0.0008,0.0000
1.159,-21.6319,-1.4977,0.5000,0.9533,0.0026,0.0000,-0.0519,0.0008,0.0000
1.169,-21.6224,-1.4976,0.5000,0.9527,0.0026,0.0000,-0.0527,0.0008,0.0000
1.179,-21.6129,-1.4976,0.5000,0.9522,0.0026,0.0000,-0.0535,0.0008,0.0000
1.189,-21.6033,-1.4976,0.5000,0.9517,0.0026,0.0000,-0.0542,0.0008,0.0000
1.199,-21.5938,-1.4975,0.5000,0.9511,0.0026,0.0000,-0.0549,0.0007,0.0000
1.209,-21.5843,-1.4975,0.5000,0.9506,0.0026,0.0000,-0.0555,0.0007,0.0000
1.219,-21.5748,-1.4975,0.5000,0.9500,0.0027,0.0000,-0.0561,0.0007,0.0000
1.229,-21.5653,-1.4975,0.5000,0.9494,0.0027,0.0000,-0.0566,0.0007,0.0000
1.239,-21.5558,-1.4974,0.5000,0.9489,0.0027,0.0000,-0.0571,0.0007,0.0000
1.249,-21.5463,-1.4974,0.5000,0.9483,0.0027,0.0000,-0.0576,0.0006,0.0000
1.259,-21.5369,-1.4974,0.5000,0.9477,0.0027,0.0000,-0.0580,0.0006,0.0000
1.269,-21.5274,-1.4974,0.5000,0.9471,0.0027,0.0000,-0.0583,0.0006,0.0000
1.279,-21.5179,-1.4973,0.5000,0.9466,0.0027,0.0000,-0.0586,0.0006,0.0000
1.289,-21.5084,-1.4973,0.5000,0.9460,0.0027,0.0000,-0.0589,0.0005,0.0000
1.299,-21.4990,-1.4973,0.5000,0.9454,0.0027,0.0000,-0.0591,0.0005,0.0000
1.309,-21.4895,-1.4973,0.5000,0.9448,0.0027,0.0000,-0.0593,0.0005,0.0000
1.319,-21.4801,-1.4972,0.5000,0.9442,0.0027,0.0000,-0.0595,0.0005,0.0000
1.329,-21.4707,-1.4972,0.5000,0.9436,0.0027,0.0000,-0.0596,0.0004,0.0000
1.339,-21.4612,-1.4972,0.5000,0.9430,0.0027,0.0000,-0.0597,0.0004,0.0000
1.349,-21.4518,-1.4971,0.5000,0.9424,0.0027,0.0000,-0.0597,0.0004,0.0000
1.358,-21.4424,-1.4971,0.5000,0.9418,0.0027,0.0000,-0.0597,0.0004,0.0000
1.368,-21.4330,-1.4971,0.5000,0.9412,0.0027,0.0000,-0.0597,0.0003,0.0000
1.379,-21.4235,-1.4971,0.5000,0.9406,0.0027,0.0000,-0.0596,0.0003,0.0000
1.388,-21.4142,-1.4970,0.5000,0.9400,0.0027,0.0000,-0.0595,0.0003,0.0000
1.399,-21.4048,-1.4970,0.5000,0.9394,0.0027,0.0000,-0.0593,0.0003,0.0000
1.409,-21.3954,-1.4970,0.5000,0.9388,0.0027,0.0000,-0.0591,0.0002,0.0000
