t,x,y,z
0.027,-22.9663,1.5135,0.5000
0.037,-22.9594,1.5136,0.5000
0.047,-22.9525,1.5138,0.5000
0.057,-22.9455,1.5140,0.5000
0.067,-22.9384,1.5142,0.5000
0.077,-22.9313,1.5144,0.5000
0.087,-22.9242,1.5146,0.5000
0.097,-22.9170,1.5148,0.5000
0.107,-22.9097,1.5150,0.5000
0.117,-22.9024,1.5153,0.5000
0.127,-22.8951,1.5155,0.5000
0.137,-22.8877,1.5157,0.5000
0.147,-22.8802,1.5159,0.5000
0.157,-22.8727,1.5161,0.5000
0.167,-22.8652,1.5163,0.5000
0.177,-22.8576,1.5165,0.5000
0.187,-22.8500,1.5167,0.5000
0.197,-22.8423,1.5169,0.5000
0.207,-22.8346,1.5171,0.5000
0.217,-22.8268,1.5173,0.5000
0.227,-22.8190,1.5175,0.5000
0.237,-22.8111,1.5178,0.5000
0.247,-22.8032,1.5180,0.5000
0.257,-22.7952,1.5182,0.5000
0.267,-22.7873,1.5184,0.5000
0.277,-22.7792,1.5186,0.5000
0.287,-22.7711,1.5188,0.5000
0.297,-22.7630,1.5190,0.5000
0.307,-22.7548,1.5193,0.5000
0.317,-22.7466,1.5195,0.5000
0.327,-22.7384,1.5197,0.5000
0.337,-22.7301,1.5199,0.5000
0.347,-22.7217,1.5201,0.5000
0.357,-22.7133,1.5203,0.5000
0.367,-22.7049,1.5206,0.5000
0.377,-22.6965,1.5208,0.5000
0.387,-22.6880,1.5210,0.5000
0.397,-22.6794,1.5212,0.5000
0.407,-22.6708,1.5214,0.5000
0.417,-22.6622,1.5217,0.5000
0.427,-22.6535,1.5219,0.5000
0.437,-22.6449,1.5221,0.5000
0.447,-22.6361,1.5223,0.5000
0.457,-22.6273,1.5225,0.5000
0.467,-22.6185,1.5228,0.5000
0.477,-22.6097,1.5230,0.5000
0.487,-22.6006,1.5232,0.5000
0.497,-22.5919,1.5234,0.5000
0.507,-22.5829,1.5237,0.5000
0.517,-22.5739,1.5239,0.5000
0.527,-22.5649,1.5241,0.5000
0.537,-22.5558,1.5243,0.5000
0.547,-22.5467,1.5245,0.5000
0.557,-22.5376,1.5248,0.5000
0.567,-22.5284,1.5250,0.5000
0.577,-22.5193,1.5252,0.5000
0.587,-22.5100,1.5254,0.5000
0.597,-22.5008,1.5256,0.5000
0.607,-22.4915,1.5259,0.5000
0.617,-22.4821,1.5261,0.5000
0.627,-22.4728,1.5263,0.5000
0.637,-22.4634,1.5265,0.5000
0.647,-22.4540,1.5267,0.5000
0.657,-22.4445,1.5270,0.5000
0.667,-22.4350,1.5272,0.5000
0.677,-22.4255,1.5274,0.5000
0.687,-22.4160,1.5276,0.5000
0.697,-22.4064,1.5278,0.5000
0.707,-22.3968,1.5281,0.5000
0.717,-22.3872,1.5283,0.5000
0.727,-22.3775,1.5285,0.5000
0.737,-22.3678,1.5287,0.5000
0.747,-22.3581,1.5289,0.5000
0.757,-22.3484,1.5291,0.5000
0.767,-22.3386,1.5293,0.5000
0.777,-22.3289,1.5296,0.5000
0.787,-22.3191,1.5298,0.5000
0.797,-22.3092,1.5300,0.5000
0.807,-22.2993,1.5302,0.5000
0.817,-22.2895,1.5304,0.5000
0.827,-22.2796,1.5306,0.5000
0.837,-22.2696,1.5308,0.5000
0.847,-22.2597,1.5310,0.5000
0.857,-22.2497,1.5312,0.5000
0.867,-22.2397,1.5314,0.5000
0.877,-22.2297,1.5316,0.5000
0.887,-22.2196,1.5319,0.5000
0.897,-22.2096,1.5321,0.5000
0.907,-22.1995,1.5323,0.5000
0.917,-22.1894,1.5325,0.5000
0.927,-22.1792,1.5327,0.5000
0.937,-22.1691,1.5328,0.5000
0.947,-22.1589,1.5330,0.5000
0.957,-22.1488,1.5332,0.5000
0.967,-22.1385,1.5334,0.5000
0.977,-22.1283,1.5336,0.5000
0.987,-22.1181,1.5338,0.5000
0.997,-22.1078,1.5340,0.5000
1.007,-22.0976,1.5342,0.5000
1.017,-22.0873,1.5344,0.5000
1.027,-22.0770,1.5345,0.5000
1.037,-22.0667,1.5347,0.5000
1.047,-22.0563,1.5349,0.5000
1.057,-22.0460,1.5351,0.5000
1.067,-22.0356,1.5353,0.5000
1.077,-22.0252,1.5354,0.5000
1.087,-22.0148,1.5356,0.5000
1.097,-22.0044,1.5358,0.5000
1.107,-21.9940,1.5359,0.5000
1.117,-21.9836,1.5361,0.5000
1.127,-21.9731,1.5363,0.5000
1.137,-21.9626,1.5364,0.5000
1.147,-21.9522,1.5366,0.5000
1.157,-21.9417,1.5368,0.5000
1.167,-21.9312,1.5369,0.5000
1.177,-21.9207,1.5371,0.5000
1.187,-21.9102,1.5372,0.5000
1.197,-21.8996,1.5374,0.5000
1.207,-21.8891,1.5375,0.5000
1.217,-21.8785,1.5377,0.5000
1.227,-21.8680,1.5378,0.5000
1.237,-21.8574,1.5380,0.5000
1.247,-21.8468,1.5381,0.5000
1.257,-21.8362,1.5382,0.5000
1.267,-21.8256,1.5384,0.5000
1.277,-21.8150,1.5385,0.5000
1.287,-21.8044,1.5386,0.5000
1.297,-21.7938,1.5388,0.5000
1.307,-21.7832,1.5389,0.5000
1.317,-21.7725,1.5390,0.5000
1.327,-21.7619,1.5391,0.5000
1.337,-21.7512,1.5393,0.5000
1.347,-21.7406,1.5394,0.5000
1.357,-21.7299,1.5395,0.5000
1.367,-21.7192,1.5396,0.5000
1.377,-21.7086,1.5397,0.5000
1.387,-21.6979,1.5398,0.5000
1.397,-21.6872,1.5399,0.5000
1.407,-21.6765,1.5400,0.5000
1.417,-21.6658,1.5401,0.5000
1.427,-21.6551,1.5402,0.5000
1.437,-21.6444,1.5403,0.5000
