x,y,z
8.2100,-1.7900,-0.9400
8.2100,-1.7900,-0.8400
8.2100,-1.7900,-0.7400
8.2100,-1.7900,-0.6400
8.2100,-1.7900,-0.5400
8.2100,-1.7900,-0.4400
8.2100,-1.7900,-0.3400
8.2100,-1.7900,-0.2400
8.2100,-1.7900,-0.1400
8.2100,-1.7900,-0.0400
8.2100,-1.7900,0.0600
8.2100,-1.7900,0.1600
8.2100,-1.7900,0.2600
8.2100,-1.7900,0.3600
8.2100,-1.7900,0.4600
8.2100,-1.7900,0.5600
8.2100,-1.7900,0.6600
8.2100,-1.7900,0.7600
8.2100,-1.7900,0.8600
8.2100,-1.7900,0.9600
8.2100,-1.7900,1.0600
8.2100,-1.7900,1.1600
8.2100,-1.7900,1.2600
8.2100,-1.7900,1.3600
8.2100,-1.7900,1.4600
8.2100,-1.7900,1.5600
8.2100,-1.7900,1.6600
8.2100,-1.7900,1.7600
8.2100,-1.7900,1.8600
8.2100,-1.7900,1.9600
8.2100,-1.7900,2.0600
8.2100,-1.7900,2.1600
8.2100,-1.7900,2.2600
8.2100,-1.7900,2.3600
8.2100,-1.7900,2.4600
8.2100,-1.7900,2.5600
8.2100,-1.7900,2.6600
8.2100,-1.6900,-0.9400
8.2100,-1.6900,-0.8400
8.2100,-1.6900,-0.7400
8.2100,-1.6900,-0.6400
8.2100,-1.6900,-0.5400
8.2100,-1.6900,-0.4400
8.2100,-1.6900,-0.3400
8.2100,-1.6900,-0.2400
8.2100,-1.6900,-0.1400
8.2100,-1.6900,-0.0400
8.2100,-1.6900,0.0600
8.2100,-1.6900,0.1600
8.2100,-1.6900,0.2600
8.2100,-1.6900,0.3600
8.2100,-1.6900,0.4600
8.2100,-1.6900,0.5600
8.2100,-1.6900,0.6600
8.2100,-1.6900,0.7600
8.2100,-1.6900,0.8600
8.2100,-1.6900,0.9600
8.2100,-1.6900,1.0600
8.2100,-1.6900,1.1600
8.2100,-1.6900,1.2600
8.2100,-1.6900,1.3600
8.2100,-1.6900,1.4600
8.2100,-1.6900,1.5600
8.2100,-1.6900,1.6600
8.2100,-1.6900,1.7600
8.2100,-1.6900,1.8600
8.2100,-1.6900,1.9600
8.2100,-1.6900,2.0600
8.3100,-1.8900,-0.9400
8.3100,-1.8900,-0.8400
8.3100,-1.8900,-0.7400
8.3100,-1.8900,-0.6400
