t,x,y,z,vx,vy,vz,ax,ay,az
0.597,-23.8488,-0.0401,0.5000,1.0857,-0.0515,0.0000,0.0593,0.0322,0.0000
0.607,-23.8380,-0.0406,0.5000,1.0864,-0.0512,0.0000,0.0673,0.0342,0.0000
0.617,-23.8271,-0.0411,0.5000,1.0871,-0.0508,0.0000,0.0752,0.0362,0.0000
0.627,-23.8162,-0.0416,0.5000,1.0879,-0.0505,0.0000,0.0828,0.0381,0.0000
0.637,-23.8053,-0.0421,0.5000,1.0887,-0.0501,0.0000,0.0904,0.0399,0.0000
0.647,-23.7945,-0.0426,0.5000,1.0897,-0.0497,0.0000,0.0977,0.0418,0.0000
0.657,-23.7835,-0.0431,0.5000,1.0907,-0.0492,0.0000,0.1048,0.0436,0.0000
0.667,-23.7726,-0.0436,0.5000,1.0918,-0.0488,0.0000,0.1118,0.0453,0.0000
0.677,-23.7617,-0.0441,0.5000,1.0929,-0.0483,0.0000,0.1186,0.0470,0.0000
0.687,-23.7508,-0.0446,0.5000,1.0941,-0.0478,0.0000,0.1252,0.0487,0.0000
0.697,-23.7398,-0.0450,0.5000,1.0954,-0.0474,0.0000,0.1316,0.0503,0.0000
0.707,-23.7289,-0.0455,0.5000,1.0968,-0.0468,0.0000,0.1379,0.0519,0.0000
0.717,-23.7179,-0.0460,0.5000,1.0982,-0.0463,0.0000,0.1440,0.0534,0.0000
0.727,-23.7069,-0.0464,0.5000,1.0996,-0.0458,0.0000,0.1499,0.0549,0.0000
0.737,-23.6959,-0.0469,0.5000,1.1012,-0.0452,0.0000,0.1556,0.0564,0.0000
0.747,-23.6849,-0.0473,0.5000,1.1028,-0.0446,0.0000,0.1613,0.0579,0.0000
0.757,-23.6739,-0.0478,0.5000,1.1044,-0.0441,0.0000,0.1667,0.0592,0.0000
0.767,-23.6628,-0.0482,0.5000,1.1061,-0.0435,0.0000,0.1719,0.0606,0.0000
0.777,-23.6517,-0.0487,0.5000,1.1078,-0.0428,0.0000,0.1771,0.0619,0.0000
0.787,-23.6406,-0.0491,0.5000,1.1096,-0.0422,0.0000,0.1820,0.0632,0.0000
0.797,-23.6295,-0.0495,0.5000,1.1115,-0.0416,0.0000,0.1868,0.0645,0.0000
0.807,-23.6184,-0.0499,0.5000,1.1134,-0.0409,0.0000,0.1914,0.0657,0.0000
0.817,-23.6073,-0.0503,0.5000,1.1153,-0.0403,0.0000,0.1959,0.0669,0.0000
0.827,-23.5960,-0.0507,0.5000,1.1173,-0.0396,0.0000,0.2002,0.0680,0.0000
0.837,-23.5847,-0.0511,0.5000,1.1193,-0.0389,0.0000,0.2045,0.0691,0.0000
