t,x,y,z,vx,vy,vz,ax,ay,az
0.014,-21.8897,-1.4972,0.5000,1.3710,0.0096,0.0000,-0.1278,0.0159,0.0000
0.024,-21.8760,-1.4971,0.5000,1.3697,0.0098,0.0000,-0.1322,0.0157,0.0000
0.034,-21.8623,-1.4970,0.5000,1.3684,0.0099,0.0000,-0.1363,0.0156,0.0000
0.044,-21.8486,-1.4969,0.5000,1.3670,0.0101,0.0000,-0.1403,0.0154,0.0000
0.054,-21.8350,-1.4968,0.5000,1.3656,0.0102,0.0000,-0.1440,0.0152,0.0000
0.064,-21.8213,-1.4967,0.5000,1.3641,0.0104,0.0000,-0.1475,0.0150,0.0000
0.074,-21.8077,-1.4966,0.5000,1.3626,0.0105,0.0000,-0.1508,0.0148,0.0000
0.084,-21.7941,-1.4965,0.5000,1.3611,0.0107,0.0000,-0.1538,0.0146,0.0000
0.094,-21.7804,-1.4964,0.5000,1.3595,0.0108,0.0000,-0.1567,0.0143,0.0000
0.104,-21.7669,-1.4963,0.5000,1.3580,0.0110,0.0000,-0.1593,0.0141,0.0000
0.114,-21.7533,-1.4961,0.5000,1.3564,0.0111,0.0000,-0.1617,0.0139,0.0000
0.124,-21.7397,-1.4960,0.5000,1.3547,0.0113,0.0000,-0.1639,0.0136,0.0000
0.134,-21.7262,-1.4959,0.5000,1.3531,0.0114,0.0000,-0.1660,0.0134,0.0000
0.144,-21.7126,-1.4958,0.5000,1.3514,0.0115,0.0000,-0.1678,0.0131,0.0000
0.154,-21.6992,-1.4957,0.5000,1.3497,0.0117,0.0000,-0.1694,0.0129,0.0000
0.164,-21.6856,-1.4956,0.5000,1.3480,0.0118,0.0000,-0.1709,0.0126,0.0000
0.174,-21.6722,-1.4955,0.5000,1.3463,0.0119,0.0000,-0.1722,0.0124,0.0000
0.184,-21.6587,-1.4953,0.5000,1.3446,0.0120,0.0000,-0.1732,0.0121,0.0000
0.194,-21.6453,-1.4952,0.5000,1.3428,0.0121,0.0000,-0.1742,0.0118,0.0000
0.204,-21.6319,-1.4951,0.5000,1.3411,0.0123,0.0000,-0.1749,0.0115,0.0000
0.214,-21.6185,-1.4950,0.5000,1.3393,0.0124,0.0000,-0.1755,0.0112,0.0000
0.224,-21.6051,-1.4948,0.5000,1.3376,0.0125,0.0000,-0.1759,0.0110,0.0000
0.234,-21.5917,-1.4947,0.5000,1.3358,0.0126,0.0000,-0.1761,0.0107,0.0000
0.244,-21.5784,-1.4946,0.5000,1.3341,0.0127,0.0000,-0.1762,0.0104,0.0000
0.254,-21.5651,-1.4945,0.5000,1.3323,0.0128,0.0000,-0.1761,0.0101,0.0000
0.264,-21.5517,-1.4943,0.5000,1.3305,0.0129,0.0000,-0.1759,0.0098,0.0000
0.274,-21.5385,-1.4942,0.5000,1.3288,0.0130,0.0000,-0.1755,0.0095,0.0000
0.284,-21.5252,-1.4941,0.5000,1.3270,0.0131,0.0000,-0.1749,0.0091,0.0000
0.294,-21.5119,-1.4939,0.5000,1.3253,0.0132,0.0000,-0.1743,0.0088,0.0000
0.304,-21.4986,-1.4938,0.5000,1.3235,0.0133,0.0000,-0.1735,0.0085,0.0000
0.314,-21.4854,-1.4937,0.5000,1.3218,0.0134,0.0000,-0.1725,0.0082,0.0000
0.324,-21.4716,-1.4935,0.5000,1.3200,0.0134,0.0000,-0.1714,0.0078,0.0000
0.334,-21.4586,-1.4934,0.5000,1.3183,0.0135,0.0000,-0.1702,0.0075,0.0000
0.344,-21.4459,-1.4933,0.5000,1.3167,0.0136,0.0000,-0.1689,0.0072,0.0000
0.354,-21.4327,-1.4931,0.5000,1.3150,0.0137,0.0000,-0.1675,0.0069,0.0000
0.365,-21.4189,-1.4930,0.5000,1.3133,0.0137,0.0000,-0.1659,0.0065,0.0000
0.374,-21.4064,-1.4929,0.5000,1.3117,0.0138,0.0000,-0.1643,0.0062,0.0000
0.384,-21.3933,-1.4927,0.5000,1.3101,0.0138,0.0000,-0.1625,0.0058,0.0000
0.394,-21.3797,-1.4926,0.5000,1.3084,0.0139,0.0000,-0.1605,0.0055,0.0000
0.404,-21.3672,-1.4925,0.5000,1.3068,0.0140,0.0000,-0.1586,0.0052,0.0000
0.414,-21.3541,-1.4923,0.5000,1.3053,0.0140,0.0000,-0.1591,0.0047,0.0000
0.424,-21.3411,-1.4922,0.5000,1.3037,0.0140,0.0000,-0.1603,0.0043,0.0000
